- 1131568353 2005.11.09 cn710 Nov 9 12:32:33 cn710/cn710 ntpd[19103]: synchronized to 10.100.18.250, stratum 3
- 1131568457 2005.11.09 bn115 Nov 9 12:34:17 bn115/bn115 ntpd[22400]: synchronized to 10.100.22.250, stratum 3
- 1131568457 2005.11.09 cn564 Nov 9 12:34:17 cn564/cn564 ntpd[17934]: synchronized to 10.100.22.250, stratum 3
- 1131568460 2005.11.09 cn104 Nov 9 12:34:20 cn104/cn104 ntpd[19460]: synchronized to 10.100.18.250, stratum 3
- 1131568460 2005.11.09 cn372 Nov 9 12:34:20 cn372/cn372 ntpd[10326]: synchronized to 10.100.16.250, stratum 3
- 1131568462 2005.11.09 cn917 Nov 9 12:34:22 cn917/cn917 ntpd[29360]: synchronized to 10.100.22.250, stratum 3
- 1131568464 2005.11.09 cn999 Nov 9 12:34:24 cn999/cn999 ntpd[19394]: synchronized to 10.100.18.250, stratum 3
- 1131568466 2005.11.09 bn624 Nov 9 12:34:26 bn624/bn624 ntpd[11685]: synchronized to 10.100.20.250, stratum 3
- 1131568468 2005.11.09 cn669 Nov 9 12:34:28 cn669/cn669 ntpd[18564]: synchronized to 10.100.18.250, stratum 3
- 1131568473 2005.11.09 cn259 Nov 9 12:34:33 cn259/cn259 ntpd[11393]: synchronized to 10.100.20.250, stratum 3
- 1131568476 2005.11.09 cn451 Nov 9 12:34:36 cn451/cn451 ntpd[11052]: synchronized to 10.100.16.250, stratum 3
- 1131568477 2005.11.09 cn544 Nov 9 12:34:37 cn544/cn544 ntpd[15964]: synchronized to 10.100.22.250, stratum 3
- 1131568479 2005.11.09 cn397 Nov 9 12:34:39 cn397/cn397 ntpd[13382]: synchronized to 10.100.20.250, stratum 3
- 1131568480 2005.11.09 cn707 Nov 9 12:34:40 cn707/cn707 ntpd[20117]: synchronized to 10.100.18.250, stratum 3
- 1131568482 2005.11.09 bn981 Nov 9 12:34:42 bn981/bn981 ntpd[14358]: synchronized to 10.100.18.250, stratum 3
- 1131568483 2005.11.09 cn573 Nov 9 12:34:43 cn573/cn573 ntpd[15193]: synchronized to 10.100.16.250, stratum 3
- 1131568486 2005.11.09 cn738 Nov 9 12:34:46 cn738/cn738 ntpd[29056]: synchronized to 10.100.18.250, stratum 3
- 1131568487 2005.11.09 cn619 Nov 9 12:34:47 cn619/cn619 ntpd[18726]: synchronized to 10.100.22.250, stratum 3
- 1131568488 2005.11.09 cn385 Nov 9 12:34:48 cn385/cn385 ntpd[5975]: synchronized to 10.100.18.250, stratum 3
- 1131568491 2005.11.09 bn640 Nov 9 12:34:51 bn640/bn640 ntpd[21630]: synchronized to 10.100.16.250, stratum 3
- 1131568492 2005.11.09 bn652 Nov 9 12:34:52 bn652/bn652 ntpd[23833]: synchronized to 10.100.14.250, stratum 3
- 1131568494 2005.11.09 bn640 Nov 9 12:34:54 bn640/bn640 ntpd[21630]: synchronized to 10.100.20.250, stratum 3
- 1131568494 2005.11.09 cn145 Nov 9 12:34:54 cn145/cn145 ntpd[17005]: synchronized to 10.100.16.250, stratum 3
- 1131568495 2005.11.09 cn243 Nov 9 12:34:55 cn243/cn243 ntpd[10804]: synchronized to 10.100.20.250, stratum 3
- 1131568498 2005.11.09 cn15 Nov 9 12:34:58 cn15/cn15 ntpd[15650]: synchronized to 10.100.22.250, stratum 3
- 1131568500 2005.11.09 cn455 Nov 9 12:35:00 cn455/cn455 ntpd[10697]: synchronized to 10.100.18.250, stratum 3
- 1131568500 2005.11.09 cn990 Nov 9 12:35:00 cn990/cn990 ntpd[18995]: synchronized to 10.100.16.250, stratum 3
- 1131568501 2005.11.09 bn861 Nov 9 12:35:01 bn861/bn861 ntpd[30539]: synchronized to 10.100.18.250, stratum 3
- 1131568502 2005.11.09 cn198 Nov 9 12:35:02 cn198/cn198 ntpd[19818]: synchronized to 10.100.18.250, stratum 3
- 1131568502 2005.11.09 cn33 Nov 9 12:35:02 cn33/cn33 ntpd[17565]: synchronized to 10.100.18.250, stratum 3
- 1131568502 2005.11.09 cn876 Nov 9 12:35:02 cn876/cn876 ntpd[29519]: synchronized to 10.100.22.250, stratum 3
- 1131568506 2005.11.09 cn696 Nov 9 12:35:06 cn696/cn696 ntpd[20123]: synchronized to 10.100.22.250, stratum 3
- 1131568507 2005.11.09 cn249 Nov 9 12:35:07 cn249/cn249 ntpd[10621]: synchronized to 10.100.16.250, stratum 3
- 1131568508 2005.11.09 bn275 Nov 9 12:35:08 bn275/bn275 ntpd[23834]: synchronized to 10.100.20.250, stratum 3
- 1131568510 2005.11.09 cn167 Nov 9 12:35:10 cn167/cn167 ntpd[10064]: synchronized to 10.100.20.250, stratum 3
- 1131568511 2005.11.09 bn645 Nov 9 12:35:11 bn645/bn645 ntpd[23720]: synchronized to 10.100.20.250, stratum 3
- 1131568514 2005.11.09 cn449 Nov 9 12:35:14 cn449/cn449 ntpd[10954]: synchronized to 10.100.22.250, stratum 3
- 1131568515 2005.11.09 bn889 Nov 9 12:35:15 bn889/bn889 ntpd[24455]: synchronized to 10.100.18.250, stratum 3
- 1131568518 2005.11.09 cn661 Nov 9 12:35:18 cn661/cn661 ntpd[18505]: synchronized to 10.100.22.250, stratum 3
- 1131568527 2005.11.09 cn661 Nov 9 12:35:27 cn661/cn661 ntpd[18505]: synchronized to 10.100.18.250, stratum 3
- 1131568529 2005.11.09 bn453 Nov 9 12:35:29 bn453/bn453 ntpd[30219]: synchronized to 10.100.20.250, stratum 3
- 1131568529 2005.11.09 cn551 Nov 9 12:35:29 cn551/cn551 ntpd[15308]: synchronized to 10.100.22.250, stratum 3
- 1131568533 2005.11.09 cn370 Nov 9 12:35:33 cn370/cn370 ntpd[10288]: synchronized to 10.100.16.250, stratum 3
- 1131568534 2005.11.09 cn288 Nov 9 12:35:34 cn288/cn288 ntpd[23770]: synchronized to 10.100.22.250, stratum 3
- 1131568534 2005.11.09 cn583 Nov 9 12:35:34 cn583/cn583 ntpd[18675]: synchronized to 10.100.18.250, stratum 3
- 1131568535 2005.11.09 cn831 Nov 9 12:35:35 cn831/cn831 ntpd[28106]: synchronized to 10.100.16.250, stratum 3
- 1131568541 2005.11.09 cn580 Nov 9 12:35:41 cn580/cn580 ntpd[18522]: synchronized to 10.100.18.250, stratum 3
- 1131568542 2005.11.09 bn424 Nov 9 12:35:42 bn424/bn424 ntpd[30101]: synchronized to 10.100.18.250, stratum 3
- 1131568543 2005.11.09 cn78 Nov 9 12:35:43 cn78/cn78 ntpd[17489]: synchronized to 10.100.16.250, stratum 3
- 1131568548 2005.11.09 cn697 Nov 9 12:35:48 cn697/cn697 ntpd[19486]: synchronized to 10.100.22.250, stratum 3
- 1131568548 2005.11.09 cn975 Nov 9 12:35:48 cn975/cn975 ntpd[18975]: synchronized to 10.100.18.250, stratum 3
- 1131568549 2005.11.09 bn221 Nov 9 12:35:49 bn221/bn221 ntpd[24087]: synchronized to 10.100.16.250, stratum 3
- 1131568549 2005.11.09 bn315 Nov 9 12:35:49 bn315/bn315 ntpd[29368]: synchronized to 10.100.22.250, stratum 3
- 1131568551 2005.11.09 bn901 Nov 9 12:35:51 bn901/bn901 ntpd[25872]: synchronized to 10.100.20.250, stratum 3
- 1131568555 2005.11.09 cn272 Nov 9 12:35:55 cn272/cn272 ntpd[12016]: synchronized to 10.100.22.250, stratum 3
- 1131568555 2005.11.09 cn434 Nov 9 12:35:55 cn434/cn434 ntpd[11533]: synchronized to 10.100.18.250, stratum 3
- 1131568556 2005.11.09 cn777 Nov 9 12:35:56 cn777/cn777 ntpd[32468]: synchronized to 10.100.18.250, stratum 3
- 1131568557 2005.11.09 cn953 Nov 9 12:35:57 cn953/cn953 ntpd[19786]: synchronized to 10.100.22.250, stratum 3
- 1131568562 2005.11.09 bn955 Nov 9 12:36:02 bn955/bn955 ntpd[16532]: synchronized to 10.100.20.250, stratum 3
- 1131568564 2005.11.09 bn386 Nov 9 12:36:04 bn386/bn386 ntpd[29377]: synchronized to 10.100.18.250, stratum 3
- 1131568564 2005.11.09 bn816 Nov 9 12:36:04 bn816/bn816 ntpd[23184]: synchronized to 10.100.20.250, stratum 3
- 1131568564 2005.11.09 cn700 Nov 9 12:36:04 cn700/cn700 ntpd[19380]: synchronized to 10.100.18.250, stratum 3
- 1131568567 2005.11.09 cn129 Nov 9 12:36:07 cn129/cn129 ntpd[28743]: synchronized to 10.100.16.250, stratum 3
- 1131568568 2005.11.09 cn744 Nov 9 12:36:08 cn744/cn744 ntpd[28337]: synchronized to 10.100.18.250, stratum 3
- 1131568569 2005.11.09 cn223 Nov 9 12:36:09 cn223/cn223 ntpd[9873]: synchronized to 10.100.20.250, stratum 3
- 1131568569 2005.11.09 cn616 Nov 9 12:36:09 cn616/cn616 ntpd[18387]: synchronized to 10.100.22.250, stratum 3
- 1131568569 2005.11.09 cn963 Nov 9 12:36:09 cn963/cn963 ntpd[19920]: synchronized to 10.100.16.250, stratum 3
- 1131568570 2005.11.09 cn266 Nov 9 12:36:10 cn266/cn266 ntpd[12066]: synchronized to 10.100.18.250, stratum 3
- 1131568574 2005.11.09 bn424 Nov 9 12:36:14 bn424/bn424 ntpd[30101]: synchronized to 10.100.16.250, stratum 3
- 1131568574 2005.11.09 bn424 Nov 9 12:36:14 bn424/bn424 ntpd[30101]: synchronized to 10.100.20.250, stratum 3
- 1131568577 2005.11.09 bn33 Nov 9 12:36:17 bn33/bn33 ntpd[7683]: synchronized to 10.100.8.250, stratum 3
- 1131568581 2005.11.09 bn57 Nov 9 12:36:21 bn57/bn57 ntpd[22475]: synchronized to 10.100.16.250, stratum 3
- 1131568585 2005.11.09 cn519 Nov 9 12:36:25 cn519/cn519 ntpd[16839]: synchronized to 10.100.22.250, stratum 3
- 1131568587 2005.11.09 cn551 Nov 9 12:36:27 cn551/cn551 ntpd[15308]: synchronized to 10.100.18.250, stratum 3
- 1131568589 2005.11.09 cn107 Nov 9 12:36:29 cn107/cn107 ntpd[19686]: synchronized to 10.100.22.250, stratum 3
- 1131568600 2005.11.09 cn846 Nov 9 12:36:40 cn846/cn846 ntpd[27289]: synchronized to 10.100.18.250, stratum 3
- 1131568600 2005.11.09 cn912 Nov 9 12:36:40 cn912/cn912 ntpd[28300]: synchronized to 10.100.18.250, stratum 3
- 1131568601 2005.11.09 cn294 Nov 9 12:36:41 cn294/cn294 ntpd[23811]: synchronized to 10.100.16.250, stratum 3
- 1131568603 2005.11.09 cn950 Nov 9 12:36:43 cn950/cn950 ntpd[12075]: synchronized to 10.100.18.250, stratum 3
- 1131568609 2005.11.09 cn556 Nov 9 12:36:49 cn556/cn556 ntpd[18435]: synchronized to 10.100.18.250, stratum 3
- 1131568609 2005.11.09 cn968 Nov 9 12:36:49 cn968/cn968 ntpd[19783]: synchronized to 10.100.18.250, stratum 3
- 1131568612 2005.11.09 cn514 Nov 9 12:36:52 cn514/cn514 ntpd[16066]: synchronized to 10.100.20.250, stratum 3
- 1131568613 2005.11.09 cn250 Nov 9 12:36:53 cn250/cn250 ntpd[11202]: synchronized to 10.100.20.250, stratum 3
- 1131568616 2005.11.09 bn770 Nov 9 12:36:56 bn770/bn770 ntpd[24461]: synchronized to 10.100.18.250, stratum 3
- 1131568618 2005.11.09 cn494 Nov 9 12:36:58 cn494/cn494 ntpd[15466]: synchronized to 10.100.18.250, stratum 3
- 1131568622 2005.11.09 bn486 Nov 9 12:37:02 bn486/bn486 ntpd[29042]: synchronized to 10.100.16.250, stratum 3
- 1131568624 2005.11.09 bn659 Nov 9 12:37:04 bn659/bn659 ntpd[23245]: synchronized to 10.100.18.250, stratum 3
- 1131568624 2005.11.09 cn692 Nov 9 12:37:04 cn692/cn692 ntpd[17144]: synchronized to 10.100.16.250, stratum 3
- 1131568629 2005.11.09 bn81 Nov 9 12:37:09 bn81/bn81 ntpd[22281]: synchronized to 10.100.22.250, stratum 3
- 1131568640 2005.11.09 cn582 Nov 9 12:37:20 cn582/cn582 ntpd[18611]: synchronized to 10.100.16.250, stratum 3
- 1131568640 2005.11.09 cn596 Nov 9 12:37:20 cn596/cn596 ntpd[19175]: synchronized to 10.100.18.250, stratum 3
- 1131568640 2005.11.09 cn995 Nov 9 12:37:20 cn995/cn995 ntpd[18944]: synchronized to 10.100.18.250, stratum 3
- 1131568643 2005.11.09 bn287 Nov 9 12:37:23 bn287/bn287 ntpd[22800]: synchronized to 10.100.18.250, stratum 3
- 1131568644 2005.11.09 bn269 Nov 9 12:37:24 bn269/bn269 ntpd[23830]: synchronized to 10.100.20.250, stratum 3
- 1131568644 2005.11.09 bn287 Nov 9 12:37:24 bn287/bn287 ntpd[22800]: synchronized to 10.100.20.250, stratum 3
- 1131568645 2005.11.09 bn1022 Nov 9 12:37:25 bn1022/bn1022 ntpd[13768]: synchronized to 10.100.10.250, stratum 3
- 1131568645 2005.11.09 cn398 Nov 9 12:37:25 cn398/cn398 ntpd[12747]: synchronized to 10.100.22.250, stratum 3
- 1131568648 2005.11.09 cn774 Nov 9 12:37:28 cn774/cn774 ntpd[27826]: synchronized to 10.100.18.250, stratum 3
- 1131568651 2005.11.09 cn347 Nov 9 12:37:31 cn347/cn347 ntpd[12387]: synchronized to 10.100.18.250, stratum 3
- 1131568654 2005.11.09 bn486 Nov 9 12:37:34 bn486/bn486 ntpd[29042]: synchronized to 10.100.22.250, stratum 3
- 1131568654 2005.11.09 cn666 Nov 9 12:37:34 cn666/cn666 ntpd[18497]: synchronized to 10.100.20.250, stratum 3
- 1131568656 2005.11.09 cn480 Nov 9 12:37:36 cn480/cn480 ntpd[16842]: synchronized to 10.100.16.250, stratum 3
- 1131568658 2005.11.09 bn24 Nov 9 12:37:38 bn24/bn24 ntpd[22671]: synchronized to 10.100.20.250, stratum 3
- 1131568659 2005.11.09 cn752 Nov 9 12:37:39 cn752/cn752 ntpd[28625]: synchronized to 10.100.22.250, stratum 3
- 1131568661 2005.11.09 cn280 Nov 9 12:37:41 cn280/cn280 ntpd[15536]: synchronized to 10.100.16.250, stratum 3
- 1131568664 2005.11.09 bn425 Nov 9 12:37:44 bn425/bn425 ntpd[30052]: synchronized to 10.100.16.250, stratum 3
- 1131568665 2005.11.09 cn185 Nov 9 12:37:45 cn185/cn185 ntpd[11130]: synchronized to 10.100.18.250, stratum 3
- 1131568666 2005.11.09 bn655 Nov 9 12:37:46 bn655/bn655 ntpd[23914]: synchronized to 10.100.16.250, stratum 3
- 1131568666 2005.11.09 cn781 Nov 9 12:37:46 cn781/cn781 ntpd[28607]: synchronized to 10.100.20.250, stratum 3
- 1131568667 2005.11.09 cn671 Nov 9 12:37:47 cn671/cn671 ntpd[18058]: synchronized to 10.100.18.250, stratum 3
- 1131568670 2005.11.09 bn756 Nov 9 12:37:50 bn756/bn756 ntpd[22312]: synchronized to 10.100.18.250, stratum 3
- 1131568671 2005.11.09 cn471 Nov 9 12:37:51 cn471/cn471 ntpd[10201]: synchronized to 10.100.22.250, stratum 3
- 1131568675 2005.11.09 cn991 Nov 9 12:37:55 cn991/cn991 ntpd[18491]: synchronized to 10.100.18.250, stratum 3
- 1131568676 2005.11.09 bn656 Nov 9 12:37:56 bn656/bn656 ntpd[23267]: synchronized to 10.100.16.250, stratum 3
- 1131568677 2005.11.09 cn537 Nov 9 12:37:57 cn537/cn537 ntpd[17887]: synchronized to 10.100.18.250, stratum 3
- 1131568680 2005.11.09 cn627 Nov 9 12:38:00 cn627/cn627 ntpd[18979]: synchronized to 10.100.20.250, stratum 3
- 1131568681 2005.11.09 cn42 Nov 9 12:38:01 cn42/cn42 ntpd[16924]: synchronized to 10.100.16.250, stratum 3
- 1131568683 2005.11.09 bn27 Nov 9 12:38:03 bn27/bn27 ntpd[22307]: synchronized to 10.100.22.250, stratum 3
- 1131568684 2005.11.09 bn451 Nov 9 12:38:04 bn451/bn451 ntpd[29633]: synchronized to 10.100.16.250, stratum 3
- 1131568686 2005.11.09 bn319 Nov 9 12:38:06 bn319/bn319 ntpd[28559]: synchronized to 10.100.16.250, stratum 3
- 1131568691 2005.11.09 cn422 Nov 9 12:38:11 cn422/cn422 ntpd[1870]: synchronized to 10.100.16.250, stratum 3
- 1131568692 2005.11.09 bn759 Nov 9 12:38:12 bn759/bn759 ntpd[22637]: synchronized to 10.100.16.250, stratum 3
- 1131568694 2005.11.09 cn876 Nov 9 12:38:14 cn876/cn876 ntpd[29519]: synchronized to 10.100.16.250, stratum 3
- 1131568701 2005.11.09 bn950 Nov 9 12:38:21 bn950/bn950 ntpd[14801]: synchronized to 10.100.16.250, stratum 3
- 1131568704 2005.11.09 bn388 Nov 9 12:38:24 bn388/bn388 ntpd[9660]: synchronized to 10.100.20.250, stratum 3
- 1131568706 2005.11.09 bn47 Nov 9 12:38:26 bn47/bn47 ntpd[21837]: synchronized to 10.100.18.250, stratum 3
- 1131568706 2005.11.09 cn984 Nov 9 12:38:26 cn984/cn984 ntpd[19722]: synchronized to 10.100.18.250, stratum 3
- 1131568716 2005.11.09 bn418 Nov 9 12:38:36 bn418/bn418 ntpd[30032]: synchronized to 10.100.12.250, stratum 3
- 1131568718 2005.11.09 bn981 Nov 9 12:38:38 bn981/bn981 ntpd[14358]: synchronized to 10.100.20.250, stratum 3
- 1131568723 2005.11.09 cn737 Nov 9 12:38:43 cn737/cn737 ntpd[29331]: synchronized to 10.100.18.250, stratum 3
- 1131568724 2005.11.09 bn175 Nov 9 12:38:44 bn175/bn175 ntpd[21428]: synchronized to 10.100.16.250, stratum 3
- 1131568731 2005.11.09 cn724 Nov 9 12:38:51 cn724/cn724 ntpd[28834]: synchronized to 10.100.22.250, stratum 3
- 1131568733 2005.11.09 cn951 Nov 9 12:38:53 cn951/cn951 ntpd[19916]: synchronized to 10.100.22.250, stratum 3
- 1131568735 2005.11.09 cn737 Nov 9 12:38:55 cn737/cn737 ntpd[29331]: synchronized to 10.100.22.250, stratum 3
- 1131568735 2005.11.09 cn837 Nov 9 12:38:55 cn837/cn837 ntpd[27977]: synchronized to 10.100.20.250, stratum 3
- 1131568738 2005.11.09 bn64 Nov 9 12:38:58 bn64/bn64 ntpd[22058]: synchronized to 10.100.18.250, stratum 3
