1131366699 2005.11.07 R55-M1-N0-I:J18-U11 2005-11-07-04.31.39.161237 R55-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366711 2005.11.07 R52-M1-N4-I:J18-U11 2005-11-07-04.31.51.865440 R52-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366711 2005.11.07 R52-M1-N4-I:J18-U01 2005-11-07-04.31.51.945506 R52-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366712 2005.11.07 R43-M0-N8-I:J18-U11 2005-11-07-04.31.52.687942 R43-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366712 2005.11.07 R43-M0-N8-I:J18-U01 2005-11-07-04.31.52.777420 R43-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366712 2005.11.07 R31-M1-N8-I:J18-U11 2005-11-07-04.31.52.867238 R31-M1-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366712 2005.11.07 R31-M1-N8-I:J18-U01 2005-11-07-04.31.52.963315 R31-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366713 2005.11.07 R43-M0-N4-I:J18-U11 2005-11-07-04.31.53.083082 R43-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366713 2005.11.07 R43-M0-N4-I:J18-U01 2005-11-07-04.31.53.172416 R43-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366713 2005.11.07 R31-M1-N4-I:J18-U11 2005-11-07-04.31.53.262063 R31-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366713 2005.11.07 R31-M1-N4-I:J18-U01 2005-11-07-04.31.53.351489 R31-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366714 2005.11.07 R34-M0-N4-I:J18-U01 2005-11-07-04.31.54.123770 R34-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366714 2005.11.07 R22-M0-NC-I:J18-U11 2005-11-07-04.31.54.453835 R22-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366714 2005.11.07 R22-M0-NC-I:J18-U01 2005-11-07-04.31.54.560521 R22-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366715 2005.11.07 R52-M0-NC-I:J18-U11 2005-11-07-04.31.55.147729 R52-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366715 2005.11.07 R52-M0-NC-I:J18-U01 2005-11-07-04.31.55.249375 R52-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366715 2005.11.07 R52-M0-N4-I:J18-U11 2005-11-07-04.31.55.357843 R52-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366715 2005.11.07 R52-M0-N4-I:J18-U01 2005-11-07-04.31.55.471961 R52-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366715 2005.11.07 R43-M0-N0-I:J18-U11 2005-11-07-04.31.55.777791 R43-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366715 2005.11.07 R43-M0-N0-I:J18-U01 2005-11-07-04.31.55.885585 R43-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366715 2005.11.07 R52-M0-N8-I:J18-U11 2005-11-07-04.31.55.987163 R52-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366716 2005.11.07 R52-M0-N8-I:J18-U01 2005-11-07-04.31.56.088687 R52-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366716 2005.11.07 R25-M1-N0-I:J18-U01 2005-11-07-04.31.56.508609 R25-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366716 2005.11.07 R31-M1-N0-I:J18-U11 2005-11-07-04.31.56.614799 R31-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366716 2005.11.07 R31-M1-N0-I:J18-U01 2005-11-07-04.31.56.716674 R31-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366716 2005.11.07 R52-M0-N0-I:J18-U11 2005-11-07-04.31.56.824562 R52-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366716 2005.11.07 R52-M0-N0-I:J18-U01 2005-11-07-04.31.56.925988 R52-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366717 2005.11.07 R43-M0-NC-I:J18-U11 2005-11-07-04.31.57.860245 R43-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366717 2005.11.07 R43-M0-NC-I:J18-U01 2005-11-07-04.31.57.954991 R43-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366718 2005.11.07 R10-M0-NC-I:J18-U11 2005-11-07-04.31.58.099683 R10-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366718 2005.11.07 R10-M0-NC-I:J18-U01 2005-11-07-04.31.58.201572 R10-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366718 2005.11.07 R64-M0-NC-I:J18-U11 2005-11-07-04.31.58.296944 R64-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366718 2005.11.07 R64-M0-NC-I:J18-U01 2005-11-07-04.31.58.395677 R64-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366718 2005.11.07 R67-M1-N4-I:J18-U11 2005-11-07-04.31.58.507098 R67-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366718 2005.11.07 R67-M1-N4-I:J18-U01 2005-11-07-04.31.58.614845 R67-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366719 2005.11.07 R67-M1-N0-I:J18-U01 2005-11-07-04.31.59.155037 R67-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366719 2005.11.07 R37-M0-N4-I:J18-U11 2005-11-07-04.31.59.681237 R37-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366719 2005.11.07 R37-M0-N4-I:J18-U01 2005-11-07-04.31.59.784205 R37-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366722 2005.11.07 R61-M0-N8-I:J18-U11 2005-11-07-04.32.02.987077 R61-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366723 2005.11.07 R61-M0-N8-I:J18-U01 2005-11-07-04.32.03.052957 R61-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366723 2005.11.07 R73-M0-NC-I:J18-U01 2005-11-07-04.32.03.166894 R73-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366723 2005.11.07 R73-M1-NC-I:J18-U11 2005-11-07-04.32.03.472184 R73-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366723 2005.11.07 R73-M1-NC-I:J18-U01 2005-11-07-04.32.03.674526 R73-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366723 2005.11.07 R73-M1-N8-I:J18-U11 2005-11-07-04.32.03.920859 R73-M1-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366724 2005.11.07 R73-M1-N8-I:J18-U01 2005-11-07-04.32.04.076212 R73-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366724 2005.11.07 R70-M0-N4-I:J18-U11 2005-11-07-04.32.04.185116 R70-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366724 2005.11.07 R31-M1-NC-I:J18-U11 2005-11-07-04.32.04.731357 R31-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366724 2005.11.07 R31-M1-NC-I:J18-U01 2005-11-07-04.32.04.941978 R31-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366725 2005.11.07 R76-M0-NC-I:J18-U01 2005-11-07-04.32.05.055665 R76-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366725 2005.11.07 R76-M1-NC-I:J18-U11 2005-11-07-04.32.05.175815 R76-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366725 2005.11.07 R76-M1-NC-I:J18-U01 2005-11-07-04.32.05.288969 R76-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366725 2005.11.07 R76-M1-N8-I:J18-U11 2005-11-07-04.32.05.408845 R76-M1-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366725 2005.11.07 R76-M1-N8-I:J18-U01 2005-11-07-04.32.05.522098 R76-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366725 2005.11.07 R70-M1-N0-I:J18-U11 2005-11-07-04.32.05.636324 R70-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366725 2005.11.07 R70-M1-N0-I:J18-U01 2005-11-07-04.32.05.755148 R70-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R70-M1-N8-I:J18-U11 2005-11-07-04.32.06.109188 R70-M1-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R70-M1-N8-I:J18-U01 2005-11-07-04.32.06.223617 R70-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R73-M1-N0-I:J18-U11 2005-11-07-04.32.06.336076 R73-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R73-M1-N0-I:J18-U01 2005-11-07-04.32.06.449895 R73-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R70-M0-NC-I:J18-U11 2005-11-07-04.32.06.569560 R70-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R70-M0-NC-I:J18-U01 2005-11-07-04.32.06.683771 R70-M0-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R70-M1-N4-I:J18-U11 2005-11-07-04.32.06.797239 R70-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366726 2005.11.07 R70-M1-N4-I:J18-U01 2005-11-07-04.32.06.910540 R70-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366727 2005.11.07 R70-M1-NC-I:J18-U11 2005-11-07-04.32.07.023958 R70-M1-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366727 2005.11.07 R70-M1-NC-I:J18-U01 2005-11-07-04.32.07.144167 R70-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366727 2005.11.07 R70-M0-N8-I:J18-U11 2005-11-07-04.32.07.253212 R70-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366727 2005.11.07 R70-M0-N8-I:J18-U01 2005-11-07-04.32.07.359423 R70-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366727 2005.11.07 R46-M1-N4-I:J18-U11 2005-11-07-04.32.07.692992 R46-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366727 2005.11.07 R46-M1-N4-I:J18-U01 2005-11-07-04.32.07.800640 R46-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366727 2005.11.07 R61-M0-N0-I:J18-U11 2005-11-07-04.32.07.908225 R61-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366728 2005.11.07 R61-M0-N0-I:J18-U01 2005-11-07-04.32.08.022027 R61-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366728 2005.11.07 R76-M0-N8-I:J18-U11 2005-11-07-04.32.08.081538 R76-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366728 2005.11.07 R76-M0-N8-I:J18-U01 2005-11-07-04.32.08.209946 R76-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366728 2005.11.07 R73-M0-N4-I:J18-U11 2005-11-07-04.32.08.333183 R73-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366728 2005.11.07 R73-M0-N4-I:J18-U01 2005-11-07-04.32.08.447164 R73-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366728 2005.11.07 R73-M1-N4-I:J18-U11 2005-11-07-04.32.08.560590 R73-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
1131366728 2005.11.07 R73-M1-N4-I:J18-U01 2005-11-07-04.32.08.691617 R73-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
