trial,reward,cost_usd,apiKeySource
fp-hdfs-noise-fe22bac__Z2HwgRZ,0.818182,0.567970,ANTHROPIC_API_KEY
fp-openstack-noise-03a2078__bf7r7xk,0.818182,0.420930,ANTHROPIC_API_KEY
fp-openstack-noise-56086d8__dpjSPkh,0.818182,0.434143,ANTHROPIC_API_KEY
fp-openstack-noise-c07ecd8__3eqSUfX,0.818182,0.384361,ANTHROPIC_API_KEY
fp-openstack-noise-c2ea054__DpcoC8j,0.818182,0.461979,ANTHROPIC_API_KEY
fp-openstack-noise-e165ca6__xnEwJTP,0.818182,0.570091,ANTHROPIC_API_KEY
fp-thunderbird-noise-38e9298__geuKeWM,0.909091,0.728657,ANTHROPIC_API_KEY
fp-thunderbird-noise-6fab501__7XoAum7,0.818182,0.867444,ANTHROPIC_API_KEY
fp-thunderbird-noise-71c0a92__ozvPrgy,0.909091,0.826079,ANTHROPIC_API_KEY
fp-thunderbird-noise-b072f8f__7vbyJiy,0.818182,0.934580,ANTHROPIC_API_KEY
fp-thunderbird-noise-b30ff22__gzFifab,0.909091,0.540508,ANTHROPIC_API_KEY
hadoop-disk-01f3662__XNj5MY4,0.923077,0.259730,ANTHROPIC_API_KEY
hadoop-disk-7421ef3__vopPLDU,0.846154,0.369171,ANTHROPIC_API_KEY
hadoop-disk-d7423f3__zC7oDmD,0.692308,0.255261,ANTHROPIC_API_KEY
hadoop-machine-072a24d__wvac7Ey,0.769231,0.436165,ANTHROPIC_API_KEY
hadoop-machine-1543ee3__rBuWUVG,0.769231,0.423735,ANTHROPIC_API_KEY
hadoop-machine-2962a82__2jnVxGL,0.769231,0.295737,ANTHROPIC_API_KEY
hadoop-machine-83cb08d__Emm7vN2,0.769231,0.244661,ANTHROPIC_API_KEY
hadoop-machine-a35690c__Yf6tEEX,0.769231,0.363660,ANTHROPIC_API_KEY
hadoop-machine-e087882__DKDKFiA,0.769231,0.471364,ANTHROPIC_API_KEY
hadoop-network-d9fe22b__Umpae7G,0.846154,0.593465,ANTHROPIC_API_KEY
hadoop-network-e61f883__eihNCPN,0.846154,0.264607,ANTHROPIC_API_KEY
hadoop-network-f9aba47__B6wnP3G,0.846154,0.279366,ANTHROPIC_API_KEY
hdfs-datanode-0b694b5__MEBZMYW,0.769231,0.516730,ANTHROPIC_API_KEY
hdfs-datanode-0cfc87b__NWLgJJJ,0.769231,0.329511,ANTHROPIC_API_KEY
hdfs-datanode-0ea6434__4kygDCR,0.769231,0.325543,ANTHROPIC_API_KEY
hdfs-datanode-1676bed__9rRpUxN,0.769231,0.315677,ANTHROPIC_API_KEY
hdfs-datanode-1b44f6f__iLoyWYV,0.769231,0.235499,ANTHROPIC_API_KEY
hdfs-datanode-1d29d98__n4mBSrp,0.769231,0.246929,ANTHROPIC_API_KEY
hdfs-datanode-31cffcd__E4MYnR2,0.769231,0.279587,ANTHROPIC_API_KEY
hdfs-datanode-45679b9__Dzq6szB,0.769231,0.851446,ANTHROPIC_API_KEY
hdfs-other-01d07b5__6LduD75,0.769231,0.266682,ANTHROPIC_API_KEY
hdfs-other-02fbbad__6AsyuNB,0.769231,0.403133,ANTHROPIC_API_KEY
hdfs-other-0b71922__cHQZ8ip,0.769231,0.290683,ANTHROPIC_API_KEY
hdfs-other-0c66ee6__LuYppsR,0.769231,0.360125,ANTHROPIC_API_KEY
hdfs-other-1834c8a__6vmXHvM,0.769231,0.420974,ANTHROPIC_API_KEY
hdfs-other-28ad439__rPKHD3M,0.769231,0.388787,ANTHROPIC_API_KEY
hdfs-other-3038a60__shJvxXz,0.769231,0.327135,ANTHROPIC_API_KEY
hdfs-other-44ab975__qfxNjwK,0.769231,0.305293,ANTHROPIC_API_KEY
hdfs-replication-63469ad__bzFpykC,0.846154,0.357125,ANTHROPIC_API_KEY
hdfs-replication-c4e83ae__MqQRHaE,0.846154,0.398201,ANTHROPIC_API_KEY
openstack-vmtask-0304240__KWRLtQJ,0.769231,0.667641,ANTHROPIC_API_KEY
openstack-vmtask-2024031__Js3XTM2,0.846154,0.763343,ANTHROPIC_API_KEY
openstack-vmtask-30d02c4__HcqsAHg,0.769231,0.626536,ANTHROPIC_API_KEY
openstack-vmtask-4f58ba6__33qqH96,0.846154,0.451811,ANTHROPIC_API_KEY
openstack-vmtask-632d9ef__aa58uHc,0.846154,0.697298,ANTHROPIC_API_KEY
rem-bgl-appsev-60b972e__vLEpQFD,1.000000,0.841816,ANTHROPIC_API_KEY
rem-bgl-kernstor-6b707af__gKhm9Zf,1.000000,0.609593,ANTHROPIC_API_KEY
rem-bgl-kernstor-71147f6__UzJTgE7,1.000000,0.483321,ANTHROPIC_API_KEY
rem-bgl-kernstor-dcb0274__twrtMR2,1.000000,0.332452,ANTHROPIC_API_KEY
rem-hadoop-machine-04e0a50__p8BEZZB,0.818182,1.565056,ANTHROPIC_API_KEY
rem-hadoop-machine-2309f31__cxdrka3,0.909091,0.626715,ANTHROPIC_API_KEY
rem-hadoop-machine-99f4466__U3t9aFK,0.909091,1.478524,ANTHROPIC_API_KEY
rem-hadoop-machine-b1e25bf__n9DUta5,1.000000,0.973136,ANTHROPIC_API_KEY
rem-hadoop-machine-b38bf71__ap3QnRp,0.909091,0.884325,ANTHROPIC_API_KEY
rem-hdfs-datanode-7480137__Wp2Xs9z,0.909091,0.787696,ANTHROPIC_API_KEY
rem-hdfs-other-3b66455__VaFgFAo,0.818182,0.573151,ANTHROPIC_API_KEY
rem-hdfs-other-49f4fdc__zrAsLae,0.909091,0.782635,ANTHROPIC_API_KEY
rem-hdfs-other-883eaef__aCePzVt,0.818182,0.856748,ANTHROPIC_API_KEY
rem-hdfs-other-c3d5dee__rWvWhtE,0.818182,1.352208,ANTHROPIC_API_KEY
rem-openstack-vmtask-5bfa11a__YY84VxC,1.000000,0.697113,ANTHROPIC_API_KEY
rem-openstack-vmtask-5d39f69__SxLRJMb,1.000000,1.049917,ANTHROPIC_API_KEY
rem-openstack-vmtask-af78b1a__zgczt7N,1.000000,0.644640,ANTHROPIC_API_KEY
rem-openstack-vmtask-eed6597__ZjssRom,1.000000,1.132959,ANTHROPIC_API_KEY
rem-thunderbird-vapi-90144ad__6j8RKzB,1.000000,0.866316,ANTHROPIC_API_KEY
rem-thunderbird-vapi-d7b7184__EAjxKJp,1.000000,0.527781,ANTHROPIC_API_KEY
seq-bgl-appread-e741c25__wkEskMF,0.916667,0.460906,ANTHROPIC_API_KEY
seq-bgl-kernstor-c934b17__5XAAd9r,1.000000,0.653807,ANTHROPIC_API_KEY
seq-bgl-kernterm-60da0a9__uiTcMEC,1.000000,1.121896,ANTHROPIC_API_KEY
seq-bgl-kernterm-91468df__oLQyqf3,0.916667,1.148937,ANTHROPIC_API_KEY
seq-hadoop-machine-227f3f0__x2qCbD3,0.916667,1.103060,ANTHROPIC_API_KEY
seq-hadoop-machine-5ffbe37__JW2gc3W,0.916667,1.300933,ANTHROPIC_API_KEY
seq-hadoop-machine-bfe1d7a__pu2VkZC,0.916667,1.293635,ANTHROPIC_API_KEY
seq-hadoop-machine-ddc5c70__m28k8v9,0.916667,0.847300,ANTHROPIC_API_KEY
seq-hdfs-datanode-13167c0__8hVf3Tc,0.833333,0.816135,ANTHROPIC_API_KEY
seq-hdfs-other-1f260d4__Fd6MLDP,0.833333,0.782112,ANTHROPIC_API_KEY
seq-hdfs-other-28deb9d__LwiUMVQ,0.833333,1.394642,ANTHROPIC_API_KEY
seq-hdfs-other-41cf55d__rxufZqm,0.833333,0.611964,ANTHROPIC_API_KEY
seq-openstack-vmtask-0965b62__gjM9oee,0.916667,0.735456,ANTHROPIC_API_KEY
seq-openstack-vmtask-1ab1a2a__3RiYDYw,0.916667,1.098873,ANTHROPIC_API_KEY
seq-openstack-vmtask-4552fad__39RncQM,0.916667,0.994768,ANTHROPIC_API_KEY
seq-openstack-vmtask-b7c68ae__texWCzG,0.916667,1.540303,ANTHROPIC_API_KEY
seq-thunderbird-vapi-472ec2b__KUYTSpq,1.000000,0.538594,ANTHROPIC_API_KEY
seq-thunderbird-vapi-60ea24c__4H3AeKF,0.916667,1.025490,ANTHROPIC_API_KEY
seq-thunderbird-vapi-78b9c17__rtJroMg,1.000000,1.139704,ANTHROPIC_API_KEY
seq-thunderbird-vapi-bfb808f__bfYtD2w,0.916667,0.886722,ANTHROPIC_API_KEY
sev-bgl-kerndtlb-f433118__HmxSRaz,0.833333,0.213332,ANTHROPIC_API_KEY
sev-bgl-kernmntf-b5a87d9__B9PtaM7,1.000000,0.222612,ANTHROPIC_API_KEY
sev-bgl-kernstor-ddf2db7__rBXAKf4,1.000000,0.240079,ANTHROPIC_API_KEY
sev-hadoop-machine-455cfbc__9BCdBuH,0.833333,0.376372,ANTHROPIC_API_KEY
sev-hadoop-machine-9e07249__67k7EUb,0.916667,0.566664,ANTHROPIC_API_KEY
sev-hadoop-machine-ddc5c70__3Veb7XR,0.833333,0.547190,ANTHROPIC_API_KEY
sev-hdfs-datanode-a7c0766__4rZ6PFF,0.833333,0.268811,ANTHROPIC_API_KEY
sev-hdfs-other-72dc9df__csEy3pE,0.833333,0.509343,ANTHROPIC_API_KEY
sev-hdfs-other-d2b61da__5SYxPkq,0.833333,0.248651,ANTHROPIC_API_KEY
sev-openstack-vmtask-19ee3d4__6ZJqMNH,0.750000,0.549442,ANTHROPIC_API_KEY
sev-openstack-vmtask-90dde5e__3sZuGaj,0.750000,0.408962,ANTHROPIC_API_KEY
sev-openstack-vmtask-baddf70__tcExpg5,0.833333,0.490586,ANTHROPIC_API_KEY
sev-thunderbird-vapi-4163bf9__kApxo9y,0.916667,0.437894,ANTHROPIC_API_KEY
sev-thunderbird-vapi-4f2864b__3pMjVYp,0.916667,0.497665,ANTHROPIC_API_KEY
sev-thunderbird-vapi-79b7bb8__APkxL6F,0.833333,0.380938,ANTHROPIC_API_KEY
thunderbird-vapi-01593fb__L3xsNGs,0.916667,0.318510,ANTHROPIC_API_KEY
thunderbird-vapi-0f5b2e3__AgyweJC,0.916667,0.541034,ANTHROPIC_API_KEY
thunderbird-vapi-1424314__EnwSJBX,0.916667,0.445977,ANTHROPIC_API_KEY
thunderbird-vapi-16dc6d5__uBSykvD,0.916667,0.470114,ANTHROPIC_API_KEY
thunderbird-vapi-1811141__vEQgXQK,0.916667,0.328179,ANTHROPIC_API_KEY
thunderbird-vapi-18afa88__zFX8fZJ,0.916667,0.276960,ANTHROPIC_API_KEY
thunderbird-vapi-18c5761__x3nENvW,1.000000,0.593797,ANTHROPIC_API_KEY
thunderbird-vapi-19c2f26__mFnHkpR,0.916667,0.430603,ANTHROPIC_API_KEY
thunderbird-vapi-243ea32__F9ZiF8f,1.000000,0.416611,ANTHROPIC_API_KEY
thunderbird-vapi-281f03e__t6mMYkb,0.916667,0.601807,ANTHROPIC_API_KEY
tmpl-bgl-mix-179eff1__sPo7orM,0.875000,0.323371,ANTHROPIC_API_KEY
tmpl-bgl-mix-cbae567__W5Qz8Dx,1.000000,0.181508,ANTHROPIC_API_KEY
tmpl-bgl-mix-f4f80e9__DPFo2Xc,1.000000,0.166497,ANTHROPIC_API_KEY
tmpl-bgl-mix-f6010e2__7jQyRDd,1.000000,0.170229,ANTHROPIC_API_KEY
tmpl-hadoop-mix-349e22a__zwU7hED,0.875000,0.275581,ANTHROPIC_API_KEY
tmpl-hadoop-mix-68969f3__zZK9mbm,1.000000,0.345684,ANTHROPIC_API_KEY
tmpl-hadoop-mix-c9b786a__oGKnXXj,1.000000,0.440601,ANTHROPIC_API_KEY
tmpl-hadoop-mix-f2ba19a__WSWUcfi,1.000000,0.236214,ANTHROPIC_API_KEY
tmpl-hdfs-mix-3ac1e1c__7HgrPRZ,1.000000,0.359845,ANTHROPIC_API_KEY
tmpl-hdfs-mix-4f0961b__NP5K8Qb,1.000000,0.193796,ANTHROPIC_API_KEY
tmpl-hdfs-mix-57d7af0__mrmPBJr,1.000000,0.281939,ANTHROPIC_API_KEY
tmpl-hdfs-mix-70a8709__FM9iJVK,1.000000,0.246513,ANTHROPIC_API_KEY
tmpl-openstack-mix-6264cdc__vhaZqfw,0.875000,0.863741,ANTHROPIC_API_KEY
tmpl-openstack-mix-763a801__ZbQfiUh,1.000000,0.324406,ANTHROPIC_API_KEY
tmpl-openstack-mix-931c507__qrP8VJX,0.750000,0.470693,ANTHROPIC_API_KEY
tmpl-openstack-mix-e649d5c__Jo6THXQ,0.875000,0.390759,ANTHROPIC_API_KEY
tmpl-thunderbird-mix-3e05420__qdBGxex,1.000000,0.318283,ANTHROPIC_API_KEY
tmpl-thunderbird-mix-61ad3ed__m8jAvJu,1.000000,0.239132,ANTHROPIC_API_KEY
tmpl-thunderbird-mix-7cc6d1e__wTkrrD4,1.000000,0.141255,ANTHROPIC_API_KEY
tmpl-thunderbird-mix-aeda6f2__EDnfWkH,1.000000,0.162724,ANTHROPIC_API_KEY
