1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.117038 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.361068 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 04E28203C32FFFFF050F1B904CE0, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.366272 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.368994 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.374340 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J05 do not match. VPD ecid 04E28203C32FFFFF0C0D1BB056E3, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M1-N9 2005-08-02-18.03.59.380642 R20-M1-N9 NULL DISCOVERY SEVERE Can not get assembly information for node card
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.384296 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J05 do not match. VPD ecid 04C18203C02FFFFF09071A7088C9, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.389500 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M1-N9 2005-08-02-18.03.59.393018 R20-M1-N9 NULL DISCOVERY ERROR Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.394659 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.399506 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J06 do not match. VPD ecid 04E28203C32FFFFF08061A8088CB, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.406101 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J06 do not match. VPD ecid 04E28203C32FFFFF0E0D1B804EDF, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.411821 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.414555 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.419552 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J07 do not match. VPD ecid 04D78203212FFFFF040C1B905CE1, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.424669 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J07 do not match. VPD ecid 04E28203C32FFFFF090D1B8064DE, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.429983 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.433662 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.439043 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 04E28203C32FFFFF0D0A1AE050D2, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.444018 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J08 do not match. VPD ecid 04E28203C32FFFFF09021B6056DD, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.449168 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.451711 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J09, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.456687 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J09 do not match. VPD ecid 04C18203C02FFFFF0D0E1AE090D3, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.497938 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J09 do not match. VPD ecid 04E28203C32FFFFF070A1A208EC5, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.503410 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.506010 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J10, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.510863 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J10 do not match. VPD ecid 04C18203C02FFFFF02081AE096D2, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.515790 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J10 do not match. VPD ecid 04D78203212FFFFF0C051A5098C6, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.525904 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.528177 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J11, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.532961 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J11 do not match. VPD ecid 04C18203C02FFFFF0D041AB056D0, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.537785 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J11 do not match. VPD ecid 04E28203C32FFFFF03061BB050E5, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.543283 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.545816 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.550722 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J12 do not match. VPD ecid 04E38202962FFFFF0A0C1A008EC0, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.555656 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J12 do not match. VPD ecid 04E38202962FFFFF0C0F1AD08ED1, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.560728 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.563366 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J13, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.568156 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J13 do not match. VPD ecid 04C18203C02FFFFF0C041AC08ED0, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.580300 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J13 do not match. VPD ecid 04E28203C32FFFFF090F1B604ADC, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.585326 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.587533 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J14, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.592377 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid 04C18203C02FFFFF060D1B0088D4, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.597516 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J14 do not match. VPD ecid 04D78203212FFFFF030A1B2054D8, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.680130 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J15, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.682736 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J15, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.694689 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J15 do not match. VPD ecid 04C18203C02FFFFF09041A7086CA, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.699517 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J15 do not match. VPD ecid 04D78203212FFFFF0C041A70D6CA, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.706974 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J16, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.709328 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J16, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.747762 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J16 do not match. VPD ecid 04D78203212FFFFF0A0619B10ABB, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.752665 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J16 do not match. VPD ecid 04C18203C02FFFFF05051AF058D4, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.763884 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J17, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.766272 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J17, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.771357 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J17 do not match. VPD ecid 04C18203C02FFFFF05041AE048D3, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.831570 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J17 do not match. VPD ecid 04D78203212FFFFF06051A908ECC, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.837027 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J18, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.839273 R20-M0-NC NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J18, ecid 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.843950 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J18 do not match. VPD ecid 04C58126562FFFFF0A071A1110C1, found 0000000000000000000000000000
1123031039 2005.08.02 R20-M0-NC 2005-08-02-18.03.59.848769 R20-M0-NC NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J18 do not match. VPD ecid 04CD8125622FFFFF0B091AF0D8D4, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.502077 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.505446 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.514203 R20-M0-NF NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.519354 R20-M0-N9 NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.520265 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.522443 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J02, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.525729 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J02 do not match. VPD ecid 04CA8087872FFFFF0C041B504ADD, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.529123 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J02 do not match. VPD ecid 075D0E11162FFFFF0C091B2048D5, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.537741 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J02 do not match. VPD ecid 04CA8087872FFFFF0D081B1088D9, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.541113 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J02 do not match. VPD ecid 07450E110A2FFFFF07031AE0CED2, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.544470 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.548544 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.549842 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.552134 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J03, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.561414 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J03 do not match. VPD ecid 04DA8203CB2FFFFF0C041B6054DD, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.564888 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J03 do not match. VPD ecid 075C0E11172FFFFF0B0D1AF088D4, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.568401 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J03 do not match. VPD ecid 04D98203CC2FFFFF0E061B3054DA, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.574008 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J03 do not match. VPD ecid 07470E10DB2FFFFF05041AE08CD2, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.580189 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.583896 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.587593 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.591155 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J04 do not match. VPD ecid 04CA8087D92FFFFF0E091BF04CEB, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.592030 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J04, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.597498 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 04CA8087872FFFFF03091C2062EE, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.605423 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J04 do not match. VPD ecid 075D0E11162FFFFF0E0A1AD08AD0, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.608866 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.612442 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 075C0E11172FFFFF06041AA082CD, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.613297 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.618801 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J05 do not match. VPD ecid 04D181A28A2FFFFF0D061B405EDA, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.627332 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.631029 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J05 do not match. VPD ecid 04DA81A2542FFFFF040D1BF04CE8, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.632316 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J05, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.638004 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.641466 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J05 do not match. VPD ecid 075D0E11162FFFFF01081B0096D4, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.642949 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.651148 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J05 do not match. VPD ecid 075D0E11162FFFFF0D0A1AD08AD1, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.654706 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J06 do not match. VPD ecid 075F0DA04B2FFFFF0D041B509ADC, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.658494 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.662626 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J06 do not match. VPD ecid 074D0DA08A2FFFFF07041A60D0CA, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.663506 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J06, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.671008 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.674430 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J06 do not match. VPD ecid 075D0E11162FFFFF03081AA08ACB, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.675869 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.681541 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J07 do not match. VPD ecid 04DD80871A2FFFFF0E081AB058CF, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.685059 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J06 do not match. VPD ecid 075D0E11162FFFFF0A091B104AD5, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.693557 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J07 do not match. VPD ecid 04D58087CD2FFFFF06041AE08ED1, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.697467 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.701061 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.702211 R20-M0-N9 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J07, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.704809 R20-M0-NF NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J08, ecid 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-N9 2005-08-02-18.04.05.708098 R20-M0-N9 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J07 do not match. VPD ecid 075D0E11162FFFFF08091B2086D5, found 0000000000000000000000000000
1123031045 2005.08.02 R20-M0-NF 2005-08-02-18.04.05.717812 R20-M0-NF NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 04CD8087D52FFFFF08081B308CDA, found 0000000000000000000000000000
