task,reward,source_job,trial_name,exception_type
fp-bgl-noise-315b89a,0.9090909090909091,remaining,fp-bgl-noise-315b89a__NVqkdeF,
fp-bgl-noise-369023f,0.8181818181818182,remaining,fp-bgl-noise-369023f__5dEAbTt,
fp-bgl-noise-41b306a,0.9090909090909091,remaining,fp-bgl-noise-41b306a__cpNnfUJ,
fp-hadoop-noise-0e5d28f,0.9090909090909091,remaining,fp-hadoop-noise-0e5d28f__ii8fT3K,
fp-hadoop-noise-428a9ad,0.8181818181818182,remaining,fp-hadoop-noise-428a9ad__5rjRM4P,
fp-hadoop-noise-42d5010,0.9090909090909091,remaining,fp-hadoop-noise-42d5010__SGrWhkR,
fp-hadoop-noise-98bfd23,0.8181818181818182,remaining,fp-hadoop-noise-98bfd23__HhUsPLj,
fp-hadoop-noise-bf9fea3,0.0,remaining,fp-hadoop-noise-bf9fea3__rm48ugw,RuntimeError
fp-hdfs-noise-85ae5a1,0.7272727272727273,remaining,fp-hdfs-noise-85ae5a1__4vm5N9e,
fp-hdfs-noise-8bf17c1,0.8181818181818182,remaining,fp-hdfs-noise-8bf17c1__DHqFJi6,
fp-hdfs-noise-940a32f,0.8181818181818182,remaining,fp-hdfs-noise-940a32f__ADPFw8p,
fp-hdfs-noise-e50ccd2,0.9090909090909091,remaining,fp-hdfs-noise-e50ccd2__goGaRAr,
fp-hdfs-noise-fe22bac,0.8181818181818182,remaining,fp-hdfs-noise-fe22bac__4kVJ38L,
fp-openstack-noise-03a2078,0.9090909090909091,remaining,fp-openstack-noise-03a2078__oVXRJji,
fp-openstack-noise-56086d8,0.9090909090909091,remaining,fp-openstack-noise-56086d8__KvPQuee,
fp-openstack-noise-c07ecd8,0.8181818181818182,remaining,fp-openstack-noise-c07ecd8__zYGhk7W,
fp-openstack-noise-c2ea054,0.8181818181818182,remaining,fp-openstack-noise-c2ea054__cjfcmi4,
fp-openstack-noise-e165ca6,0.8181818181818182,old,fp-openstack-noise-e165ca6__f2EJnBb,
fp-thunderbird-noise-38e9298,0.9090909090909091,remaining,fp-thunderbird-noise-38e9298__HQLWtt9,
fp-thunderbird-noise-6fab501,0.8181818181818182,old,fp-thunderbird-noise-6fab501__BrBJqSs,
fp-thunderbird-noise-71c0a92,0.0,remaining,fp-thunderbird-noise-71c0a92__yTFQhRg,RuntimeError
fp-thunderbird-noise-b072f8f,0.8181818181818182,remaining,fp-thunderbird-noise-b072f8f__xA98ZHh,
fp-thunderbird-noise-b30ff22,0.8181818181818182,remaining,fp-thunderbird-noise-b30ff22__wkpciqC,
hadoop-disk-01f3662,0.8461538461538461,old,hadoop-disk-01f3662__XoBAh7L,
hadoop-disk-7421ef3,0.8461538461538461,remaining,hadoop-disk-7421ef3__aEWYBjX,
hadoop-disk-d7423f3,0.7692307692307693,remaining,hadoop-disk-d7423f3__gtbuRLm,
hadoop-machine-072a24d,0.0,remaining,hadoop-machine-072a24d__dMFmH5b,AgentTimeoutError
hadoop-machine-1543ee3,0.0,remaining,hadoop-machine-1543ee3__TAdKGF3,RuntimeError
hadoop-machine-2962a82,0.8461538461538461,remaining,hadoop-machine-2962a82__Cm4dvoT,
hadoop-machine-83cb08d,0.8461538461538461,remaining,hadoop-machine-83cb08d__aE4dxuZ,
hadoop-machine-a35690c,0.7692307692307693,remaining,hadoop-machine-a35690c__CGVhWJQ,
hadoop-machine-e087882,0.0,remaining,hadoop-machine-e087882__c5He4dF,RuntimeError
hadoop-network-d9fe22b,0.8461538461538461,remaining,hadoop-network-d9fe22b__f6Hg9HW,
hadoop-network-e61f883,0.8461538461538461,remaining,hadoop-network-e61f883__QxGxRvC,
hadoop-network-f9aba47,0.8461538461538461,remaining,hadoop-network-f9aba47__sv7dFXb,
hdfs-datanode-0b694b5,0.7692307692307693,remaining,hdfs-datanode-0b694b5__uqpwhDY,
hdfs-datanode-0cfc87b,0.7692307692307693,remaining,hdfs-datanode-0cfc87b__bSWFHxk,
hdfs-datanode-0ea6434,0.7692307692307693,old,hdfs-datanode-0ea6434__jHqMtUV,
hdfs-datanode-1676bed,0.7692307692307693,remaining,hdfs-datanode-1676bed__2H6RPsk,
hdfs-datanode-1b44f6f,0.7692307692307693,remaining,hdfs-datanode-1b44f6f__JwYg8Wa,
hdfs-datanode-1d29d98,0.7692307692307693,remaining,hdfs-datanode-1d29d98__Phg43Vm,
hdfs-datanode-31cffcd,0.0,remaining,hdfs-datanode-31cffcd__gafZw3x,RuntimeError
hdfs-datanode-45679b9,0.7692307692307693,remaining,hdfs-datanode-45679b9__kmjE5i3,
hdfs-other-01d07b5,0.7692307692307693,remaining,hdfs-other-01d07b5__6Yo7jDk,
hdfs-other-02fbbad,0.7692307692307693,remaining,hdfs-other-02fbbad__5z43YjH,
hdfs-other-0b71922,0.6923076923076923,old,hdfs-other-0b71922__TZqsGti,
hdfs-other-0c66ee6,0.6923076923076923,remaining,hdfs-other-0c66ee6__YRVaV2m,
hdfs-other-1834c8a,0.7692307692307693,remaining,hdfs-other-1834c8a__rBT8xAe,
hdfs-other-28ad439,0.0,remaining,hdfs-other-28ad439__xkpFEDM,RuntimeError
hdfs-other-3038a60,0.7692307692307693,remaining,hdfs-other-3038a60__W4bWYRW,
hdfs-other-44ab975,0.7692307692307693,remaining,hdfs-other-44ab975__zxe2Gqq,
hdfs-replication-63469ad,0.8461538461538461,remaining,hdfs-replication-63469ad__be47YcS,
hdfs-replication-c4e83ae,0.8461538461538461,remaining,hdfs-replication-c4e83ae__SVBGMtt,
openstack-vmtask-0304240,0.6923076923076923,old,openstack-vmtask-0304240__hauwVbc,
openstack-vmtask-2024031,0.8461538461538461,remaining,openstack-vmtask-2024031__FcyYZ6D,
openstack-vmtask-30d02c4,0.8461538461538461,remaining,openstack-vmtask-30d02c4__jnSmgVX,
openstack-vmtask-4f58ba6,0.8461538461538461,old,openstack-vmtask-4f58ba6__iHFr5M8,
openstack-vmtask-632d9ef,0.8461538461538461,old,openstack-vmtask-632d9ef__3gyJwUp,
rem-bgl-appsev-60b972e,0.9090909090909091,remaining,rem-bgl-appsev-60b972e__VGXmzmT,
rem-bgl-kernstor-6b707af,1.0,remaining,rem-bgl-kernstor-6b707af__w4hnLDJ,
rem-bgl-kernstor-71147f6,1.0,old,rem-bgl-kernstor-71147f6__vv6vkQU,
rem-bgl-kernstor-dcb0274,1.0,remaining,rem-bgl-kernstor-dcb0274__Zc9Pm3R,
rem-hadoop-machine-04e0a50,0.0,remaining,rem-hadoop-machine-04e0a50__ba5FJzt,RuntimeError
rem-hadoop-machine-2309f31,1.0,remaining,rem-hadoop-machine-2309f31__7Gd3Kwo,
rem-hadoop-machine-99f4466,0.0,remaining,rem-hadoop-machine-99f4466__frH59kZ,RuntimeError
rem-hadoop-machine-b1e25bf,1.0,remaining,rem-hadoop-machine-b1e25bf__XTrujgu,
rem-hadoop-machine-b38bf71,0.0,old,rem-hadoop-machine-b38bf71__DHZXYzF,AgentTimeoutError
rem-hdfs-datanode-7480137,0.0,remaining,rem-hdfs-datanode-7480137__UTFUEMZ,RuntimeError
rem-hdfs-other-3b66455,0.8181818181818182,remaining,rem-hdfs-other-3b66455__BpDrbTu,
rem-hdfs-other-49f4fdc,0.9090909090909091,remaining,rem-hdfs-other-49f4fdc__uCkK3xv,
rem-hdfs-other-883eaef,0.8181818181818182,remaining,rem-hdfs-other-883eaef__BbzCEqu,
rem-hdfs-other-c3d5dee,0.8181818181818182,old,rem-hdfs-other-c3d5dee__Uom6eky,
rem-openstack-vmtask-5bfa11a,0.45454545454545453,remaining,rem-openstack-vmtask-5bfa11a__Nm7Nj3B,
rem-openstack-vmtask-5d39f69,1.0,remaining,rem-openstack-vmtask-5d39f69__3SDXEbQ,
rem-openstack-vmtask-af78b1a,1.0,remaining,rem-openstack-vmtask-af78b1a__3FMsRDv,
rem-openstack-vmtask-eed6597,1.0,remaining,rem-openstack-vmtask-eed6597__zLyogoc,
rem-thunderbird-vapi-90144ad,1.0,remaining,rem-thunderbird-vapi-90144ad__6WYaFwr,
rem-thunderbird-vapi-d7b7184,1.0,remaining,rem-thunderbird-vapi-d7b7184__wP5ZqPZ,
seq-bgl-appread-e741c25,0.0,remaining,seq-bgl-appread-e741c25__xjGqCUT,RuntimeError
seq-bgl-kernstor-c934b17,0.8333333333333334,remaining,seq-bgl-kernstor-c934b17__TjK7r8L,
seq-bgl-kernterm-60da0a9,0.8333333333333334,old,seq-bgl-kernterm-60da0a9__5T6yg9c,
seq-bgl-kernterm-91468df,0.9166666666666666,remaining,seq-bgl-kernterm-91468df__6VzNHsj,
seq-hadoop-machine-227f3f0,0.9166666666666666,old,seq-hadoop-machine-227f3f0__4Dw3SW4,
seq-hadoop-machine-5ffbe37,0.9166666666666666,remaining,seq-hadoop-machine-5ffbe37__LyB4hhi,
seq-hadoop-machine-bfe1d7a,0.0,remaining,seq-hadoop-machine-bfe1d7a__hVuhR8T,RuntimeError
seq-hadoop-machine-ddc5c70,0.0,remaining,seq-hadoop-machine-ddc5c70__P5Vtr6T,RuntimeError
seq-hdfs-datanode-13167c0,0.8333333333333334,remaining,seq-hdfs-datanode-13167c0__nCUS2z9,
seq-hdfs-other-1f260d4,0.8333333333333334,remaining,seq-hdfs-other-1f260d4__x7i2aNm,
seq-hdfs-other-28deb9d,0.75,remaining,seq-hdfs-other-28deb9d__wUzGRPH,
seq-hdfs-other-41cf55d,0.8333333333333334,remaining,seq-hdfs-other-41cf55d__gUmUMGV,
seq-openstack-vmtask-0965b62,0.9166666666666666,remaining,seq-openstack-vmtask-0965b62__BJ4Dr9N,
seq-openstack-vmtask-1ab1a2a,0.0,remaining,seq-openstack-vmtask-1ab1a2a__tuc9qSz,VerifierTimeoutError
seq-openstack-vmtask-4552fad,0.9166666666666666,remaining,seq-openstack-vmtask-4552fad__ti7ut8k,
seq-openstack-vmtask-b7c68ae,0.9166666666666666,remaining,seq-openstack-vmtask-b7c68ae__BiuzKW5,
seq-thunderbird-vapi-472ec2b,0.9166666666666666,remaining,seq-thunderbird-vapi-472ec2b__Y47uE2D,
seq-thunderbird-vapi-60ea24c,0.9166666666666666,remaining,seq-thunderbird-vapi-60ea24c__V8NyFFU,
seq-thunderbird-vapi-78b9c17,1.0,remaining,seq-thunderbird-vapi-78b9c17__aWLEEj6,
seq-thunderbird-vapi-bfb808f,0.8333333333333334,remaining,seq-thunderbird-vapi-bfb808f__bHpmhes,
sev-bgl-kerndtlb-f433118,0.8333333333333334,remaining,sev-bgl-kerndtlb-f433118__sqGBqQG,
sev-bgl-kernmntf-b5a87d9,1.0,remaining,sev-bgl-kernmntf-b5a87d9__EfrPSCm,
sev-bgl-kernstor-ddf2db7,1.0,remaining,sev-bgl-kernstor-ddf2db7__im79Rvi,
sev-hadoop-machine-455cfbc,0.8333333333333334,old,sev-hadoop-machine-455cfbc__uznY97z,
sev-hadoop-machine-9e07249,0.9166666666666666,remaining,sev-hadoop-machine-9e07249__yNayXM7,
sev-hadoop-machine-ddc5c70,0.9166666666666666,remaining,sev-hadoop-machine-ddc5c70__ghR6zFo,
sev-hdfs-datanode-a7c0766,0.8333333333333334,remaining,sev-hdfs-datanode-a7c0766__A5DE2cZ,
sev-hdfs-other-72dc9df,0.8333333333333334,remaining,sev-hdfs-other-72dc9df__BWQanjc,
sev-hdfs-other-d2b61da,0.8333333333333334,remaining,sev-hdfs-other-d2b61da__gpvehEK,
sev-openstack-vmtask-19ee3d4,0.75,remaining,sev-openstack-vmtask-19ee3d4__7J5nVWi,
sev-openstack-vmtask-90dde5e,0.75,remaining,sev-openstack-vmtask-90dde5e__xTG6Woh,
sev-openstack-vmtask-baddf70,0.9166666666666666,remaining,sev-openstack-vmtask-baddf70__aDgSj2X,
sev-thunderbird-vapi-4163bf9,0.9166666666666666,remaining,sev-thunderbird-vapi-4163bf9__TRpDTRg,
sev-thunderbird-vapi-4f2864b,0.75,remaining,sev-thunderbird-vapi-4f2864b__gqcXKaD,
sev-thunderbird-vapi-79b7bb8,0.9166666666666666,remaining,sev-thunderbird-vapi-79b7bb8__5JxrPfP,
thunderbird-vapi-01593fb,0.9166666666666666,remaining,thunderbird-vapi-01593fb__qvtQtVe,
thunderbird-vapi-0f5b2e3,1.0,remaining,thunderbird-vapi-0f5b2e3__Rxt4pdG,
thunderbird-vapi-1424314,1.0,remaining,thunderbird-vapi-1424314__NomPjV7,
thunderbird-vapi-16dc6d5,0.9166666666666666,remaining,thunderbird-vapi-16dc6d5__ut33c57,
thunderbird-vapi-1811141,0.0,remaining,thunderbird-vapi-1811141__UCnpKgN,RuntimeError
thunderbird-vapi-18afa88,0.9166666666666666,remaining,thunderbird-vapi-18afa88__Q87b2dg,
thunderbird-vapi-18c5761,0.0,remaining,thunderbird-vapi-18c5761__vuBL3sB,RuntimeError
thunderbird-vapi-19c2f26,1.0,remaining,thunderbird-vapi-19c2f26__LEDiDUZ,
thunderbird-vapi-243ea32,1.0,remaining,thunderbird-vapi-243ea32__78oFnco,
thunderbird-vapi-281f03e,0.9166666666666666,remaining,thunderbird-vapi-281f03e__VJWBAVj,
tmpl-bgl-mix-179eff1,0.875,old,tmpl-bgl-mix-179eff1__ZeyfCSQ,
tmpl-bgl-mix-cbae567,1.0,remaining,tmpl-bgl-mix-cbae567__8L794Mb,
tmpl-bgl-mix-f4f80e9,1.0,remaining,tmpl-bgl-mix-f4f80e9__DEukhdw,
tmpl-bgl-mix-f6010e2,1.0,remaining,tmpl-bgl-mix-f6010e2__8ujAvpe,
tmpl-hadoop-mix-349e22a,0.0,remaining,tmpl-hadoop-mix-349e22a__A5w8SpV,RuntimeError
tmpl-hadoop-mix-68969f3,0.875,remaining,tmpl-hadoop-mix-68969f3__jnGkNHs,
tmpl-hadoop-mix-c9b786a,0.875,remaining,tmpl-hadoop-mix-c9b786a__UVrVDfu,
tmpl-hadoop-mix-f2ba19a,0.0,remaining,tmpl-hadoop-mix-f2ba19a__KUQrQVe,RuntimeError
tmpl-hdfs-mix-3ac1e1c,1.0,remaining,tmpl-hdfs-mix-3ac1e1c__B3eGRse,
tmpl-hdfs-mix-4f0961b,1.0,remaining,tmpl-hdfs-mix-4f0961b__9wfKcdf,
tmpl-hdfs-mix-57d7af0,1.0,remaining,tmpl-hdfs-mix-57d7af0__FXVGtoE,
tmpl-hdfs-mix-70a8709,1.0,remaining,tmpl-hdfs-mix-70a8709__KjSTYDE,
tmpl-openstack-mix-6264cdc,0.0,remaining,tmpl-openstack-mix-6264cdc__LSzbWaa,RuntimeError
tmpl-openstack-mix-763a801,0.875,remaining,tmpl-openstack-mix-763a801__c42go5f,
tmpl-openstack-mix-931c507,0.875,remaining,tmpl-openstack-mix-931c507__nxh4aT5,
tmpl-openstack-mix-e649d5c,0.875,remaining,tmpl-openstack-mix-e649d5c__KetZKs2,
tmpl-thunderbird-mix-3e05420,1.0,remaining,tmpl-thunderbird-mix-3e05420__3Wo3jJW,
tmpl-thunderbird-mix-61ad3ed,1.0,remaining,tmpl-thunderbird-mix-61ad3ed__4fvQKWA,
tmpl-thunderbird-mix-7cc6d1e,1.0,remaining,tmpl-thunderbird-mix-7cc6d1e__yZoFzDm,
tmpl-thunderbird-mix-aeda6f2,1.0,remaining,tmpl-thunderbird-mix-aeda6f2__gPBVQHP,
