1137585740 2006.01.18 bn398 Jan 18 04:02:20 bn398/bn398 sendmail[31373]: My unqualified host name (bn398) unknown; sleeping for retry
1137585740 2006.01.18 bn921 Jan 18 04:02:20 bn921/bn921 sendmail[31791]: My unqualified host name (bn921) unknown; sleeping for retry
1137585740 2006.01.18 bn93 Jan 18 04:02:20 bn93/bn93 sendmail[31769]: My unqualified host name (bn93) unknown; sleeping for retry
1137585740 2006.01.18 bn935 Jan 18 04:02:20 bn935/bn935 sendmail[32138]: My unqualified host name (bn935) unknown; sleeping for retry
1137585740 2006.01.18 bn965 Jan 18 04:02:20 bn965/bn965 sendmail[28805]: My unqualified host name (bn965) unknown; sleeping for retry
1137585740 2006.01.18 bn969 Jan 18 04:02:20 bn969/bn969 sendmail[28815]: My unqualified host name (bn969) unknown; sleeping for retry
1137585740 2006.01.18 bn995 Jan 18 04:02:20 bn995/bn995 sendmail[28818]: My unqualified host name (bn995) unknown; sleeping for retry
1137585740 2006.01.18 cadmin3 Jan 18 04:02:20 src@cadmin3 sendmail[30153]: My unqualified host name (cadmin3) unknown; sleeping for retry
1137585740 2006.01.18 cn1022 Jan 18 04:02:20 cn1022/cn1022 sendmail[3171]: My unqualified host name (cn1022) unknown; sleeping for retry
1137585740 2006.01.18 cn112 Jan 18 04:02:20 cn112/cn112 sendmail[2799]: My unqualified host name (cn112) unknown; sleeping for retry
1137585740 2006.01.18 cn134 Jan 18 04:02:20 cn134/cn134 sendmail[2856]: My unqualified host name (cn134) unknown; sleeping for retry
1137585740 2006.01.18 cn162 Jan 18 04:02:20 cn162/cn162 sendmail[2770]: My unqualified host name (cn162) unknown; sleeping for retry
1137585740 2006.01.18 cn228 Jan 18 04:02:20 cn228/cn228 sendmail[2844]: My unqualified host name (cn228) unknown; sleeping for retry
1137585740 2006.01.18 cn24 Jan 18 04:02:20 cn24/cn24 sendmail[2786]: My unqualified host name (cn24) unknown; sleeping for retry
1137585740 2006.01.18 cn258 Jan 18 04:02:20 cn258/cn258 sendmail[2411]: My unqualified host name (cn258) unknown; sleeping for retry
1137585740 2006.01.18 cn260 Jan 18 04:02:20 cn260/cn260 sendmail[2566]: My unqualified host name (cn260) unknown; sleeping for retry
1137585740 2006.01.18 cn277 Jan 18 04:02:20 cn277/cn277 sendmail[2675]: My unqualified host name (cn277) unknown; sleeping for retry
1137585740 2006.01.18 cn324 Jan 18 04:02:20 cn324/cn324 sendmail[2552]: My unqualified host name (cn324) unknown; sleeping for retry
1137585740 2006.01.18 cn362 Jan 18 04:02:20 cn362/cn362 sendmail[2655]: My unqualified host name (cn362) unknown; sleeping for retry
1137585740 2006.01.18 cn376 Jan 18 04:02:20 cn376/cn376 sendmail[2543]: My unqualified host name (cn376) unknown; sleeping for retry
1137585740 2006.01.18 cn382 Jan 18 04:02:20 cn382/cn382 sendmail[2692]: My unqualified host name (cn382) unknown; sleeping for retry
1137585740 2006.01.18 cn397 Jan 18 04:02:20 cn397/cn397 sendmail[2741]: My unqualified host name (cn397) unknown; sleeping for retry
1137585740 2006.01.18 cn438 Jan 18 04:02:20 cn438/cn438 sendmail[2669]: My unqualified host name (cn438) unknown; sleeping for retry
1137585740 2006.01.18 cn539 Jan 18 04:02:20 cn539/cn539 sendmail[8608]: My unqualified host name (cn539) unknown; sleeping for retry
1137585740 2006.01.18 cn549 Jan 18 04:02:20 cn549/cn549 sendmail[8618]: My unqualified host name (cn549) unknown; sleeping for retry
1137585740 2006.01.18 cn578 Jan 18 04:02:20 cn578/cn578 sendmail[8559]: My unqualified host name (cn578) unknown; sleeping for retry
1137585740 2006.01.18 cn589 Jan 18 04:02:20 cn589/cn589 sendmail[8558]: My unqualified host name (cn589) unknown; sleeping for retry
1137585740 2006.01.18 cn60 Jan 18 04:02:20 cn60/cn60 sendmail[2842]: My unqualified host name (cn60) unknown; sleeping for retry
1137585740 2006.01.18 cn604 Jan 18 04:02:20 cn604/cn604 sendmail[8545]: My unqualified host name (cn604) unknown; sleeping for retry
1137585740 2006.01.18 cn632 Jan 18 04:02:20 cn632/cn632 sendmail[8583]: My unqualified host name (cn632) unknown; sleeping for retry
1137585740 2006.01.18 cn676 Jan 18 04:02:20 cn676/cn676 sendmail[8634]: My unqualified host name (cn676) unknown; sleeping for retry
1137585740 2006.01.18 cn697 Jan 18 04:02:20 cn697/cn697 sendmail[8666]: My unqualified host name (cn697) unknown; sleeping for retry
1137585740 2006.01.18 cn738 Jan 18 04:02:20 cn738/cn738 sendmail[8676]: My unqualified host name (cn738) unknown; sleeping for retry
1137585740 2006.01.18 cn803 Jan 18 04:02:20 cn803/cn803 sendmail[2821]: My unqualified host name (cn803) unknown; sleeping for retry
1137585740 2006.01.18 cn826 Jan 18 04:02:20 cn826/cn826 sendmail[2549]: My unqualified host name (cn826) unknown; sleeping for retry
1137585740 2006.01.18 cn844 Jan 18 04:02:20 cn844/cn844 sendmail[2762]: My unqualified host name (cn844) unknown; sleeping for retry
1137585740 2006.01.18 cn856 Jan 18 04:02:20 cn856/cn856 sendmail[2721]: My unqualified host name (cn856) unknown; sleeping for retry
1137585740 2006.01.18 cn868 Jan 18 04:02:20 cn868/cn868 sendmail[2833]: My unqualified host name (cn868) unknown; sleeping for retry
1137585740 2006.01.18 cn875 Jan 18 04:02:20 cn875/cn875 sendmail[2772]: My unqualified host name (cn875) unknown; sleeping for retry
1137585740 2006.01.18 cn903 Jan 18 04:02:20 cn903/cn903 sendmail[2688]: My unqualified host name (cn903) unknown; sleeping for retry
1137585740 2006.01.18 cn911 Jan 18 04:02:20 cn911/cn911 sendmail[2607]: My unqualified host name (cn911) unknown; sleeping for retry
1137585740 2006.01.18 cn940 Jan 18 04:02:20 cn940/cn940 sendmail[1475]: My unqualified host name (cn940) unknown; sleeping for retry
1137585740 2006.01.18 cn986 Jan 18 04:02:20 cn986/cn986 sendmail[2611]: My unqualified host name (cn986) unknown; sleeping for retry
1137585740 2006.01.18 dn111 Jan 18 04:02:20 dn111/dn111 sendmail[4481]: My unqualified host name (dn111) unknown; sleeping for retry
1137585740 2006.01.18 dn125 Jan 18 04:02:20 dn125/dn125 sendmail[30044]: My unqualified host name (dn125) unknown; sleeping for retry
1137585740 2006.01.18 dn177 Jan 18 04:02:20 dn177/dn177 sendmail[30095]: My unqualified host name (dn177) unknown; sleeping for retry
1137585740 2006.01.18 dn181 Jan 18 04:02:20 dn181/dn181 sendmail[30142]: My unqualified host name (dn181) unknown; sleeping for retry
1137585740 2006.01.18 dn207 Jan 18 04:02:20 dn207/dn207 sendmail[4528]: My unqualified host name (dn207) unknown; sleeping for retry
1137585740 2006.01.18 dn212 Jan 18 04:02:20 dn212/dn212 sendmail[32529]: My unqualified host name (dn212) unknown; sleeping for retry
1137585740 2006.01.18 dn280 Jan 18 04:02:20 dn280/dn280 sendmail[32174]: My unqualified host name (dn280) unknown; sleeping for retry
1137585740 2006.01.18 dn298 Jan 18 04:02:20 dn298/dn298 sendmail[32159]: My unqualified host name (dn298) unknown; sleeping for retry
1137585740 2006.01.18 dn350 Jan 18 04:02:20 dn350/dn350 sendmail[4622]: My unqualified host name (dn350) unknown; sleeping for retry
1137585740 2006.01.18 dn368 Jan 18 04:02:20 dn368/dn368 sendmail[4632]: My unqualified host name (dn368) unknown; sleeping for retry
1137585740 2006.01.18 dn425 Jan 18 04:02:20 dn425/dn425 sendmail[32141]: My unqualified host name (dn425) unknown; sleeping for retry
1137585740 2006.01.18 dn443 Jan 18 04:02:20 dn443/dn443 sendmail[4642]: My unqualified host name (dn443) unknown; sleeping for retry
1137585740 2006.01.18 dn444 Jan 18 04:02:20 dn444/dn444 sendmail[32146]: My unqualified host name (dn444) unknown; sleeping for retry
1137585740 2006.01.18 dn490 Jan 18 04:02:20 dn490/dn490 sendmail[4523]: My unqualified host name (dn490) unknown; sleeping for retry
1137585740 2006.01.18 dn535 Jan 18 04:02:20 dn535/dn535 sendmail[32051]: My unqualified host name (dn535) unknown; sleeping for retry
1137585740 2006.01.18 dn553 Jan 18 04:02:20 dn553/dn553 sendmail[32226]: My unqualified host name (dn553) unknown; sleeping for retry
1137585740 2006.01.18 dn563 Jan 18 04:02:20 dn563/dn563 sendmail[4672]: My unqualified host name (dn563) unknown; sleeping for retry
1137585740 2006.01.18 dn580 Jan 18 04:02:20 dn580/dn580 sendmail[32276]: My unqualified host name (dn580) unknown; sleeping for retry
1137585740 2006.01.18 dn581 Jan 18 04:02:20 dn581/dn581 sendmail[32287]: My unqualified host name (dn581) unknown; sleeping for retry
1137585740 2006.01.18 dn590 Jan 18 04:02:20 dn590/dn590 sendmail[4867]: My unqualified host name (dn590) unknown; sleeping for retry
1137585740 2006.01.18 dn631 Jan 18 04:02:20 dn631/dn631 sendmail[16223]: My unqualified host name (dn631) unknown; sleeping for retry
1137585740 2006.01.18 dn659 Jan 18 04:02:20 dn659/dn659 sendmail[32286]: My unqualified host name (dn659) unknown; sleeping for retry
1137585740 2006.01.18 dn693 Jan 18 04:02:20 dn693/dn693 sendmail[4693]: My unqualified host name (dn693) unknown; sleeping for retry
1137585740 2006.01.18 dn784 Jan 18 04:02:20 dn784/dn784 sendmail[32545]: My unqualified host name (dn784) unknown; sleeping for retry
1137585740 2006.01.18 dn80 Jan 18 04:02:20 dn80/dn80 sendmail[4482]: My unqualified host name (dn80) unknown; sleeping for retry
1137585740 2006.01.18 dn829 Jan 18 04:02:20 dn829/dn829 sendmail[16146]: My unqualified host name (dn829) unknown; sleeping for retry
1137585740 2006.01.18 dn859 Jan 18 04:02:20 dn859/dn859 sendmail[4945]: My unqualified host name (dn859) unknown; sleeping for retry
1137585740 2006.01.18 dn87 Jan 18 04:02:20 dn87/dn87 sendmail[32624]: My unqualified host name (dn87) unknown; sleeping for retry
1137585740 2006.01.18 dn870 Jan 18 04:02:20 dn870/dn870 sendmail[28892]: My unqualified host name (dn870) unknown; sleeping for retry
1137585740 2006.01.18 dn879 Jan 18 04:02:20 dn879/dn879 sendmail[32401]: My unqualified host name (dn879) unknown; sleeping for retry
1137585740 2006.01.18 dn928 Jan 18 04:02:20 dn928/dn928 sendmail[32387]: My unqualified host name (dn928) unknown; sleeping for retry
1137585740 2006.01.18 dn96 Jan 18 04:02:20 dn96/dn96 sendmail[30057]: My unqualified host name (dn96) unknown; sleeping for retry
1137585740 2006.01.18 dn998 Jan 18 04:02:20 dn998/dn998 sendmail[4459]: My unqualified host name (dn998) unknown; sleeping for retry
1137585741 2006.01.18 an151 Jan 18 04:02:21 an151/an151 sendmail[15555]: My unqualified host name (an151) unknown; sleeping for retry
1137585741 2006.01.18 an226 Jan 18 04:02:21 an226/an226 sendmail[6166]: My unqualified host name (an226) unknown; sleeping for retry
1137585741 2006.01.18 an246 Jan 18 04:02:21 an246/an246 sendmail[16324]: My unqualified host name (an246) unknown; sleeping for retry
1137585741 2006.01.18 an265 Jan 18 04:02:21 an265/an265 sendmail[3357]: My unqualified host name (an265) unknown; sleeping for retry
1137585741 2006.01.18 an281 Jan 18 04:02:21 an281/an281 sendmail[3338]: My unqualified host name (an281) unknown; sleeping for retry
1137585741 2006.01.18 an331 Jan 18 04:02:21 an331/an331 sendmail[3309]: My unqualified host name (an331) unknown; sleeping for retry
1137585741 2006.01.18 an334 Jan 18 04:02:21 an334/an334 sendmail[3287]: My unqualified host name (an334) unknown; sleeping for retry
1137585741 2006.01.18 an386 Jan 18 04:02:21 an386/an386 sendmail[3953]: My unqualified host name (an386) unknown; sleeping for retry
1137585741 2006.01.18 an387 Jan 18 04:02:21 an387/an387 sendmail[3279]: My unqualified host name (an387) unknown; sleeping for retry
1137585741 2006.01.18 an48 Jan 18 04:02:21 an48/an48 sendmail[16714]: My unqualified host name (an48) unknown; sleeping for retry
1137585741 2006.01.18 an555 Jan 18 04:02:21 an555/an555 sendmail[6595]: My unqualified host name (an555) unknown; sleeping for retry
1137585741 2006.01.18 an585 Jan 18 04:02:21 an585/an585 sendmail[3610]: My unqualified host name (an585) unknown; sleeping for retry
1137585741 2006.01.18 an611 Jan 18 04:02:21 an611/an611 sendmail[3406]: My unqualified host name (an611) unknown; sleeping for retry
1137585741 2006.01.18 an616 Jan 18 04:02:21 an616/an616 sendmail[3242]: My unqualified host name (an616) unknown; sleeping for retry
1137585741 2006.01.18 an659 Jan 18 04:02:21 an659/an659 sendmail[3389]: My unqualified host name (an659) unknown; sleeping for retry
1137585741 2006.01.18 an692 Jan 18 04:02:21 an692/an692 sendmail[3393]: My unqualified host name (an692) unknown; sleeping for retry
1137585741 2006.01.18 an713 Jan 18 04:02:21 an713/an713 sendmail[3190]: My unqualified host name (an713) unknown; sleeping for retry
1137585741 2006.01.18 an733 Jan 18 04:02:21 an733/an733 sendmail[3551]: My unqualified host name (an733) unknown; sleeping for retry
1137585741 2006.01.18 an764 Jan 18 04:02:21 an764/an764 sendmail[4032]: My unqualified host name (an764) unknown; sleeping for retry
1137585741 2006.01.18 an82 Jan 18 04:02:21 an82/an82 sendmail[15266]: My unqualified host name (an82) unknown; sleeping for retry
1137585741 2006.01.18 an849 Jan 18 04:02:21 an849/an849 sendmail[32433]: My unqualified host name (an849) unknown; sleeping for retry
1137585741 2006.01.18 an874 Jan 18 04:02:21 an874/an874 sendmail[32428]: My unqualified host name (an874) unknown; sleeping for retry
1137585741 2006.01.18 an881 Jan 18 04:02:21 an881/an881 sendmail[31324]: My unqualified host name (an881) unknown; sleeping for retry
1137585741 2006.01.18 an903 Jan 18 04:02:21 an903/an903 sendmail[3772]: My unqualified host name (an903) unknown; sleeping for retry
1137585741 2006.01.18 an921 Jan 18 04:02:21 an921/an921 sendmail[3661]: My unqualified host name (an921) unknown; sleeping for retry
1137585741 2006.01.18 an962 Jan 18 04:02:21 an962/an962 sendmail[30213]: My unqualified host name (an962) unknown; sleeping for retry
1137585741 2006.01.18 bn1019 Jan 18 04:02:21 bn1019/bn1019 sendmail[28806]: My unqualified host name (bn1019) unknown; sleeping for retry
1137585741 2006.01.18 bn191 Jan 18 04:02:21 bn191/bn191 sendmail[3507]: My unqualified host name (bn191) unknown; sleeping for retry
1137585741 2006.01.18 bn201 Jan 18 04:02:21 bn201/bn201 Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0
1137585741 2006.01.18 bn201 Jan 18 04:02:21 bn201/bn201 snmpd[8751]: Got trap from peer on fd 13
1137585741 2006.01.18 bn207 Jan 18 04:02:21 bn207/bn207 sendmail[30858]: My unqualified host name (bn207) unknown; sleeping for retry
1137585741 2006.01.18 bn220 Jan 18 04:02:21 bn220/bn220 Server Administrator: Instrumentation Service EventID: 1053 Temperature sensor detected a warning value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: OK (Normal) Temperature sensor value (in Degrees Celsius): 10.0
1137585741 2006.01.18 bn220 Jan 18 04:02:21 bn220/bn220 snmpd[8813]: Got trap from peer on fd 13
1137585741 2006.01.18 bn223 Jan 18 04:02:21 bn223/bn223 sendmail[32093]: My unqualified host name (bn223) unknown; sleeping for retry
1137585741 2006.01.18 bn243 Jan 18 04:02:21 bn243/bn243 sendmail[569]: My unqualified host name (bn243) unknown; sleeping for retry
1137585741 2006.01.18 bn251 Jan 18 04:02:21 bn251/bn251 sendmail[27771]: My unqualified host name (bn251) unknown; sleeping for retry
1137585741 2006.01.18 bn281 Jan 18 04:02:21 bn281/bn281 sendmail[31284]: My unqualified host name (bn281) unknown; sleeping for retry
1137585741 2006.01.18 bn313 Jan 18 04:02:21 bn313/bn313 sendmail[3516]: My unqualified host name (bn313) unknown; sleeping for retry
1137585741 2006.01.18 bn333 Jan 18 04:02:21 bn333/bn333 sendmail[31705]: My unqualified host name (bn333) unknown; sleeping for retry
1137585741 2006.01.18 bn337 Jan 18 04:02:21 bn337/bn337 sendmail[31707]: My unqualified host name (bn337) unknown; sleeping for retry
1137585741 2006.01.18 bn352 Jan 18 04:02:21 bn352/bn352 sendmail[31715]: My unqualified host name (bn352) unknown; sleeping for retry
1137585741 2006.01.18 bn375 Jan 18 04:02:21 bn375/bn375 sendmail[31729]: My unqualified host name (bn375) unknown; sleeping for retry
1137585741 2006.01.18 bn376 Jan 18 04:02:21 bn376/bn376 sendmail[31728]: My unqualified host name (bn376) unknown; sleeping for retry
1137585741 2006.01.18 bn378 Jan 18 04:02:21 bn378/bn378 sendmail[31365]: My unqualified host name (bn378) unknown; sleeping for retry
1137585741 2006.01.18 bn383 Jan 18 04:02:21 bn383/bn383 sendmail[31734]: My unqualified host name (bn383) unknown; sleeping for retry
1137585741 2006.01.18 bn402 Jan 18 04:02:21 bn402/bn402 sendmail[31385]: My unqualified host name (bn402) unknown; sleeping for retry
1137585741 2006.01.18 bn423 Jan 18 04:02:21 bn423/bn423 sendmail[32166]: My unqualified host name (bn423) unknown; sleeping for retry
1137585741 2006.01.18 bn436 Jan 18 04:02:21 bn436/bn436 sendmail[32187]: My unqualified host name (bn436) unknown; sleeping for retry
1137585741 2006.01.18 bn481 Jan 18 04:02:21 bn481/bn481 sendmail[32088]: My unqualified host name (bn481) unknown; sleeping for retry
1137585741 2006.01.18 bn491 Jan 18 04:02:21 bn491/bn491 sendmail[3514]: My unqualified host name (bn491) unknown; sleeping for retry
1137585741 2006.01.18 bn516 Jan 18 04:02:21 bn516/bn516 sendmail[31793]: My unqualified host name (bn516) unknown; sleeping for retry
1137585741 2006.01.18 bn59 Jan 18 04:02:21 bn59/bn59 sendmail[30413]: My unqualified host name (bn59) unknown; sleeping for retry
1137585741 2006.01.18 bn614 Jan 18 04:02:21 bn614/bn614 sendmail[31911]: My unqualified host name (bn614) unknown; sleeping for retry
1137585741 2006.01.18 bn627 Jan 18 04:02:21 bn627/bn627 sendmail[32052]: My unqualified host name (bn627) unknown; sleeping for retry
1137585741 2006.01.18 bn631 Jan 18 04:02:21 bn631/bn631 sendmail[32053]: My unqualified host name (bn631) unknown; sleeping for retry
1137585741 2006.01.18 bn655 Jan 18 04:02:21 bn655/bn655 sendmail[3501]: My unqualified host name (bn655) unknown; sleeping for retry
1137585741 2006.01.18 bn668 Jan 18 04:02:21 bn668/bn668 sendmail[32041]: My unqualified host name (bn668) unknown; sleeping for retry
1137585741 2006.01.18 bn685 Jan 18 04:02:21 bn685/bn685 sendmail[3502]: My unqualified host name (bn685) unknown; sleeping for retry
1137585741 2006.01.18 bn705 Jan 18 04:02:21 bn705/bn705 sendmail[3506]: My unqualified host name (bn705) unknown; sleeping for retry
1137585741 2006.01.18 bn737 Jan 18 04:02:21 bn737/bn737 sendmail[32343]: My unqualified host name (bn737) unknown; sleeping for retry
1137585741 2006.01.18 bn74 Jan 18 04:02:21 bn74/bn74 ntpd[2278]: synchronized to 10.100.10.250, stratum 3
1137585741 2006.01.18 bn758 Jan 18 04:02:21 bn758/bn758 sendmail[3510]: My unqualified host name (bn758) unknown; sleeping for retry
1137585741 2006.01.18 bn766 Jan 18 04:02:21 bn766/bn766 sendmail[3509]: My unqualified host name (bn766) unknown; sleeping for retry
1137585741 2006.01.18 bn797 Jan 18 04:02:21 bn797/bn797 sendmail[3481]: My unqualified host name (bn797) unknown; sleeping for retry
1137585741 2006.01.18 bn814 Jan 18 04:02:21 bn814/bn814 sendmail[3508]: My unqualified host name (bn814) unknown; sleeping for retry
1137585741 2006.01.18 bn833 Jan 18 04:02:21 bn833/bn833 sendmail[32000]: My unqualified host name (bn833) unknown; sleeping for retry
1137585741 2006.01.18 bn844 Jan 18 04:02:21 bn844/bn844 sendmail[3513]: My unqualified host name (bn844) unknown; sleeping for retry
1137585741 2006.01.18 bn865 Jan 18 04:02:21 bn865/bn865 sendmail[31930]: My unqualified host name (bn865) unknown; sleeping for retry
1137585741 2006.01.18 bn981 Jan 18 04:02:21 bn981/bn981 sendmail[28795]: My unqualified host name (bn981) unknown; sleeping for retry
1137585741 2006.01.18 cn124 Jan 18 04:02:21 cn124/cn124 sendmail[2792]: My unqualified host name (cn124) unknown; sleeping for retry
1137585741 2006.01.18 cn130 Jan 18 04:02:21 cn130/cn130 sendmail[2812]: My unqualified host name (cn130) unknown; sleeping for retry
1137585741 2006.01.18 cn235 Jan 18 04:02:21 cn235/cn235 sendmail[2840]: My unqualified host name (cn235) unknown; sleeping for retry
1137585741 2006.01.18 cn247 Jan 18 04:02:21 cn247/cn247 sendmail[2707]: My unqualified host name (cn247) unknown; sleeping for retry
1137585741 2006.01.18 cn264 Jan 18 04:02:21 cn264/cn264 sendmail[1973]: My unqualified host name (cn264) unknown; sleeping for retry
1137585741 2006.01.18 cn325 Jan 18 04:02:21 cn325/cn325 sendmail[2466]: My unqualified host name (cn325) unknown; sleeping for retry
1137585741 2006.01.18 cn338 Jan 18 04:02:21 cn338/cn338 sendmail[2429]: My unqualified host name (cn338) unknown; sleeping for retry
1137585741 2006.01.18 cn352 Jan 18 04:02:21 cn352/cn352 sendmail[2658]: My unqualified host name (cn352) unknown; sleeping for retry
1137585741 2006.01.18 cn392 Jan 18 04:02:21 cn392/cn392 sendmail[2260]: My unqualified host name (cn392) unknown; sleeping for retry
1137585741 2006.01.18 cn394 Jan 18 04:02:21 cn394/cn394 sendmail[2628]: My unqualified host name (cn394) unknown; sleeping for retry
1137585741 2006.01.18 cn401 Jan 18 04:02:21 cn401/cn401 sendmail[2715]: My unqualified host name (cn401) unknown; sleeping for retry
1137585741 2006.01.18 cn41 Jan 18 04:02:21 cn41/cn41 sendmail[2645]: My unqualified host name (cn41) unknown; sleeping for retry
1137585741 2006.01.18 cn455 Jan 18 04:02:21 cn455/cn455 sendmail[2666]: My unqualified host name (cn455) unknown; sleeping for retry
1137585741 2006.01.18 cn461 Jan 18 04:02:21 cn461/cn461 sendmail[2704]: My unqualified host name (cn461) unknown; sleeping for retry
1137585741 2006.01.18 cn55 Jan 18 04:02:21 cn55/cn55 sendmail[2784]: My unqualified host name (cn55) unknown; sleeping for retry
1137585741 2006.01.18 cn551 Jan 18 04:02:21 cn551/cn551 sendmail[8619]: My unqualified host name (cn551) unknown; sleeping for retry
1137585741 2006.01.18 cn602 Jan 18 04:02:21 cn602/cn602 sendmail[8552]: My unqualified host name (cn602) unknown; sleeping for retry
1137585741 2006.01.18 cn616 Jan 18 04:02:21 cn616/cn616 sendmail[8585]: My unqualified host name (cn616) unknown; sleeping for retry
1137585741 2006.01.18 cn630 Jan 18 04:02:21 cn630/cn630 sendmail[8595]: My unqualified host name (cn630) unknown; sleeping for retry
1137585741 2006.01.18 cn634 Jan 18 04:02:21 cn634/cn634 sendmail[8595]: My unqualified host name (cn634) unknown; sleeping for retry
1137585741 2006.01.18 cn655 Jan 18 04:02:21 cn655/cn655 sendmail[8536]: My unqualified host name (cn655) unknown; sleeping for retry
1137585741 2006.01.18 cn658 Jan 18 04:02:21 cn658/cn658 sendmail[8538]: My unqualified host name (cn658) unknown; sleeping for retry
1137585741 2006.01.18 cn661 Jan 18 04:02:21 cn661/cn661 sendmail[8536]: My unqualified host name (cn661) unknown; sleeping for retry
1137585741 2006.01.18 cn685 Jan 18 04:02:21 cn685/cn685 sendmail[8648]: My unqualified host name (cn685) unknown; sleeping for retry
