- 1131908423 2005.11.13 dn20 Nov 13 11:00:23 dn20/dn20 ntpd[2249]: synchronized to 10.100.30.250, stratum 3
- 1131908501 2005.11.13 dn560 Nov 13 11:01:41 dn560/dn560 ntpd[2251]: synchronized to 10.100.24.250, stratum 3
- 1131908506 2005.11.13 dn460 Nov 13 11:01:46 dn460/dn460 ntpd[2248]: synchronized to 10.100.26.250, stratum 3
- 1131908507 2005.11.13 dn1024 Nov 13 11:01:47 dn1024/dn1024 ntpd[9951]: synchronized to 10.100.24.250, stratum 3
- 1131908508 2005.11.13 dn466 Nov 13 11:01:48 dn466/dn466 ntpd[2258]: synchronized to 10.100.26.250, stratum 3
- 1131908509 2005.11.13 dn595 Nov 13 11:01:49 dn595/dn595 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908513 2005.11.13 dn460 Nov 13 11:01:53 dn460/dn460 ntpd[2248]: synchronized to 10.100.24.250, stratum 3
- 1131908515 2005.11.13 dn582 Nov 13 11:01:55 dn582/dn582 ntpd[10186]: synchronized to 10.100.24.250, stratum 3
- 1131908517 2005.11.13 dn995 Nov 13 11:01:57 dn995/dn995 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908522 2005.11.13 dn103 Nov 13 11:02:02 dn103/dn103 ntpd[2247]: synchronized to 10.100.30.250, stratum 3
- 1131908522 2005.11.13 dn763 Nov 13 11:02:02 dn763/dn763 ntpd[2258]: synchronized to 10.100.26.250, stratum 3
- 1131908523 2005.11.13 dn657 Nov 13 11:02:03 dn657/dn657 ntpd[2248]: synchronized to 10.100.26.250, stratum 3
- 1131908524 2005.11.13 dn621 Nov 13 11:02:04 dn621/dn621 ntpd[2256]: synchronized to 10.100.24.250, stratum 3
- 1131908525 2005.11.13 dn227 Nov 13 11:02:05 dn227/dn227 ntpd[10276]: synchronized to 10.100.24.250, stratum 3
- 1131908525 2005.11.13 dn621 Nov 13 11:02:05 dn621/dn621 ntpd[2256]: synchronized to 10.100.30.250, stratum 3
- 1131908526 2005.11.13 dn122 Nov 13 11:02:06 dn122/dn122 ntpd[2261]: synchronized to 10.100.28.250, stratum 3
- 1131908526 2005.11.13 dn227 Nov 13 11:02:06 dn227/dn227 ntpd[10276]: synchronized to 10.100.30.250, stratum 3
- 1131908535 2005.11.13 dn242 Nov 13 11:02:15 dn242/dn242 ntpd[2248]: synchronized to 10.100.30.250, stratum 3
- 1131908536 2005.11.13 dn389 Nov 13 11:02:16 dn389/dn389 ntpd[2258]: synchronized to 10.100.26.250, stratum 3
- 1131908538 2005.11.13 dn712 Nov 13 11:02:18 dn712/dn712 ntpd[2259]: synchronized to 10.100.28.250, stratum 3
- 1131908544 2005.11.13 dn604 Nov 13 11:02:24 dn604/dn604 ntpd[2253]: synchronized to 10.100.24.250, stratum 3
- 1131908545 2005.11.13 dn809 Nov 13 11:02:25 dn809/dn809 ntpd[2245]: synchronized to 10.100.26.250, stratum 3
- 1131908548 2005.11.13 dn168 Nov 13 11:02:28 dn168/dn168 ntpd[2245]: synchronized to 10.100.24.250, stratum 3
- 1131908550 2005.11.13 dn437 Nov 13 11:02:30 dn437/dn437 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908551 2005.11.13 dn492 Nov 13 11:02:31 dn492/dn492 ntpd[2245]: synchronized to 10.100.24.250, stratum 3
- 1131908553 2005.11.13 dn569 Nov 13 11:02:33 dn569/dn569 ntpd[2258]: synchronized to 10.100.30.250, stratum 3
- 1131908554 2005.11.13 dn26 Nov 13 11:02:34 dn26/dn26 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1131908556 2005.11.13 dn138 Nov 13 11:02:36 dn138/dn138 ntpd[2246]: synchronized to 10.100.30.250, stratum 3
- 1131908556 2005.11.13 dn590 Nov 13 11:02:36 dn590/dn590 ntpd[2257]: synchronized to 10.100.24.250, stratum 3
- 1131908565 2005.11.13 dn505 Nov 13 11:02:45 dn505/dn505 ntpd[2248]: synchronized to 10.100.24.250, stratum 3
- 1131908566 2005.11.13 dn583 Nov 13 11:02:46 dn583/dn583 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908568 2005.11.13 dn475 Nov 13 11:02:48 dn475/dn475 ntpd[2258]: synchronized to 10.100.30.250, stratum 3
- 1131908579 2005.11.13 dn1014 Nov 13 11:02:59 dn1014/dn1014 ntpd[2246]: synchronized to 10.100.24.250, stratum 3
- 1131908585 2005.11.13 dn487 Nov 13 11:03:05 dn487/dn487 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908586 2005.11.13 dn998 Nov 13 11:03:06 dn998/dn998 ntpd[2247]: synchronized to 10.100.26.250, stratum 3
- 1131908589 2005.11.13 dn677 Nov 13 11:03:09 dn677/dn677 ntpd[2257]: synchronized to 10.100.30.250, stratum 3
- 1131908591 2005.11.13 dn849 Nov 13 11:03:11 dn849/dn849 ntpd[2257]: synchronized to 10.100.30.250, stratum 3
- 1131908600 2005.11.13 dn962 Nov 13 11:03:20 dn962/dn962 ntpd[9847]: synchronized to 10.100.28.250, stratum 3
- 1131908601 2005.11.13 dn294 Nov 13 11:03:21 dn294/dn294 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908604 2005.11.13 dn132 Nov 13 11:03:24 dn132/dn132 ntpd[2258]: synchronized to 10.100.26.250, stratum 3
- 1131908605 2005.11.13 dn520 Nov 13 11:03:25 dn520/dn520 ntpd[2249]: synchronized to 10.100.24.250, stratum 3
- 1131908606 2005.11.13 dn303 Nov 13 11:03:26 dn303/dn303 ntpd[2245]: synchronized to 10.100.30.250, stratum 3
- 1131908607 2005.11.13 dn403 Nov 13 11:03:27 dn403/dn403 ntpd[2258]: synchronized to 10.100.26.250, stratum 3
- 1131908608 2005.11.13 dn294 Nov 13 11:03:28 dn294/dn294 ntpd[2260]: synchronized to 10.100.30.250, stratum 3
- 1131908612 2005.11.13 dn191 Nov 13 11:03:32 dn191/dn191 ntpd[2256]: synchronized to 10.100.28.250, stratum 3
- 1131908618 2005.11.13 dn70 Nov 13 11:03:38 dn70/dn70 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908619 2005.11.13 dn70 Nov 13 11:03:39 dn70/dn70 ntpd[2260]: synchronized to 10.100.28.250, stratum 3
- 1131908625 2005.11.13 dn236 Nov 13 11:03:45 dn236/dn236 ntpd[2248]: synchronized to 10.100.24.250, stratum 3
- 1131908627 2005.11.13 dn185 Nov 13 11:03:47 dn185/dn185 ntpd[2260]: synchronized to 10.100.28.250, stratum 3
- 1131908630 2005.11.13 dn134 Nov 13 11:03:50 dn134/dn134 ntpd[2257]: synchronized to 10.100.30.250, stratum 3
- 1131908630 2005.11.13 dn341 Nov 13 11:03:50 dn341/dn341 ntpd[2258]: synchronized to 10.100.30.250, stratum 3
- 1131908630 2005.11.13 dn889 Nov 13 11:03:50 dn889/dn889 ntpd[2245]: synchronized to 10.100.28.250, stratum 3
- 1131908631 2005.11.13 dn55 Nov 13 11:03:51 dn55/dn55 ntpd[2263]: synchronized to 10.100.26.250, stratum 3
- 1131908633 2005.11.13 dn956 Nov 13 11:03:53 dn956/dn956 ntpd[2257]: synchronized to 10.100.24.250, stratum 3
- 1131908635 2005.11.13 dn749 Nov 13 11:03:55 dn749/dn749 ntpd[2248]: synchronized to 10.100.26.250, stratum 3
- 1131908637 2005.11.13 dn424 Nov 13 11:03:57 dn424/dn424 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908637 2005.11.13 dn647 Nov 13 11:03:57 dn647/dn647 ntpd[2256]: synchronized to 10.100.30.250, stratum 3
- 1131908642 2005.11.13 dn281 Nov 13 11:04:02 dn281/dn281 ntpd[2252]: synchronized to 10.100.26.250, stratum 3
- 1131908644 2005.11.13 dn519 Nov 13 11:04:04 dn519/dn519 ntpd[2258]: synchronized to 10.100.30.250, stratum 3
- 1131908647 2005.11.13 dn158 Nov 13 11:04:07 dn158/dn158 ntpd[2257]: synchronized to 10.100.30.250, stratum 3
- 1131908647 2005.11.13 dn762 Nov 13 11:04:07 dn762/dn762 ntpd[2256]: synchronized to 10.100.30.250, stratum 3
- 1131908649 2005.11.13 dn806 Nov 13 11:04:09 dn806/dn806 ntpd[2250]: synchronized to 10.100.30.250, stratum 3
- 1131908651 2005.11.13 dn173 Nov 13 11:04:11 dn173/dn173 ntpd[2246]: synchronized to 10.100.28.250, stratum 3
- 1131908658 2005.11.13 dn636 Nov 13 11:04:18 dn636/dn636 ntpd[10173]: synchronized to 10.100.24.250, stratum 3
- 1131908663 2005.11.13 dn558 Nov 13 11:04:23 dn558/dn558 ntpd[2245]: synchronized to 10.100.26.250, stratum 3
- 1131908665 2005.11.13 dn395 Nov 13 11:04:25 dn395/dn395 ntpd[2247]: synchronized to 10.100.26.250, stratum 3
- 1131908670 2005.11.13 dn892 Nov 13 11:04:30 dn892/dn892 ntpd[2257]: synchronized to 10.100.26.250, stratum 3
- 1131908678 2005.11.13 dn146 Nov 13 11:04:38 dn146/dn146 ntpd[10172]: synchronized to 10.100.24.250, stratum 3
- 1131908678 2005.11.13 dn309 Nov 13 11:04:38 dn309/dn309 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908679 2005.11.13 dn1008 Nov 13 11:04:39 dn1008/dn1008 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908682 2005.11.13 dn904 Nov 13 11:04:42 dn904/dn904 ntpd[2256]: synchronized to 10.100.24.250, stratum 3
- 1131908687 2005.11.13 dn177 Nov 13 11:04:47 dn177/dn177 ntpd[2257]: synchronized to 10.100.24.250, stratum 3
- 1131908689 2005.11.13 dn330 Nov 13 11:04:49 dn330/dn330 ntpd[2256]: synchronized to 10.100.28.250, stratum 3
- 1131908691 2005.11.13 dn966 Nov 13 11:04:51 dn966/dn966 ntpd[2259]: synchronized to 10.100.24.250, stratum 3
- 1131908694 2005.11.13 dn757 Nov 13 11:04:54 dn757/dn757 ntpd[2248]: synchronized to 10.100.30.250, stratum 3
- 1131908695 2005.11.13 dn945 Nov 13 11:04:55 dn945/dn945 ntpd[2262]: synchronized to 10.100.26.250, stratum 3
- 1131908696 2005.11.13 dn469 Nov 13 11:04:56 dn469/dn469 ntpd[2261]: synchronized to 10.100.28.250, stratum 3
- 1131908696 2005.11.13 dn75 Nov 13 11:04:56 dn75/dn75 ntpd[2249]: synchronized to 10.100.30.250, stratum 3
- 1131908700 2005.11.13 dn469 Nov 13 11:05:00 dn469/dn469 ntpd[2261]: synchronized to 10.100.26.250, stratum 3
- 1131908703 2005.11.13 dn26 Nov 13 11:05:03 dn26/dn26 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1131908704 2005.11.13 dn771 Nov 13 11:05:04 dn771/dn771 ntpd[10188]: synchronized to 10.100.28.250, stratum 3
- 1131908709 2005.11.13 dn282 Nov 13 11:05:09 dn282/dn282 ntpd[2264]: synchronized to 10.100.24.250, stratum 3
- 1131908716 2005.11.13 dn61 Nov 13 11:05:16 dn61/dn61 ntpd[2261]: synchronized to 10.100.24.250, stratum 3
- 1131908721 2005.11.13 dn429 Nov 13 11:05:21 dn429/dn429 ntpd[2248]: synchronized to 10.100.24.250, stratum 3
- 1131908724 2005.11.13 dn178 Nov 13 11:05:24 dn178/dn178 ntpd[2258]: synchronized to 10.100.30.250, stratum 3
- 1131908724 2005.11.13 dn535 Nov 13 11:05:24 dn535/dn535 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1131908725 2005.11.13 dn428 Nov 13 11:05:25 dn428/dn428 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908726 2005.11.13 dn703 Nov 13 11:05:26 dn703/dn703 ntpd[2256]: synchronized to 10.100.28.250, stratum 3
- 1131908732 2005.11.13 dn403 Nov 13 11:05:32 dn403/dn403 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908736 2005.11.13 dn235 Nov 13 11:05:36 dn235/dn235 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908740 2005.11.13 dn370 Nov 13 11:05:40 dn370/dn370 ntpd[2256]: synchronized to 10.100.28.250, stratum 3
- 1131908741 2005.11.13 dn259 Nov 13 11:05:41 dn259/dn259 ntpd[10185]: synchronized to 10.100.24.250, stratum 3
- 1131908742 2005.11.13 dn956 Nov 13 11:05:42 dn956/dn956 ntpd[2257]: synchronized to 10.100.26.250, stratum 3
- 1131908744 2005.11.13 dn399 Nov 13 11:05:44 dn399/dn399 ntpd[2257]: synchronized to 10.100.30.250, stratum 3
- 1131908750 2005.11.13 dn124 Nov 13 11:05:50 dn124/dn124 ntpd[2261]: synchronized to 10.100.24.250, stratum 3
- 1131908752 2005.11.13 dn838 Nov 13 11:05:52 dn838/dn838 ntpd[2256]: synchronized to 10.100.24.250, stratum 3
- 1131908753 2005.11.13 dn404 Nov 13 11:05:53 dn404/dn404 ntpd[2259]: synchronized to 10.100.26.250, stratum 3
- 1131908757 2005.11.13 dn233 Nov 13 11:05:57 dn233/dn233 ntpd[2248]: synchronized to 10.100.24.250, stratum 3
- 1131908760 2005.11.13 dn696 Nov 13 11:06:00 dn696/dn696 ntpd[2256]: synchronized to 10.100.26.250, stratum 3
- 1131908762 2005.11.13 dn625 Nov 13 11:06:02 dn625/dn625 ntpd[9843]: synchronized to 10.100.24.250, stratum 3
- 1131908765 2005.11.13 dn40 Nov 13 11:06:05 dn40/dn40 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908765 2005.11.13 dn488 Nov 13 11:06:05 dn488/dn488 ntpd[2260]: synchronized to 10.100.26.250, stratum 3
- 1131908766 2005.11.13 dn877 Nov 13 11:06:06 dn877/dn877 ntpd[2257]: synchronized to 10.100.26.250, stratum 3
- 1131908768 2005.11.13 dn892 Nov 13 11:06:08 dn892/dn892 ntpd[2257]: synchronized to 10.100.28.250, stratum 3
- 1131908770 2005.11.13 dn1009 Nov 13 11:06:10 dn1009/dn1009 ntpd[2245]: synchronized to 10.100.24.250, stratum 3
- 1131908778 2005.11.13 dn138 Nov 13 11:06:18 dn138/dn138 ntpd[2246]: synchronized to 10.100.28.250, stratum 3
- 1131908790 2005.11.13 dn839 Nov 13 11:06:30 dn839/dn839 ntpd[2260]: synchronized to 10.100.26.250, stratum 3
- 1131908792 2005.11.13 dn361 Nov 13 11:06:32 dn361/dn361 ntpd[2256]: synchronized to 10.100.26.250, stratum 3
- 1131908795 2005.11.13 dn680 Nov 13 11:06:35 dn680/dn680 ntpd[2259]: synchronized to 10.100.24.250, stratum 3
- 1131908802 2005.11.13 dn717 Nov 13 11:06:42 dn717/dn717 ntpd[2247]: synchronized to 10.100.30.250, stratum 3
- 1131908805 2005.11.13 dn900 Nov 13 11:06:45 dn900/dn900 ntpd[2258]: synchronized to 10.100.28.250, stratum 3
- 1131908805 2005.11.13 dn907 Nov 13 11:06:45 dn907/dn907 ntpd[2256]: synchronized to 10.100.30.250, stratum 3
- 1131908811 2005.11.13 dn115 Nov 13 11:06:51 dn115/dn115 ntpd[2243]: synchronized to 10.100.26.250, stratum 3
- 1131908811 2005.11.13 dn387 Nov 13 11:06:51 dn387/dn387 ntpd[2247]: synchronized to 10.100.24.250, stratum 3
- 1131908812 2005.11.13 dn751 Nov 13 11:06:52 dn751/dn751 ntpd[2248]: synchronized to 10.100.30.250, stratum 3
- 1131908813 2005.11.13 dn209 Nov 13 11:06:53 dn209/dn209 ntpd[11169]: synchronized to 10.100.26.250, stratum 3
- 1131908823 2005.11.13 dn634 Nov 13 11:07:03 dn634/dn634 ntpd[2261]: synchronized to 10.100.24.250, stratum 3
- 1131908826 2005.11.13 dn980 Nov 13 11:07:06 dn980/dn980 ntpd[2244]: synchronized to 10.100.28.250, stratum 3
- 1131908838 2005.11.13 dn970 Nov 13 11:07:18 dn970/dn970 ntpd[2259]: synchronized to 10.100.26.250, stratum 3
- 1131908841 2005.11.13 dn942 Nov 13 11:07:21 dn942/dn942 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908844 2005.11.13 dn529 Nov 13 11:07:24 dn529/dn529 ntpd[2260]: synchronized to 10.100.28.250, stratum 3
- 1131908844 2005.11.13 dn914 Nov 13 11:07:24 dn914/dn914 ntpd[10150]: synchronized to 10.100.28.250, stratum 3
- 1131908849 2005.11.13 dn981 Nov 13 11:07:29 dn981/dn981 ntpd[2263]: synchronized to 10.100.26.250, stratum 3
- 1131908849 2005.11.13 dn999 Nov 13 11:07:29 dn999/dn999 ntpd[2254]: synchronized to 10.100.24.250, stratum 3
- 1131908851 2005.11.13 dn288 Nov 13 11:07:31 dn288/dn288 ntpd[2260]: synchronized to 10.100.28.250, stratum 3
- 1131908854 2005.11.13 dn320 Nov 13 11:07:34 dn320/dn320 ntpd[2260]: synchronized to 10.100.26.250, stratum 3
- 1131908855 2005.11.13 dn263 Nov 13 11:07:35 dn263/dn263 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1131908856 2005.11.13 dn294 Nov 13 11:07:36 dn294/dn294 ntpd[2260]: synchronized to 10.100.26.250, stratum 3
- 1131908858 2005.11.13 dn546 Nov 13 11:07:38 dn546/dn546 ntpd[2260]: synchronized to 10.100.30.250, stratum 3
- 1131908859 2005.11.13 dn554 Nov 13 11:07:39 dn554/dn554 ntpd[10171]: synchronized to 10.100.28.250, stratum 3
- 1131908862 2005.11.13 dn214 Nov 13 11:07:42 dn214/dn214 ntpd[2262]: synchronized to 10.100.24.250, stratum 3
- 1131908867 2005.11.13 dn70 Nov 13 11:07:47 dn70/dn70 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908870 2005.11.13 dn145 Nov 13 11:07:50 dn145/dn145 ntpd[2252]: synchronized to 10.100.24.250, stratum 3
- 1131908872 2005.11.13 dn205 Nov 13 11:07:52 dn205/dn205 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908880 2005.11.13 dn48 Nov 13 11:08:00 dn48/dn48 ntpd[2257]: synchronized to 10.100.24.250, stratum 3
- 1131908884 2005.11.13 dn346 Nov 13 11:08:04 dn346/dn346 ntpd[2249]: synchronized to 10.100.24.250, stratum 3
- 1131908884 2005.11.13 dn88 Nov 13 11:08:04 dn88/dn88 ntpd[2246]: synchronized to 10.100.26.250, stratum 3
- 1131908889 2005.11.13 dn519 Nov 13 11:08:09 dn519/dn519 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908892 2005.11.13 dn272 Nov 13 11:08:12 dn272/dn272 ntpd[2260]: synchronized to 10.100.24.250, stratum 3
- 1131908892 2005.11.13 dn884 Nov 13 11:08:12 dn884/dn884 ntpd[2261]: synchronized to 10.100.28.250, stratum 3
- 1131908907 2005.11.13 dn397 Nov 13 11:08:27 dn397/dn397 ntpd[2256]: synchronized to 10.100.24.250, stratum 3
- 1131908909 2005.11.13 dn855 Nov 13 11:08:29 dn855/dn855 ntpd[2247]: synchronized to 10.100.24.250, stratum 3
- 1131908913 2005.11.13 dn20 Nov 13 11:08:33 dn20/dn20 ntpd[2249]: synchronized to 10.100.24.250, stratum 3
- 1131908913 2005.11.13 dn655 Nov 13 11:08:33 dn655/dn655 ntpd[2247]: synchronized to 10.100.26.250, stratum 3
- 1131908924 2005.11.13 dn132 Nov 13 11:08:44 dn132/dn132 ntpd[2258]: synchronized to 10.100.24.250, stratum 3
- 1131908925 2005.11.13 dn309 Nov 13 11:08:45 dn309/dn309 ntpd[2260]: synchronized to 10.100.26.250, stratum 3
- 1131908929 2005.11.13 dn614 Nov 13 11:08:49 dn614/dn614 ntpd[2258]: synchronized to 10.100.26.250, stratum 3
- 1131908931 2005.11.13 dn892 Nov 13 11:08:51 dn892/dn892 ntpd[2257]: synchronized to 10.100.24.250, stratum 3
- 1131908933 2005.11.13 dn437 Nov 13 11:08:53 dn437/dn437 ntpd[2257]: synchronized to 10.100.24.250, stratum 3
- 1131908941 2005.11.13 dn201 Nov 13 11:09:01 dn201/dn201 ntpd[2259]: synchronized to 10.100.24.250, stratum 3
- 1131908942 2005.11.13 dn262 Nov 13 11:09:02 dn262/dn262 ntpd[2260]: synchronized to 10.100.28.250, stratum 3
- 1131908943 2005.11.13 dn148 Nov 13 11:09:03 dn148/dn148 ntpd[2256]: synchronized to 10.100.24.250, stratum 3
- 1131908943 2005.11.13 dn606 Nov 13 11:09:03 dn606/dn606 ntpd[2256]: synchronized to 10.100.26.250, stratum 3
- 1131908943 2005.11.13 dn790 Nov 13 11:09:03 dn790/dn790 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1131908948 2005.11.13 dn144 Nov 13 11:09:08 dn144/dn144 ntpd[2246]: synchronized to 10.100.28.250, stratum 3
- 1131908949 2005.11.13 dn358 Nov 13 11:09:09 dn358/dn358 ntpd[2257]: synchronized to 10.100.24.250, stratum 3
- 1131908954 2005.11.13 dn316 Nov 13 11:09:14 dn316/dn316 ntpd[2261]: synchronized to 10.100.26.250, stratum 3
