- 1141650625 2006.03.06 dn163 Mar 6 05:10:25 dn163/dn163 ntpd[2269]: synchronized to 10.100.30.250, stratum 3
- 1141650845 2006.03.06 dn846 Mar 6 05:14:05 dn846/dn846 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141650846 2006.03.06 dn515 Mar 6 05:14:06 dn515/dn515 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141650847 2006.03.06 dn508 Mar 6 05:14:07 dn508/dn508 ntpd[2266]: synchronized to 10.100.24.250, stratum 3
- 1141650849 2006.03.06 dn643 Mar 6 05:14:09 dn643/dn643 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1141650850 2006.03.06 dn568 Mar 6 05:14:10 dn568/dn568 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141650854 2006.03.06 dn275 Mar 6 05:14:14 dn275/dn275 ntpd[2268]: synchronized to 10.100.26.250, stratum 3
- 1141650860 2006.03.06 dn612 Mar 6 05:14:20 dn612/dn612 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141650866 2006.03.06 dn547 Mar 6 05:14:26 dn547/dn547 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141650868 2006.03.06 dn634 Mar 6 05:14:28 dn634/dn634 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141650889 2006.03.06 dn515 Mar 6 05:14:49 dn515/dn515 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141650889 2006.03.06 dn638 Mar 6 05:14:49 dn638/dn638 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141650895 2006.03.06 dn560 Mar 6 05:14:55 dn560/dn560 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1141650899 2006.03.06 dn105 Mar 6 05:14:59 dn105/dn105 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1141650899 2006.03.06 dn202 Mar 6 05:14:59 dn202/dn202 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1141650900 2006.03.06 dn353 Mar 6 05:15:00 dn353/dn353 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141650901 2006.03.06 dn889 Mar 6 05:15:01 dn889/dn889 ntpd[2262]: synchronized to 10.100.26.250, stratum 3
- 1141650904 2006.03.06 dn520 Mar 6 05:15:04 dn520/dn520 ntpd[2264]: synchronized to 10.100.26.250, stratum 3
- 1141650910 2006.03.06 dn624 Mar 6 05:15:10 dn624/dn624 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141650912 2006.03.06 dn316 Mar 6 05:15:12 dn316/dn316 ntpd[2278]: synchronized to 10.100.26.250, stratum 3
- 1141650913 2006.03.06 dn517 Mar 6 05:15:13 dn517/dn517 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1141650913 2006.03.06 dn790 Mar 6 05:15:13 dn790/dn790 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141650916 2006.03.06 dn50 Mar 6 05:15:16 dn50/dn50 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141650917 2006.03.06 dn159 Mar 6 05:15:17 dn159/dn159 ntpd[2269]: synchronized to 10.100.28.250, stratum 3
- 1141650926 2006.03.06 dn900 Mar 6 05:15:26 dn900/dn900 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141650926 2006.03.06 dn913 Mar 6 05:15:26 dn913/dn913 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1141650927 2006.03.06 dn264 Mar 6 05:15:27 dn264/dn264 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141650927 2006.03.06 dn635 Mar 6 05:15:27 dn635/dn635 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141650930 2006.03.06 dn840 Mar 6 05:15:30 dn840/dn840 ntpd[2264]: synchronized to 10.100.28.250, stratum 3
- 1141650932 2006.03.06 dn391 Mar 6 05:15:32 dn391/dn391 ntpd[2261]: synchronized to 10.100.24.250, stratum 3
- 1141650932 2006.03.06 dn50 Mar 6 05:15:32 dn50/dn50 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141650935 2006.03.06 dn154 Mar 6 05:15:35 dn154/dn154 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1141650935 2006.03.06 dn550 Mar 6 05:15:35 dn550/dn550 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141650936 2006.03.06 dn113 Mar 6 05:15:36 dn113/dn113 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141650951 2006.03.06 dn714 Mar 6 05:15:51 dn714/dn714 ntpd[2265]: synchronized to 10.100.24.250, stratum 3
- 1141650952 2006.03.06 dn801 Mar 6 05:15:52 dn801/dn801 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141650954 2006.03.06 dn281 Mar 6 05:15:54 dn281/dn281 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1141650955 2006.03.06 dn156 Mar 6 05:15:55 dn156/dn156 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141650960 2006.03.06 dn287 Mar 6 05:16:00 dn287/dn287 ntpd[2280]: synchronized to 10.100.24.250, stratum 3
- 1141650960 2006.03.06 dn639 Mar 6 05:16:00 dn639/dn639 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141650962 2006.03.06 dn743 Mar 6 05:16:02 dn743/dn743 ntpd[2276]: synchronized to 10.100.24.250, stratum 3
- 1141650967 2006.03.06 dn896 Mar 6 05:16:07 dn896/dn896 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141650968 2006.03.06 dn871 Mar 6 05:16:08 dn871/dn871 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141650971 2006.03.06 dn716 Mar 6 05:16:11 dn716/dn716 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141650974 2006.03.06 dn430 Mar 6 05:16:14 dn430/dn430 ntpd[2264]: synchronized to 10.100.28.250, stratum 3
- 1141650977 2006.03.06 dn956 Mar 6 05:16:17 dn956/dn956 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141650978 2006.03.06 dn570 Mar 6 05:16:18 dn570/dn570 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141650980 2006.03.06 dn745 Mar 6 05:16:20 dn745/dn745 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141650984 2006.03.06 dn586 Mar 6 05:16:24 dn586/dn586 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141650989 2006.03.06 dn654 Mar 6 05:16:29 dn654/dn654 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141650992 2006.03.06 dn502 Mar 6 05:16:32 dn502/dn502 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141650993 2006.03.06 dn462 Mar 6 05:16:33 dn462/dn462 ntpd[2265]: synchronized to 10.100.28.250, stratum 3
- 1141650996 2006.03.06 dn838 Mar 6 05:16:36 dn838/dn838 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141650997 2006.03.06 dn748 Mar 6 05:16:37 dn748/dn748 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1141651004 2006.03.06 dn667 Mar 6 05:16:44 dn667/dn667 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1141651006 2006.03.06 dn773 Mar 6 05:16:46 dn773/dn773 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651007 2006.03.06 dn597 Mar 6 05:16:47 dn597/dn597 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1141651011 2006.03.06 dn625 Mar 6 05:16:51 dn625/dn625 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1141651012 2006.03.06 dn79 Mar 6 05:16:52 dn79/dn79 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651013 2006.03.06 dn526 Mar 6 05:16:53 dn526/dn526 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651013 2006.03.06 dn78 Mar 6 05:16:53 dn78/dn78 ntpd[2269]: synchronized to 10.100.30.250, stratum 3
- 1141651015 2006.03.06 dn464 Mar 6 05:16:55 dn464/dn464 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651017 2006.03.06 dn959 Mar 6 05:16:57 dn959/dn959 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651022 2006.03.06 dn563 Mar 6 05:17:02 dn563/dn563 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651025 2006.03.06 dn330 Mar 6 05:17:05 dn330/dn330 ntpd[2279]: synchronized to 10.100.24.250, stratum 3
- 1141651033 2006.03.06 dn626 Mar 6 05:17:13 dn626/dn626 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651033 2006.03.06 dn800 Mar 6 05:17:13 dn800/dn800 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651041 2006.03.06 dn466 Mar 6 05:17:21 dn466/dn466 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651041 2006.03.06 dn557 Mar 6 05:17:21 dn557/dn557 ntpd[2265]: synchronized to 10.100.26.250, stratum 3
- 1141651042 2006.03.06 dn402 Mar 6 05:17:22 dn402/dn402 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1141651043 2006.03.06 dn703 Mar 6 05:17:23 dn703/dn703 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651044 2006.03.06 dn825 Mar 6 05:17:24 dn825/dn825 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1141651046 2006.03.06 dn71 Mar 6 05:17:26 dn71/dn71 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1141651047 2006.03.06 dn825 Mar 6 05:17:27 dn825/dn825 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1141651048 2006.03.06 dn442 Mar 6 05:17:28 dn442/dn442 ntpd[2092]: synchronized to 10.100.26.250, stratum 3
- 1141651058 2006.03.06 dn411 Mar 6 05:17:38 dn411/dn411 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651058 2006.03.06 dn482 Mar 6 05:17:38 dn482/dn482 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1141651058 2006.03.06 dn588 Mar 6 05:17:38 dn588/dn588 ntpd[2263]: synchronized to 10.100.24.250, stratum 3
- 1141651065 2006.03.06 dn103 Mar 6 05:17:45 dn103/dn103 ntpd[2268]: synchronized to 10.100.26.250, stratum 3
- 1141651065 2006.03.06 dn962 Mar 6 05:17:45 dn962/dn962 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1141651068 2006.03.06 dn754 Mar 6 05:17:48 dn754/dn754 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1141651072 2006.03.06 dn736 Mar 6 05:17:52 dn736/dn736 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651074 2006.03.06 dn250 Mar 6 05:17:54 dn250/dn250 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1141651075 2006.03.06 dn1015 Mar 6 05:17:55 dn1015/dn1015 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1141651079 2006.03.06 dn725 Mar 6 05:17:59 dn725/dn725 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651080 2006.03.06 dn772 Mar 6 05:18:00 dn772/dn772 ntpd[2266]: synchronized to 10.100.28.250, stratum 3
- 1141651084 2006.03.06 dn590 Mar 6 05:18:04 dn590/dn590 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651084 2006.03.06 dn762 Mar 6 05:18:04 dn762/dn762 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651088 2006.03.06 dn221 Mar 6 05:18:08 dn221/dn221 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651088 2006.03.06 dn870 Mar 6 05:18:08 dn870/dn870 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1141651090 2006.03.06 dn811 Mar 6 05:18:10 dn811/dn811 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1141651091 2006.03.06 dn498 Mar 6 05:18:11 dn498/dn498 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141651091 2006.03.06 dn617 Mar 6 05:18:11 dn617/dn617 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1141651093 2006.03.06 dn933 Mar 6 05:18:13 dn933/dn933 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651110 2006.03.06 dn603 Mar 6 05:18:30 dn603/dn603 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651118 2006.03.06 dn224 Mar 6 05:18:38 dn224/dn224 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1141651126 2006.03.06 dn545 Mar 6 05:18:46 dn545/dn545 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651127 2006.03.06 dn511 Mar 6 05:18:47 dn511/dn511 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651128 2006.03.06 dn864 Mar 6 05:18:48 dn864/dn864 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141651130 2006.03.06 dn256 Mar 6 05:18:50 dn256/dn256 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1141651134 2006.03.06 dn655 Mar 6 05:18:54 dn655/dn655 ntpd[2264]: synchronized to 10.100.26.250, stratum 3
- 1141651134 2006.03.06 dn736 Mar 6 05:18:54 dn736/dn736 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651138 2006.03.06 dn245 Mar 6 05:18:58 dn245/dn245 ntpd[2284]: synchronized to 10.100.30.250, stratum 3
- 1141651138 2006.03.06 dn692 Mar 6 05:18:58 dn692/dn692 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1141651138 2006.03.06 dn973 Mar 6 05:18:58 dn973/dn973 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651143 2006.03.06 dn716 Mar 6 05:19:03 dn716/dn716 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651147 2006.03.06 dn60 Mar 6 05:19:07 dn60/dn60 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651148 2006.03.06 dn70 Mar 6 05:19:08 dn70/dn70 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1141651151 2006.03.06 dn699 Mar 6 05:19:11 dn699/dn699 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651156 2006.03.06 dn597 Mar 6 05:19:16 dn597/dn597 ntpd[2264]: synchronized to 10.100.24.250, stratum 3
- 1141651164 2006.03.06 dn353 Mar 6 05:19:24 dn353/dn353 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651167 2006.03.06 dn790 Mar 6 05:19:27 dn790/dn790 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651169 2006.03.06 dn583 Mar 6 05:19:29 dn583/dn583 ntpd[2276]: synchronized to 10.100.26.250, stratum 3
- 1141651172 2006.03.06 dn749 Mar 6 05:19:32 dn749/dn749 ntpd[2263]: synchronized to 10.100.26.250, stratum 3
- 1141651172 2006.03.06 dn854 Mar 6 05:19:32 dn854/dn854 smartd[1977]: Device: /dev/sda, Temperature changed -2 Celsius to 29 Celsius since last report
- 1141651174 2006.03.06 dn488 Mar 6 05:19:34 dn488/dn488 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651174 2006.03.06 dn859 Mar 6 05:19:34 dn859/dn859 smartd[1975]: Device: /dev/sda, Temperature changed -2 Celsius to 28 Celsius since last report
- 1141651176 2006.03.06 dn405 Mar 6 05:19:36 dn405/dn405 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1141651176 2006.03.06 dn585 Mar 6 05:19:36 dn585/dn585 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651178 2006.03.06 dn337 Mar 6 05:19:38 dn337/dn337 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1141651180 2006.03.06 dn861 Mar 6 05:19:40 dn861/dn861 smartd[1977]: Device: /dev/sda, Temperature changed -3 Celsius to 25 Celsius since last report
- 1141651180 2006.03.06 dn914 Mar 6 05:19:40 dn914/dn914 ntpd[2264]: synchronized to 10.100.24.250, stratum 3
- 1141651180 2006.03.06 dn923 Mar 6 05:19:40 dn923/dn923 ntpd[2273]: synchronized to 10.100.26.250, stratum 3
- 1141651181 2006.03.06 dn726 Mar 6 05:19:41 dn726/dn726 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1141651182 2006.03.06 dn266 Mar 6 05:19:42 dn266/dn266 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1141651183 2006.03.06 dn459 Mar 6 05:19:43 dn459/dn459 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1141651186 2006.03.06 dn926 Mar 6 05:19:46 dn926/dn926 ntpd[2263]: synchronized to 10.100.28.250, stratum 3
- 1141651186 2006.03.06 dn966 Mar 6 05:19:46 dn966/dn966 ntpd[2274]: synchronized to 10.100.24.250, stratum 3
- 1141651189 2006.03.06 dn645 Mar 6 05:19:49 dn645/dn645 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1141651190 2006.03.06 dn624 Mar 6 05:19:50 dn624/dn624 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651191 2006.03.06 dn515 Mar 6 05:19:51 dn515/dn515 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1141651193 2006.03.06 dn285 Mar 6 05:19:53 dn285/dn285 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1141651195 2006.03.06 dn663 Mar 6 05:19:55 dn663/dn663 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1141651200 2006.03.06 dn462 Mar 6 05:20:00 dn462/dn462 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1141651204 2006.03.06 dn299 Mar 6 05:20:04 dn299/dn299 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1141651205 2006.03.06 dn393 Mar 6 05:20:05 dn393/dn393 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651206 2006.03.06 dn689 Mar 6 05:20:06 dn689/dn689 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1141651207 2006.03.06 dn29 Mar 6 05:20:07 dn29/dn29 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1141651207 2006.03.06 dn884 Mar 6 05:20:07 dn884/dn884 ntpd[2273]: synchronized to 10.100.24.250, stratum 3
- 1141651212 2006.03.06 dn601 Mar 6 05:20:12 dn601/dn601 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
