- 1131571440 2005.11.09 dn301 Nov 9 13:24:00 dn301/dn301 ntpd[32208]: synchronized to 10.100.24.250, stratum 3
- 1131573237 2005.11.09 dn427 Nov 9 13:53:57 dn427/dn427 ntpd[32580]: synchronized to 10.100.26.250, stratum 3
- 1131573274 2005.11.09 dn196 Nov 9 13:54:34 dn196/dn196 ntpd[11555]: synchronized to 10.100.26.250, stratum 3
- 1131573276 2005.11.09 dn215 Nov 9 13:54:36 dn215/dn215 ntpd[11213]: synchronized to 10.100.28.250, stratum 3
- 1131573290 2005.11.09 dn23 Nov 9 13:54:50 dn23/dn23 ntpd[20078]: synchronized to 10.100.24.250, stratum 3
- 1131573294 2005.11.09 dn361 Nov 9 13:54:54 dn361/dn361 ntpd[31034]: synchronized to 10.100.28.250, stratum 3
- 1131573295 2005.11.09 dn23 Nov 9 13:54:55 dn23/dn23 ntpd[20078]: synchronized to 10.100.30.250, stratum 3
- 1131573296 2005.11.09 dn218 Nov 9 13:54:56 dn218/dn218 ntpd[11779]: synchronized to 10.100.30.250, stratum 3
- 1131573302 2005.11.09 dn234 Nov 9 13:55:02 dn234/dn234 ntpd[11132]: synchronized to 10.100.26.250, stratum 3
- 1131573309 2005.11.09 dn186 Nov 9 13:55:09 dn186/dn186 ntpd[11151]: synchronized to 10.100.24.250, stratum 3
- 1131573322 2005.11.09 dn529 Nov 9 13:55:22 dn529/dn529 ntpd[31555]: synchronized to 10.100.28.250, stratum 3
- 1131573330 2005.11.09 dn136 Nov 9 13:55:30 dn136/dn136 ntpd[9931]: synchronized to 10.100.28.250, stratum 3
- 1131573330 2005.11.09 dn488 Nov 9 13:55:30 dn488/dn488 ntpd[32107]: synchronized to 10.100.28.250, stratum 3
- 1131573333 2005.11.09 dn220 Nov 9 13:55:33 dn220/dn220 ntpd[11690]: synchronized to 10.100.28.250, stratum 3
- 1131573343 2005.11.09 dn937 Nov 9 13:55:43 dn937/dn937 ntpd[3655]: synchronized to 10.100.24.250, stratum 3
- 1131573347 2005.11.09 dn676 Nov 9 13:55:47 dn676/dn676 ntpd[1501]: synchronized to 10.100.26.250, stratum 3
- 1131573365 2005.11.09 dn362 Nov 9 13:56:05 dn362/dn362 ntpd[30947]: synchronized to 10.100.24.250, stratum 3
- 1131573367 2005.11.09 dn776 Nov 9 13:56:07 dn776/dn776 ntpd[864]: synchronized to 10.100.28.250, stratum 3
- 1131573372 2005.11.09 dn613 Nov 9 13:56:12 dn613/dn613 ntpd[544]: synchronized to 10.100.24.250, stratum 3
- 1131573379 2005.11.09 dn222 Nov 9 13:56:19 dn222/dn222 ntpd[10983]: synchronized to 10.100.26.250, stratum 3
- 1131573389 2005.11.09 dn67 Nov 9 13:56:29 dn67/dn67 ntpd[20248]: synchronized to 10.100.24.250, stratum 3
- 1131573396 2005.11.09 dn116 Nov 9 13:56:36 dn116/dn116 ntpd[6949]: synchronized to 10.100.28.250, stratum 3
- 1131573398 2005.11.09 dn376 Nov 9 13:56:38 dn376/dn376 ntpd[31073]: synchronized to 10.100.26.250, stratum 3
- 1131573401 2005.11.09 dn638 Nov 9 13:56:41 dn638/dn638 ntpd[766]: synchronized to 10.100.24.250, stratum 3
- 1131573416 2005.11.09 dn233 Nov 9 13:56:56 dn233/dn233 ntpd[11151]: synchronized to 10.100.26.250, stratum 3
- 1131573417 2005.11.09 dn337 Nov 9 13:56:57 dn337/dn337 ntpd[31536]: synchronized to 10.100.24.250, stratum 3
- 1131573418 2005.11.09 dn920 Nov 9 13:56:58 dn920/dn920 ntpd[3722]: synchronized to 10.100.24.250, stratum 3
- 1131573429 2005.11.09 dn114 Nov 9 13:57:09 dn114/dn114 ntpd[10704]: synchronized to 10.100.24.250, stratum 3
- 1131573434 2005.11.09 dn114 Nov 9 13:57:14 dn114/dn114 ntpd[10704]: synchronized to 10.100.28.250, stratum 3
- 1131573437 2005.11.09 dn827 Nov 9 13:57:17 dn827/dn827 ntpd[4554]: synchronized to 10.100.26.250, stratum 3
- 1131573439 2005.11.09 dn216 Nov 9 13:57:19 dn216/dn216 ntpd[12107]: synchronized to 10.100.24.250, stratum 3
- 1131573456 2005.11.09 dn880 Nov 9 13:57:36 dn880/dn880 ntpd[2075]: synchronized to 10.100.26.250, stratum 3
- 1131573467 2005.11.09 dn746 Nov 9 13:57:47 dn746/dn746 ntpd[32562]: synchronized to 10.100.28.250, stratum 3
- 1131573482 2005.11.09 dn433 Nov 9 13:58:02 dn433/dn433 ntpd[31963]: synchronized to 10.100.26.250, stratum 3
- 1131573487 2005.11.09 dn833 Nov 9 13:58:07 dn833/dn833 ntpd[4903]: synchronized to 10.100.24.250, stratum 3
- 1131573490 2005.11.09 dn362 Nov 9 13:58:10 dn362/dn362 ntpd[30947]: synchronized to 10.100.26.250, stratum 3
- 1131573495 2005.11.09 dn673 Nov 9 13:58:15 dn673/dn673 ntpd[1183]: synchronized to 10.100.24.250, stratum 3
- 1131573505 2005.11.09 dn673 Nov 9 13:58:25 dn673/dn673 ntpd[1183]: synchronized to 10.100.28.250, stratum 3
- 1131573507 2005.11.09 dn347 Nov 9 13:58:27 dn347/dn347 ntpd[32316]: synchronized to 10.100.26.250, stratum 3
- 1131573509 2005.11.09 dn828 Nov 9 13:58:29 dn828/dn828 ntpd[4709]: synchronized to 10.100.26.250, stratum 3
- 1131573514 2005.11.09 dn202 Nov 9 13:58:34 dn202/dn202 ntpd[1709]: synchronized to 10.100.26.250, stratum 3
- 1131573529 2005.11.09 dn709 Nov 9 13:58:49 dn709/dn709 ntpd[1150]: synchronized to 10.100.28.250, stratum 3
- 1131573535 2005.11.09 dn999 Nov 9 13:58:55 dn999/dn999 ntpd[1275]: synchronized to 10.100.30.250, stratum 3
- 1131573548 2005.11.09 dn629 Nov 9 13:59:08 dn629/dn629 ntpd[686]: synchronized to 10.100.26.250, stratum 3
- 1131573550 2005.11.09 dn470 Nov 9 13:59:10 dn470/dn470 ntpd[32285]: synchronized to 10.100.24.250, stratum 3
- 1131573553 2005.11.09 dn749 Nov 9 13:59:13 dn749/dn749 ntpd[31951]: synchronized to 10.100.30.250, stratum 3
- 1131573558 2005.11.09 dn912 Nov 9 13:59:18 dn912/dn912 ntpd[3930]: synchronized to 10.100.30.250, stratum 3
- 1131573559 2005.11.09 dn81 Nov 9 13:59:19 dn81/dn81 ntpd[9310]: synchronized to 10.100.30.250, stratum 3
- 1131573572 2005.11.09 dn741 Nov 9 13:59:32 dn741/dn741 ntpd[32019]: synchronized to 10.100.28.250, stratum 3
