- 1131566463 2005.11.09 cn142 Nov 9 12:01:03 cn142/cn142 ntpd[7467]: synchronized to 10.100.20.250, stratum 3
- 1131566518 2005.11.09 cn887 Nov 9 12:01:58 cn887/cn887 ntpd[28964]: synchronized to 10.100.18.250, stratum 3
- 1131566519 2005.11.09 cn763 Nov 9 12:01:59 cn763/cn763 ntpd[27810]: synchronized to 10.100.16.250, stratum 3
- 1131566519 2005.11.09 cn921 Nov 9 12:01:59 cn921/cn921 ntpd[28851]: synchronized to 10.100.22.250, stratum 3
- 1131566520 2005.11.09 bn780 Nov 9 12:02:00 bn780/bn780 ntpd[24873]: synchronized to 10.100.22.250, stratum 3
- 1131566526 2005.11.09 bn317 Nov 9 12:02:06 bn317/bn317 ntpd[28385]: synchronized to 10.100.20.250, stratum 3
- 1131566528 2005.11.09 cn330 Nov 9 12:02:08 cn330/cn330 ntpd[23300]: synchronized to 10.100.20.250, stratum 3
- 1131566530 2005.11.09 bn837 Nov 9 12:02:10 bn837/bn837 ntpd[21755]: synchronized to 10.100.18.250, stratum 3
- 1131566532 2005.11.09 bn82 Nov 9 12:02:12 bn82/bn82 ntpd[10804]: synchronized to 10.100.20.250, stratum 3
- 1131566535 2005.11.09 cn179 Nov 9 12:02:15 cn179/cn179 ntpd[9791]: synchronized to 10.100.22.250, stratum 3
- 1131566536 2005.11.09 cn220 Nov 9 12:02:16 cn220/cn220 ntpd[10886]: synchronized to 10.100.22.250, stratum 3
- 1131566539 2005.11.09 cn285 Nov 9 12:02:19 cn285/cn285 ntpd[26823]: synchronized to 10.100.20.250, stratum 3
- 1131566543 2005.11.09 cn795 Nov 9 12:02:23 cn795/cn795 ntpd[28751]: synchronized to 10.100.20.250, stratum 3
- 1131566544 2005.11.09 cn327 Nov 9 12:02:24 cn327/cn327 ntpd[23021]: synchronized to 10.100.18.250, stratum 3
- 1131566546 2005.11.09 bn71 Nov 9 12:02:26 bn71/bn71 ntpd[22508]: synchronized to 10.100.20.250, stratum 3
- 1131566548 2005.11.09 cn209 Nov 9 12:02:28 cn209/cn209 ntpd[19303]: synchronized to 10.100.20.250, stratum 3
- 1131566553 2005.11.09 bn346 Nov 9 12:02:33 bn346/bn346 ntpd[28647]: synchronized to 10.100.20.250, stratum 3
- 1131566556 2005.11.09 cn737 Nov 9 12:02:36 cn737/cn737 ntpd[29331]: synchronized to 10.100.20.250, stratum 3
- 1131566558 2005.11.09 cn697 Nov 9 12:02:38 cn697/cn697 ntpd[19486]: synchronized to 10.100.20.250, stratum 3
- 1131566560 2005.11.09 cn921 Nov 9 12:02:40 cn921/cn921 ntpd[28851]: synchronized to 10.100.20.250, stratum 3
- 1131566561 2005.11.09 cn250 Nov 9 12:02:41 cn250/cn250 ntpd[11202]: synchronized to 10.100.16.250, stratum 3
- 1131566562 2005.11.09 bn413 Nov 9 12:02:42 bn413/bn413 ntpd[29462]: synchronized to 10.100.20.250, stratum 3
- 1131566562 2005.11.09 bn645 Nov 9 12:02:42 bn645/bn645 ntpd[23720]: synchronized to 10.100.22.250, stratum 3
- 1131566566 2005.11.09 bn506 Nov 9 12:02:46 bn506/bn506 ntpd[28888]: synchronized to 10.100.20.250, stratum 3
- 1131566567 2005.11.09 bn112 Nov 9 12:02:47 bn112/bn112 ntpd[22405]: synchronized to 10.100.20.250, stratum 3
- 1131566568 2005.11.09 cn41 Nov 9 12:02:48 cn41/cn41 ntpd[16857]: synchronized to 10.100.22.250, stratum 3
- 1131566570 2005.11.09 cn738 Nov 9 12:02:50 cn738/cn738 ntpd[29056]: synchronized to 10.100.16.250, stratum 3
- 1131566572 2005.11.09 cn661 Nov 9 12:02:52 cn661/cn661 ntpd[18505]: synchronized to 10.100.16.250, stratum 3
- 1131566576 2005.11.09 bn661 Nov 9 12:02:56 bn661/bn661 ntpd[23903]: synchronized to 10.100.22.250, stratum 3
- 1131566577 2005.11.09 cn275 Nov 9 12:02:57 cn275/cn275 ntpd[9831]: synchronized to 10.100.20.250, stratum 3
- 1131566577 2005.11.09 cn990 Nov 9 12:02:57 cn990/cn990 ntpd[18995]: synchronized to 10.100.22.250, stratum 3
- 1131566579 2005.11.09 cn692 Nov 9 12:02:59 cn692/cn692 ntpd[17144]: synchronized to 10.100.18.250, stratum 3
- 1131566580 2005.11.09 bn282 Nov 9 12:03:00 bn282/bn282 ntpd[9064]: synchronized to 10.100.20.250, stratum 3
- 1131566581 2005.11.09 cn321 Nov 9 12:03:01 cn321/cn321 ntpd[23556]: synchronized to 10.100.16.250, stratum 3
- 1131566585 2005.11.09 cn487 Nov 9 12:03:05 cn487/cn487 ntpd[15545]: synchronized to 10.100.20.250, stratum 3
- 1131566585 2005.11.09 cn841 Nov 9 12:03:05 cn841/cn841 ntpd[28103]: synchronized to 10.100.20.250, stratum 3
- 1131566590 2005.11.09 bn468 Nov 9 12:03:10 bn468/bn468 ntpd[29128]: synchronized to 10.100.20.250, stratum 3
- 1131566596 2005.11.09 bn430 Nov 9 12:03:16 bn430/bn430 ntpd[29622]: synchronized to 10.100.14.250, stratum 3
- 1131566598 2005.11.09 cn568 Nov 9 12:03:18 cn568/cn568 ntpd[17942]: synchronized to 10.100.20.250, stratum 3
- 1131566606 2005.11.09 cn245 Nov 9 12:03:26 cn245/cn245 ntpd[31779]: synchronized to 10.100.20.250, stratum 3
- 1131566609 2005.11.09 bn453 Nov 9 12:03:29 bn453/bn453 ntpd[30219]: synchronized to 10.100.22.250, stratum 3
- 1131566610 2005.11.09 bn782 Nov 9 12:03:30 bn782/bn782 ntpd[18565]: synchronized to 10.100.18.250, stratum 3
- 1131566612 2005.11.09 cn401 Nov 9 12:03:32 cn401/cn401 ntpd[13355]: synchronized to 10.100.20.250, stratum 3
- 1131566613 2005.11.09 cn798 Nov 9 12:03:33 cn798/cn798 ntpd[28046]: synchronized to 10.100.18.250, stratum 3
- 1131566614 2005.11.09 cn671 Nov 9 12:03:34 cn671/cn671 ntpd[18058]: synchronized to 10.100.20.250, stratum 3
- 1131566615 2005.11.09 bn272 Nov 9 12:03:35 bn272/bn272 ntpd[23856]: synchronized to 10.100.22.250, stratum 3
- 1131566618 2005.11.09 cn212 Nov 9 12:03:38 cn212/cn212 ntpd[19672]: synchronized to 10.100.18.250, stratum 3
- 1131566619 2005.11.09 cn302 Nov 9 12:03:39 cn302/cn302 ntpd[23306]: synchronized to 10.100.22.250, stratum 3
- 1131566625 2005.11.09 cn196 Nov 9 12:03:45 cn196/cn196 ntpd[20345]: synchronized to 10.100.20.250, stratum 3
- 1131566626 2005.11.09 cn866 Nov 9 12:03:46 cn866/cn866 ntpd[28395]: synchronized to 10.100.20.250, stratum 3
- 1131566627 2005.11.09 bn993 Nov 9 12:03:47 bn993/bn993 ntpd[14363]: synchronized to 10.100.12.250, stratum 3
- 1131566628 2005.11.09 cn451 Nov 9 12:03:48 cn451/cn451 ntpd[11052]: synchronized to 10.100.22.250, stratum 3
- 1131566628 2005.11.09 cn458 Nov 9 12:03:48 cn458/cn458 ntpd[11916]: synchronized to 10.100.20.250, stratum 3
- 1131566631 2005.11.09 cn908 Nov 9 12:03:51 cn908/cn908 ntpd[28064]: synchronized to 10.100.18.250, stratum 3
- 1131566633 2005.11.09 cn762 Nov 9 12:03:53 cn762/cn762 ntpd[29005]: synchronized to 10.100.18.250, stratum 3
- 1131566635 2005.11.09 cn212 Nov 9 12:03:55 cn212/cn212 ntpd[19672]: synchronized to 10.100.22.250, stratum 3
- 1131566636 2005.11.09 bn316 Nov 9 12:03:56 bn316/bn316 ntpd[29439]: synchronized to 10.100.22.250, stratum 3
- 1131566636 2005.11.09 bn880 Nov 9 12:03:56 bn880/bn880 ntpd[1799]: synchronized to 10.100.14.250, stratum 3
- 1131566637 2005.11.09 cn747 Nov 9 12:03:57 cn747/cn747 ntpd[29165]: synchronized to 10.100.18.250, stratum 3
- 1131566639 2005.11.09 bn363 Nov 9 12:03:59 bn363/bn363 ntpd[28759]: synchronized to 10.100.22.250, stratum 3
- 1131566639 2005.11.09 bn843 Nov 9 12:03:59 bn843/bn843 ntpd[22085]: synchronized to 10.100.20.250, stratum 3
- 1131566640 2005.11.09 bn601 Nov 9 12:04:00 bn601/bn601 ntpd[24357]: synchronized to 10.100.18.250, stratum 3
- 1131566641 2005.11.09 cn262 Nov 9 12:04:01 cn262/cn262 ntpd[2245]: synchronized to 10.100.22.250, stratum 3
- 1131566644 2005.11.09 cn779 Nov 9 12:04:04 cn779/cn779 ntpd[28009]: synchronized to 10.100.18.250, stratum 3
- 1131566644 2005.11.09 cn936 Nov 9 12:04:04 cn936/cn936 ntpd[29168]: synchronized to 10.100.18.250, stratum 3
- 1131566644 2005.11.09 cn991 Nov 9 12:04:04 cn991/cn991 ntpd[18491]: synchronized to 10.100.22.250, stratum 3
- 1131566645 2005.11.09 cn301 Nov 9 12:04:05 cn301/cn301 ntpd[22898]: synchronized to 10.100.22.250, stratum 3
- 1131566645 2005.11.09 cn923 Nov 9 12:04:05 cn923/cn923 ntpd[28988]: synchronized to 10.100.20.250, stratum 3
- 1131566647 2005.11.09 cn709 Nov 9 12:04:07 cn709/cn709 ntpd[19295]: synchronized to 10.100.16.250, stratum 3
- 1131566648 2005.11.09 bn263 Nov 9 12:04:08 bn263/bn263 ntpd[23720]: synchronized to 10.100.18.250, stratum 3
- 1131566650 2005.11.09 bn734 Nov 9 12:04:10 bn734/bn734 ntpd[2444]: synchronized to 10.100.20.250, stratum 3
- 1131566650 2005.11.09 bn735 Nov 9 12:04:10 bn735/bn735 ntpd[2371]: synchronized to 10.100.20.250, stratum 3
- 1131566652 2005.11.09 bn263 Nov 9 12:04:12 bn263/bn263 ntpd[23720]: synchronized to 10.100.16.250, stratum 3
- 1131566656 2005.11.09 cn847 Nov 9 12:04:16 cn847/cn847 ntpd[27885]: synchronized to 10.100.16.250, stratum 3
- 1131566659 2005.11.09 cn25 Nov 9 12:04:19 cn25/cn25 ntpd[15539]: synchronized to 10.100.22.250, stratum 3
- 1131566662 2005.11.09 bn932 Nov 9 12:04:22 bn932/bn932 ntpd[25246]: synchronized to 10.100.18.250, stratum 3
- 1131566662 2005.11.09 cn947 Nov 9 12:04:22 cn947/cn947 ntpd[19822]: synchronized to 10.100.20.250, stratum 3
- 1131566664 2005.11.09 bn10 Nov 9 12:04:24 bn10/bn10 ntpd[22328]: synchronized to 10.100.20.250, stratum 3
- 1131566664 2005.11.09 bn594 Nov 9 12:04:24 bn594/bn594 ntpd[7901]: synchronized to 10.100.16.250, stratum 3
- 1131566664 2005.11.09 cn205 Nov 9 12:04:24 cn205/cn205 ntpd[20490]: synchronized to 10.100.18.250, stratum 3
- 1131566665 2005.11.09 cn765 Nov 9 12:04:25 cn765/cn765 ntpd[27990]: synchronized to 10.100.20.250, stratum 3
- 1131566666 2005.11.09 bn10 Nov 9 12:04:26 bn10/bn10 ntpd[22328]: synchronized to 10.100.18.250, stratum 3
- 1131566668 2005.11.09 cn912 Nov 9 12:04:28 cn912/cn912 ntpd[28300]: synchronized to 10.100.22.250, stratum 3
- 1131566670 2005.11.09 cn534 Nov 9 12:04:30 cn534/cn534 ntpd[16244]: synchronized to 10.100.22.250, stratum 3
- 1131566673 2005.11.09 bn429 Nov 9 12:04:33 bn429/bn429 ntpd[29251]: synchronized to 10.100.20.250, stratum 3
- 1131566673 2005.11.09 cn351 Nov 9 12:04:33 cn351/cn351 ntpd[11981]: synchronized to 10.100.18.250, stratum 3
- 1131566674 2005.11.09 cn573 Nov 9 12:04:34 cn573/cn573 ntpd[15193]: synchronized to 10.100.22.250, stratum 3
- 1131566675 2005.11.09 cn231 Nov 9 12:04:35 cn231/cn231 ntpd[10735]: synchronized to 10.100.18.250, stratum 3
- 1131566676 2005.11.09 cn424 Nov 9 12:04:36 cn424/cn424 ntpd[12754]: synchronized to 10.100.16.250, stratum 3
- 1131566676 2005.11.09 cn984 Nov 9 12:04:36 cn984/cn984 ntpd[19722]: synchronized to 10.100.20.250, stratum 3
- 1131566677 2005.11.09 cn846 Nov 9 12:04:37 cn846/cn846 ntpd[27289]: synchronized to 10.100.22.250, stratum 3
- 1131566679 2005.11.09 bn27 Nov 9 12:04:39 bn27/bn27 ntpd[22307]: synchronized to 10.100.18.250, stratum 3
- 1131566679 2005.11.09 bn978 Nov 9 12:04:39 bn978/bn978 ntpd[14255]: synchronized to 10.100.18.250, stratum 3
- 1131566679 2005.11.09 cn737 Nov 9 12:04:39 cn737/cn737 ntpd[29331]: synchronized to 10.100.16.250, stratum 3
- 1131566679 2005.11.09 cn864 Nov 9 12:04:39 cn864/cn864 ntpd[27499]: synchronized to 10.100.22.250, stratum 3
- 1131566680 2005.11.09 bn846 Nov 9 12:04:40 bn846/bn846 ntpd[22032]: synchronized to 10.100.22.250, stratum 3
- 1131566681 2005.11.09 cn658 Nov 9 12:04:41 cn658/cn658 ntpd[24187]: synchronized to 10.100.22.250, stratum 3
- 1131566683 2005.11.09 bn364 Nov 9 12:04:43 bn364/bn364 ntpd[28894]: synchronized to 10.100.14.250, stratum 3
- 1131566683 2005.11.09 cn541 Nov 9 12:04:43 cn541/cn541 ntpd[14451]: synchronized to 10.100.20.250, stratum 3
- 1131566683 2005.11.09 cn621 Nov 9 12:04:43 cn621/cn621 ntpd[18491]: synchronized to 10.100.16.250, stratum 3
- 1131566684 2005.11.09 cn317 Nov 9 12:04:44 cn317/cn317 ntpd[23387]: synchronized to 10.100.20.250, stratum 3
- 1131566684 2005.11.09 cn402 Nov 9 12:04:44 cn402/cn402 ntpd[13156]: synchronized to 10.100.20.250, stratum 3
- 1131566684 2005.11.09 cn859 Nov 9 12:04:44 cn859/cn859 ntpd[28794]: synchronized to 10.100.16.250, stratum 3
- 1131566684 2005.11.09 cn967 Nov 9 12:04:44 cn967/cn967 ntpd[19908]: synchronized to 10.100.22.250, stratum 3
- 1131566686 2005.11.09 bn846 Nov 9 12:04:46 bn846/bn846 ntpd[22032]: synchronized to 10.100.20.250, stratum 3
- 1131566687 2005.11.09 bn424 Nov 9 12:04:47 bn424/bn424 ntpd[30101]: synchronized to 10.100.20.250, stratum 3
- 1131566688 2005.11.09 cn656 Nov 9 12:04:48 cn656/cn656 ntpd[32284]: synchronized to 10.100.16.250, stratum 3
- 1131566689 2005.11.09 cn373 Nov 9 12:04:49 cn373/cn373 ntpd[10321]: synchronized to 10.100.16.250, stratum 3
- 1131566690 2005.11.09 cn499 Nov 9 12:04:50 cn499/cn499 ntpd[15380]: synchronized to 10.100.22.250, stratum 3
- 1131566690 2005.11.09 cn997 Nov 9 12:04:50 cn997/cn997 ntpd[19070]: synchronized to 10.100.22.250, stratum 3
- 1131566691 2005.11.09 cn655 Nov 9 12:04:51 cn655/cn655 ntpd[18484]: synchronized to 10.100.22.250, stratum 3
- 1131566691 2005.11.09 cn68 Nov 9 12:04:51 cn68/cn68 ntpd[14667]: synchronized to 10.100.22.250, stratum 3
- 1131566691 2005.11.09 cn684 Nov 9 12:04:51 cn684/cn684 ntpd[19346]: synchronized to 10.100.18.250, stratum 3
- 1131566692 2005.11.09 bn649 Nov 9 12:04:52 bn649/bn649 ntpd[3482]: synchronized to 10.100.20.250, stratum 3
- 1131566692 2005.11.09 cn771 Nov 9 12:04:52 cn771/cn771 ntpd[27994]: synchronized to 10.100.20.250, stratum 3
- 1131566694 2005.11.09 cn818 Nov 9 12:04:54 cn818/cn818 ntpd[28669]: synchronized to 10.100.22.250, stratum 3
- 1131566697 2005.11.09 bn790 Nov 9 12:04:57 bn790/bn790 ntpd[24108]: synchronized to 10.100.20.250, stratum 3
- 1131566697 2005.11.09 cn235 Nov 9 12:04:57 cn235/cn235 ntpd[10140]: synchronized to 10.100.20.250, stratum 3
- 1131566698 2005.11.09 cn439 Nov 9 12:04:58 cn439/cn439 ntpd[13201]: synchronized to 10.100.18.250, stratum 3
- 1131566700 2005.11.09 cn439 Nov 9 12:05:00 cn439/cn439 ntpd[13201]: synchronized to 10.100.22.250, stratum 3
- 1131566700 2005.11.09 cn837 Nov 9 12:05:00 cn837/cn837 ntpd[27977]: synchronized to 10.100.18.250, stratum 3
- 1131566701 2005.11.09 cn149 Nov 9 12:05:01 cn149/cn149 ntpd[10155]: synchronized to 10.100.20.250, stratum 3
- 1131566704 2005.11.09 cn761 Nov 9 12:05:04 cn761/cn761 ntpd[27478]: synchronized to 10.100.16.250, stratum 3
- 1131566705 2005.11.09 cn453 Nov 9 12:05:05 cn453/cn453 ntpd[11120]: synchronized to 10.100.20.250, stratum 3
- 1131566707 2005.11.09 cn379 Nov 9 12:05:07 cn379/cn379 ntpd[10573]: synchronized to 10.100.16.250, stratum 3
- 1131566713 2005.11.09 cn375 Nov 9 12:05:13 cn375/cn375 ntpd[10237]: synchronized to 10.100.20.250, stratum 3
- 1131566714 2005.11.09 bn703 Nov 9 12:05:14 bn703/bn703 ntpd[21338]: synchronized to 10.100.22.250, stratum 3
- 1131566716 2005.11.09 cn622 Nov 9 12:05:16 cn622/cn622 ntpd[18517]: synchronized to 10.100.18.250, stratum 3
- 1131566718 2005.11.09 cn838 Nov 9 12:05:18 cn838/cn838 ntpd[28059]: synchronized to 10.100.20.250, stratum 3
- 1131566722 2005.11.09 cn327 Nov 9 12:05:22 cn327/cn327 ntpd[23021]: synchronized to 10.100.20.250, stratum 3
- 1131566723 2005.11.09 cn665 Nov 9 12:05:23 cn665/cn665 ntpd[23982]: synchronized to 10.100.22.250, stratum 3
- 1131566727 2005.11.09 cn269 Nov 9 12:05:27 cn269/cn269 ntpd[12178]: synchronized to 10.100.20.250, stratum 3
- 1131566727 2005.11.09 cn290 Nov 9 12:05:27 cn290/cn290 ntpd[23984]: synchronized to 10.100.20.250, stratum 3
- 1131566727 2005.11.09 cn92 Nov 9 12:05:27 cn92/cn92 ntpd[19774]: synchronized to 10.100.22.250, stratum 3
- 1131566730 2005.11.09 cn92 Nov 9 12:05:30 cn92/cn92 ntpd[19774]: synchronized to 10.100.18.250, stratum 3
- 1131566733 2005.11.09 cn16 Nov 9 12:05:33 cn16/cn16 ntpd[15426]: synchronized to 10.100.20.250, stratum 3
- 1131566733 2005.11.09 cn315 Nov 9 12:05:33 cn315/cn315 ntpd[23358]: synchronized to 10.100.20.250, stratum 3
- 1131566734 2005.11.09 cn670 Nov 9 12:05:34 cn670/cn670 ntpd[18560]: synchronized to 10.100.22.250, stratum 3
- 1131566736 2005.11.09 bn263 Nov 9 12:05:36 bn263/bn263 ntpd[23720]: synchronized to 10.100.20.250, stratum 3
- 1131566741 2005.11.09 bn285 Nov 9 12:05:41 bn285/bn285 ntpd[23597]: synchronized to 10.100.12.250, stratum 3
- 1131566741 2005.11.09 cn697 Nov 9 12:05:41 cn697/cn697 ntpd[19486]: synchronized to 10.100.18.250, stratum 3
- 1131566745 2005.11.09 bn174 Nov 9 12:05:45 bn174/bn174 ntpd[21683]: synchronized to 10.100.20.250, stratum 3
- 1131566746 2005.11.09 cn826 Nov 9 12:05:46 cn826/cn826 ntpd[29220]: synchronized to 10.100.20.250, stratum 3
- 1131566755 2005.11.09 bn154 Nov 9 12:05:55 bn154/bn154 ntpd[22847]: synchronized to 10.100.20.250, stratum 3
- 1131566756 2005.11.09 bn361 Nov 9 12:05:56 bn361/bn361 ntpd[28875]: synchronized to 10.100.22.250, stratum 3
- 1131566756 2005.11.09 cn408 Nov 9 12:05:56 cn408/cn408 ntpd[13232]: synchronized to 10.100.22.250, stratum 3
- 1131566758 2005.11.09 cn278 Nov 9 12:05:58 cn278/cn278 ntpd[10806]: synchronized to 10.100.20.250, stratum 3
- 1131566758 2005.11.09 cn770 Nov 9 12:05:58 cn770/cn770 ntpd[28162]: synchronized to 10.100.22.250, stratum 3
- 1131566759 2005.11.09 cn25 Nov 9 12:05:59 cn25/cn25 ntpd[15539]: synchronized to 10.100.16.250, stratum 3
- 1131566761 2005.11.09 bn19 Nov 9 12:06:01 bn19/bn19 ntpd[22830]: synchronized to 10.100.18.250, stratum 3
- 1131566762 2005.11.09 cn488 Nov 9 12:06:02 cn488/cn488 ntpd[15809]: synchronized to 10.100.20.250, stratum 3
- 1131566763 2005.11.09 bn148 Nov 9 12:06:03 bn148/bn148 ntpd[22814]: synchronized to 10.100.18.250, stratum 3
- 1131566763 2005.11.09 cn880 Nov 9 12:06:03 cn880/cn880 ntpd[29120]: synchronized to 10.100.16.250, stratum 3
- 1131566764 2005.11.09 bn325 Nov 9 12:06:04 bn325/bn325 ntpd[29392]: synchronized to 10.100.20.250, stratum 3
- 1131566766 2005.11.09 cn370 Nov 9 12:06:06 cn370/cn370 ntpd[10288]: synchronized to 10.100.16.250, stratum 3
- 1131566767 2005.11.09 cn346 Nov 9 12:06:07 cn346/cn346 ntpd[12656]: synchronized to 10.100.20.250, stratum 3
- 1131566767 2005.11.09 cn542 Nov 9 12:06:07 cn542/cn542 ntpd[13781]: synchronized to 10.100.20.250, stratum 3
- 1131566771 2005.11.09 cn234 Nov 9 12:06:11 cn234/cn234 ntpd[10674]: synchronized to 10.100.22.250, stratum 3
- 1131566771 2005.11.09 cn864 Nov 9 12:06:11 cn864/cn864 ntpd[27499]: synchronized to 10.100.18.250, stratum 3
- 1131566772 2005.11.09 cn224 Nov 9 12:06:12 cn224/cn224 ntpd[24739]: synchronized to 10.100.20.250, stratum 3
- 1131566773 2005.11.09 bn89 Nov 9 12:06:13 bn89/bn89 ntpd[22496]: synchronized to 10.100.20.250, stratum 3
- 1131566774 2005.11.09 cn717 Nov 9 12:06:14 cn717/cn717 ntpd[18846]: synchronized to 10.100.20.250, stratum 3
- 1131566777 2005.11.09 cn318 Nov 9 12:06:17 cn318/cn318 ntpd[19988]: synchronized to 10.100.20.250, stratum 3
- 1131566779 2005.11.09 cn183 Nov 9 12:06:19 cn183/cn183 ntpd[4314]: synchronized to 10.100.16.250, stratum 3
- 1131566781 2005.11.09 bn914 Nov 9 12:06:21 bn914/bn914 ntpd[25026]: synchronized to 10.100.20.250, stratum 3
- 1131566781 2005.11.09 cn884 Nov 9 12:06:21 cn884/cn884 ntpd[32661]: synchronized to 10.100.16.250, stratum 3
- 1131566782 2005.11.09 cn274 Nov 9 12:06:22 cn274/cn274 ntpd[10560]: synchronized to 10.100.18.250, stratum 3
- 1131566785 2005.11.09 cn213 Nov 9 12:06:25 cn213/cn213 ntpd[17513]: synchronized to 10.100.22.250, stratum 3
- 1131566791 2005.11.09 cn846 Nov 9 12:06:31 cn846/cn846 ntpd[27289]: synchronized to 10.100.20.250, stratum 3
- 1131566792 2005.11.09 bn19 Nov 9 12:06:32 bn19/bn19 ntpd[22830]: synchronized to 10.100.20.250, stratum 3
- 1131566793 2005.11.09 cn907 Nov 9 12:06:33 cn907/cn907 ntpd[28086]: synchronized to 10.100.22.250, stratum 3
- 1131566795 2005.11.09 cn256 Nov 9 12:06:35 cn256/cn256 ntpd[10351]: synchronized to 10.100.22.250, stratum 3
- 1131566796 2005.11.09 cn814 Nov 9 12:06:36 cn814/cn814 ntpd[28198]: synchronized to 10.100.22.250, stratum 3
- 1131566798 2005.11.09 bn493 Nov 9 12:06:38 bn493/bn493 ntpd[28388]: synchronized to 10.100.12.250, stratum 3
- 1131566798 2005.11.09 cn350 Nov 9 12:06:38 cn350/cn350 ntpd[12129]: synchronized to 10.100.16.250, stratum 3
- 1131566799 2005.11.09 bn978 Nov 9 12:06:39 bn978/bn978 ntpd[14255]: synchronized to 10.100.22.250, stratum 3
- 1131566801 2005.11.09 cn306 Nov 9 12:06:41 cn306/cn306 ntpd[23587]: synchronized to 10.100.22.250, stratum 3
- 1131566803 2005.11.09 bn756 Nov 9 12:06:43 bn756/bn756 ntpd[22312]: synchronized to 10.100.20.250, stratum 3
- 1131566804 2005.11.09 cn219 Nov 9 12:06:44 cn219/cn219 ntpd[10562]: synchronized to 10.100.20.250, stratum 3
- 1131566805 2005.11.09 cn500 Nov 9 12:06:45 cn500/cn500 ntpd[15463]: synchronized to 10.100.18.250, stratum 3
- 1131566809 2005.11.09 cn1002 Nov 9 12:06:49 cn1002/cn1002 ntpd[19253]: synchronized to 10.100.20.250, stratum 3
- 1131566810 2005.11.09 cn115 Nov 9 12:06:50 cn115/cn115 ntpd[20377]: synchronized to 10.100.20.250, stratum 3
- 1131566813 2005.11.09 cn473 Nov 9 12:06:53 cn473/cn473 ntpd[15482]: synchronized to 10.100.16.250, stratum 3
