- 1131566461 2005.11.09 dn228 Nov 9 12:01:01 dn228/dn228 crond(pam_unix)[2915]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn228 Nov 9 12:01:01 dn228/dn228 crond[2916]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn261 Nov 9 12:01:01 dn261/dn261 crond(pam_unix)[2907]: session closed for user root
- 1131566461 2005.11.09 dn261 Nov 9 12:01:01 dn261/dn261 crond(pam_unix)[2907]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn261 Nov 9 12:01:01 dn261/dn261 crond[2908]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn3 Nov 9 12:01:01 dn3/dn3 crond(pam_unix)[2907]: session closed for user root
- 1131566461 2005.11.09 dn3 Nov 9 12:01:01 dn3/dn3 crond(pam_unix)[2907]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn3 Nov 9 12:01:01 dn3/dn3 crond[2908]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn596 Nov 9 12:01:01 dn596/dn596 crond(pam_unix)[2727]: session closed for user root
- 1131566461 2005.11.09 dn596 Nov 9 12:01:01 dn596/dn596 crond(pam_unix)[2727]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn596 Nov 9 12:01:01 dn596/dn596 crond[2728]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn700 Nov 9 12:01:01 dn700/dn700 crond(pam_unix)[2912]: session closed for user root
- 1131566461 2005.11.09 dn700 Nov 9 12:01:01 dn700/dn700 crond(pam_unix)[2912]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn700 Nov 9 12:01:01 dn700/dn700 crond[2913]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn73 Nov 9 12:01:01 dn73/dn73 crond(pam_unix)[2917]: session closed for user root
- 1131566461 2005.11.09 dn73 Nov 9 12:01:01 dn73/dn73 crond(pam_unix)[2917]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn73 Nov 9 12:01:01 dn73/dn73 crond[2918]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn731 Nov 9 12:01:01 dn731/dn731 crond(pam_unix)[2916]: session closed for user root
- 1131566461 2005.11.09 dn731 Nov 9 12:01:01 dn731/dn731 crond(pam_unix)[2916]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn731 Nov 9 12:01:01 dn731/dn731 crond[2917]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn754 Nov 9 12:01:01 dn754/dn754 crond(pam_unix)[2913]: session closed for user root
- 1131566461 2005.11.09 dn754 Nov 9 12:01:01 dn754/dn754 crond(pam_unix)[2913]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn754 Nov 9 12:01:01 dn754/dn754 crond[2914]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566461 2005.11.09 dn978 Nov 9 12:01:01 dn978/dn978 crond(pam_unix)[2920]: session closed for user root
- 1131566461 2005.11.09 dn978 Nov 9 12:01:01 dn978/dn978 crond(pam_unix)[2920]: session opened for user root by (uid=0)
- 1131566461 2005.11.09 dn978 Nov 9 12:01:01 dn978/dn978 crond[2921]: (root) CMD (run-parts /etc/cron.hourly)
- 1131566463 2005.11.09 dn1021 Nov 9 12:01:03 dn1021/dn1021 ntpd[32563]: synchronized to 10.100.28.250, stratum 3
- 1131566727 2005.11.09 dn948 Nov 9 12:05:27 dn948/dn948 ntpd[25162]: synchronized to 10.100.28.250, stratum 3
- 1131566740 2005.11.09 dn393 Nov 9 12:05:40 dn393/dn393 ntpd[4696]: synchronized to 10.100.28.250, stratum 3
- 1131566744 2005.11.09 dn800 Nov 9 12:05:44 dn800/dn800 ntpd[542]: synchronized to 10.100.28.250, stratum 3
- 1131566753 2005.11.09 dn789 Nov 9 12:05:53 dn789/dn789 ntpd[32333]: synchronized to 10.100.28.250, stratum 3
- 1131566768 2005.11.09 dn42 Nov 9 12:06:08 dn42/dn42 ntpd[20828]: synchronized to 10.100.26.250, stratum 3
- 1131566784 2005.11.09 dn909 Nov 9 12:06:24 dn909/dn909 ntpd[4222]: synchronized to 10.100.26.250, stratum 3
- 1131566785 2005.11.09 dn926 Nov 9 12:06:25 dn926/dn926 ntpd[4254]: synchronized to 10.100.24.250, stratum 3
- 1131566804 2005.11.09 dn869 Nov 9 12:06:44 dn869/dn869 ntpd[3153]: synchronized to 10.100.24.250, stratum 3
- 1131566848 2005.11.09 dn235 Nov 9 12:07:28 dn235/dn235 ntpd[11149]: synchronized to 10.100.26.250, stratum 3
- 1131566871 2005.11.09 dn846 Nov 9 12:07:51 dn846/dn846 ntpd[3473]: synchronized to 10.100.26.250, stratum 3
- 1131566887 2005.11.09 dn926 Nov 9 12:08:07 dn926/dn926 ntpd[4254]: synchronized to 10.100.28.250, stratum 3
- 1131566904 2005.11.09 dn809 Nov 9 12:08:24 dn809/dn809 ntpd[599]: synchronized to 10.100.24.250, stratum 3
- 1131566906 2005.11.09 dn637 Nov 9 12:08:26 dn637/dn637 ntpd[1218]: synchronized to 10.100.28.250, stratum 3
- 1131566931 2005.11.09 dn345 Nov 9 12:08:51 dn345/dn345 ntpd[32322]: synchronized to 10.100.26.250, stratum 3
- 1131566934 2005.11.09 dn755 Nov 9 12:08:54 dn755/dn755 ntpd[32153]: synchronized to 10.100.28.250, stratum 3
- 1131566942 2005.11.09 dn210 Nov 9 12:09:02 dn210/dn210 ntpd[11163]: synchronized to 10.100.24.250, stratum 3
- 1131566960 2005.11.09 dn658 Nov 9 12:09:20 dn658/dn658 ntpd[32635]: synchronized to 10.100.26.250, stratum 3
- 1131566965 2005.11.09 dn176 Nov 9 12:09:25 dn176/dn176 ntpd[10748]: synchronized to 10.100.28.250, stratum 3
- 1131566965 2005.11.09 dn275 Nov 9 12:09:25 dn275/dn275 ntpd[908]: synchronized to 10.100.28.250, stratum 3
- 1131566965 2005.11.09 dn527 Nov 9 12:09:25 dn527/dn527 ntpd[31301]: synchronized to 10.100.26.250, stratum 3
- 1131566969 2005.11.09 dn313 Nov 9 12:09:29 dn313/dn313 ntpd[6261]: synchronized to 10.100.26.250, stratum 3
- 1131566979 2005.11.09 dn895 Nov 9 12:09:39 dn895/dn895 ntpd[6105]: synchronized to 10.100.28.250, stratum 3
- 1131566987 2005.11.09 dn294 Nov 9 12:09:47 dn294/dn294 ntpd[10865]: synchronized to 10.100.24.250, stratum 3
- 1131567003 2005.11.09 dn696 Nov 9 12:10:03 dn696/dn696 ntpd[3598]: synchronized to 10.100.28.250, stratum 3
- 1131567029 2005.11.09 dn82 Nov 9 12:10:29 dn82/dn82 ntpd[9313]: synchronized to 10.100.24.250, stratum 3
- 1131567032 2005.11.09 dn451 Nov 9 12:10:32 dn451/dn451 ntpd[32290]: synchronized to 10.100.24.250, stratum 3
- 1131567034 2005.11.09 dn652 Nov 9 12:10:34 dn652/dn652 ntpd[29930]: synchronized to 10.100.24.250, stratum 3
- 1131567047 2005.11.09 dn340 Nov 9 12:10:47 dn340/dn340 ntpd[31594]: synchronized to 10.100.24.250, stratum 3
- 1131567050 2005.11.09 dn458 Nov 9 12:10:50 dn458/dn458 ntpd[32364]: synchronized to 10.100.28.250, stratum 3
- 1131567059 2005.11.09 dn340 Nov 9 12:10:59 dn340/dn340 ntpd[31594]: synchronized to 10.100.30.250, stratum 3
- 1131567078 2005.11.09 dn700 Nov 9 12:11:18 dn700/dn700 ntpd[2251]: synchronized to 10.100.26.250, stratum 3
- 1131567099 2005.11.09 dn858 Nov 9 12:11:39 dn858/dn858 ntpd[3042]: synchronized to 10.100.28.250, stratum 3
- 1131567104 2005.11.09 dn597 Nov 9 12:11:44 dn597/dn597 ntpd[335]: synchronized to 10.100.26.250, stratum 3
- 1131567108 2005.11.09 dn639 Nov 9 12:11:48 dn639/dn639 ntpd[905]: synchronized to 10.100.28.250, stratum 3
- 1131567109 2005.11.09 dn214 Nov 9 12:11:49 dn214/dn214 ntpd[11183]: synchronized to 10.100.28.250, stratum 3
- 1131567114 2005.11.09 dn179 Nov 9 12:11:54 dn179/dn179 ntpd[11972]: synchronized to 10.100.26.250, stratum 3
- 1131567131 2005.11.09 dn669 Nov 9 12:12:11 dn669/dn669 ntpd[504]: synchronized to 10.100.28.250, stratum 3
- 1131567146 2005.11.09 dn234 Nov 9 12:12:26 dn234/dn234 ntpd[11132]: synchronized to 10.100.28.250, stratum 3
- 1131567152 2005.11.09 dn637 Nov 9 12:12:32 dn637/dn637 ntpd[1218]: synchronized to 10.100.24.250, stratum 3
- 1131567156 2005.11.09 dn678 Nov 9 12:12:36 dn678/dn678 ntpd[1567]: synchronized to 10.100.28.250, stratum 3
- 1131567185 2005.11.09 dn869 Nov 9 12:13:05 dn869/dn869 ntpd[3153]: synchronized to 10.100.30.250, stratum 3
- 1131567205 2005.11.09 dn82 Nov 9 12:13:25 dn82/dn82 ntpd[9313]: synchronized to 10.100.28.250, stratum 3
- 1131567209 2005.11.09 dn222 Nov 9 12:13:29 dn222/dn222 ntpd[10983]: synchronized to 10.100.28.250, stratum 3
- 1131567212 2005.11.09 dn89 Nov 9 12:13:32 dn89/dn89 ntpd[9741]: synchronized to 10.100.24.250, stratum 3
- 1131567213 2005.11.09 dn38 Nov 9 12:13:33 dn38/dn38 ntpd[20634]: synchronized to 10.100.26.250, stratum 3
- 1131567214 2005.11.09 dn678 Nov 9 12:13:34 dn678/dn678 ntpd[1567]: synchronized to 10.100.26.250, stratum 3
- 1131567229 2005.11.09 dn692 Nov 9 12:13:49 dn692/dn692 ntpd[3916]: synchronized to 10.100.24.250, stratum 3
- 1131567242 2005.11.09 dn116 Nov 9 12:14:02 dn116/dn116 ntpd[6949]: synchronized to 10.100.28.250, stratum 3
- 1131567262 2005.11.09 dn846 Nov 9 12:14:22 dn846/dn846 ntpd[3473]: synchronized to 10.100.28.250, stratum 3
- 1131567263 2005.11.09 dn509 Nov 9 12:14:23 dn509/dn509 ntpd[31359]: synchronized to 10.100.28.250, stratum 3
- 1131567264 2005.11.09 dn440 Nov 9 12:14:24 dn440/dn440 ntpd[31967]: synchronized to 10.100.26.250, stratum 3
- 1131567272 2005.11.09 dn585 Nov 9 12:14:32 dn585/dn585 ntpd[32219]: synchronized to 10.100.26.250, stratum 3
- 1131567278 2005.11.09 dn1012 Nov 9 12:14:38 dn1012/dn1012 ntpd[509]: synchronized to 10.100.26.250, stratum 3
- 1131567279 2005.11.09 dn392 Nov 9 12:14:39 dn392/dn392 ntpd[31149]: synchronized to 10.100.26.250, stratum 3
- 1131567290 2005.11.09 dn880 Nov 9 12:14:50 dn880/dn880 ntpd[2075]: synchronized to 10.100.30.250, stratum 3
- 1131567327 2005.11.09 dn125 Nov 9 12:15:27 dn125/dn125 ntpd[31993]: synchronized to 10.100.24.250, stratum 3
- 1131567327 2005.11.09 dn639 Nov 9 12:15:27 dn639/dn639 ntpd[905]: synchronized to 10.100.30.250, stratum 3
- 1131567335 2005.11.09 dn301 Nov 9 12:15:35 dn301/dn301 ntpd[32208]: synchronized to 10.100.24.250, stratum 3
- 1131567346 2005.11.09 dn38 Nov 9 12:15:46 dn38/dn38 ntpd[20634]: synchronized to 10.100.30.250, stratum 3
- 1131567365 2005.11.09 dn422 Nov 9 12:16:05 dn422/dn422 ntpd[32413]: synchronized to 10.100.24.250, stratum 3
- 1131567374 2005.11.09 dn629 Nov 9 12:16:14 dn629/dn629 ntpd[686]: synchronized to 10.100.24.250, stratum 3
- 1131567376 2005.11.09 dn482 Nov 9 12:16:16 dn482/dn482 ntpd[31857]: synchronized to 10.100.24.250, stratum 3
- 1131567376 2005.11.09 dn709 Nov 9 12:16:16 dn709/dn709 ntpd[1150]: synchronized to 10.100.24.250, stratum 3
- 1131567378 2005.11.09 dn622 Nov 9 12:16:18 dn622/dn622 ntpd[25580]: synchronized to 10.100.28.250, stratum 3
- 1131567391 2005.11.09 dn713 Nov 9 12:16:31 dn713/dn713 ntpd[904]: synchronized to 10.100.24.250, stratum 3
- 1131567393 2005.11.09 dn482 Nov 9 12:16:33 dn482/dn482 ntpd[31857]: synchronized to 10.100.28.250, stratum 3
- 1131567403 2005.11.09 dn678 Nov 9 12:16:43 dn678/dn678 ntpd[1567]: synchronized to 10.100.24.250, stratum 3
- 1131567405 2005.11.09 dn336 Nov 9 12:16:45 dn336/dn336 ntpd[30894]: synchronized to 10.100.28.250, stratum 3
- 1131567405 2005.11.09 dn426 Nov 9 12:16:45 dn426/dn426 ntpd[32380]: synchronized to 10.100.24.250, stratum 3
- 1131567406 2005.11.09 dn955 Nov 9 12:16:46 dn955/dn955 ntpd[32753]: synchronized to 10.100.28.250, stratum 3
- 1131567422 2005.11.09 dn548 Nov 9 12:17:02 dn548/dn548 ntpd[31670]: synchronized to 10.100.24.250, stratum 3
- 1131567429 2005.11.09 dn429 Nov 9 12:17:09 dn429/dn429 ntpd[3011]: synchronized to 10.100.28.250, stratum 3
- 1131567441 2005.11.09 dn529 Nov 9 12:17:21 dn529/dn529 ntpd[31555]: synchronized to 10.100.26.250, stratum 3
- 1131567446 2005.11.09 dn349 Nov 9 12:17:26 dn349/dn349 ntpd[32124]: synchronized to 10.100.30.250, stratum 3
- 1131567453 2005.11.09 dn223 Nov 9 12:17:33 dn223/dn223 ntpd[10302]: synchronized to 10.100.24.250, stratum 3
- 1131567457 2005.11.09 dn746 Nov 9 12:17:37 dn746/dn746 ntpd[32562]: synchronized to 10.100.26.250, stratum 3
- 1131567474 2005.11.09 dn881 Nov 9 12:17:54 dn881/dn881 ntpd[2795]: synchronized to 10.100.24.250, stratum 3
- 1131567499 2005.11.09 dn125 Nov 9 12:18:19 dn125/dn125 ntpd[31993]: synchronized to 10.100.30.250, stratum 3
- 1131567513 2005.11.09 dn753 Nov 9 12:18:33 dn753/dn753 ntpd[31783]: synchronized to 10.100.24.250, stratum 3
- 1131567521 2005.11.09 dn485 Nov 9 12:18:41 dn485/dn485 ntpd[31888]: synchronized to 10.100.30.250, stratum 3
- 1131567526 2005.11.09 dn181 Nov 9 12:18:46 dn181/dn181 ntpd[11157]: synchronized to 10.100.24.250, stratum 3
- 1131567536 2005.11.09 dn181 Nov 9 12:18:56 dn181/dn181 ntpd[11157]: synchronized to 10.100.26.250, stratum 3
- 1131567538 2005.11.09 dn187 Nov 9 12:18:58 dn187/dn187 ntpd[11183]: synchronized to 10.100.24.250, stratum 3
- 1131567543 2005.11.09 dn187 Nov 9 12:19:03 dn187/dn187 ntpd[11183]: synchronized to 10.100.28.250, stratum 3
- 1131567554 2005.11.09 dn451 Nov 9 12:19:14 dn451/dn451 ntpd[32290]: synchronized to 10.100.28.250, stratum 3
- 1131567556 2005.11.09 dn210 Nov 9 12:19:16 dn210/dn210 ntpd[11163]: synchronized to 10.100.26.250, stratum 3
- 1131567572 2005.11.09 dn346 Nov 9 12:19:32 dn346/dn346 ntpd[32313]: synchronized to 10.100.30.250, stratum 3
- 1131567599 2005.11.09 dn452 Nov 9 12:19:59 dn452/dn452 ntpd[32216]: synchronized to 10.100.28.250, stratum 3
- 1131567612 2005.11.09 dn991 Nov 9 12:20:12 dn991/dn991 ntpd[982]: synchronized to 10.100.26.250, stratum 3
- 1131567621 2005.11.09 dn709 Nov 9 12:20:21 dn709/dn709 ntpd[1150]: synchronized to 10.100.26.250, stratum 3
- 1131567640 2005.11.09 dn536 Nov 9 12:20:40 dn536/dn536 ntpd[31975]: synchronized to 10.100.30.250, stratum 3
- 1131567655 2005.11.09 dn530 Nov 9 12:20:55 dn530/dn530 ntpd[32046]: synchronized to 10.100.24.250, stratum 3
- 1131567664 2005.11.09 dn819 Nov 9 12:21:04 dn819/dn819 ntpd[659]: synchronized to 10.100.28.250, stratum 3
- 1131567685 2005.11.09 dn827 Nov 9 12:21:25 dn827/dn827 ntpd[4554]: synchronized to 10.100.24.250, stratum 3
- 1131567687 2005.11.09 dn752 Nov 9 12:21:27 dn752/dn752 ntpd[31276]: synchronized to 10.100.26.250, stratum 3
- 1131567705 2005.11.09 dn753 Nov 9 12:21:45 dn753/dn753 ntpd[31783]: synchronized to 10.100.28.250, stratum 3
- 1131567707 2005.11.09 dn361 Nov 9 12:21:47 dn361/dn361 ntpd[31034]: synchronized to 10.100.28.250, stratum 3
- 1131567715 2005.11.09 dn784 Nov 9 12:21:55 dn784/dn784 ntpd[32727]: synchronized to 10.100.26.250, stratum 3
- 1131567717 2005.11.09 dn223 Nov 9 12:21:57 dn223/dn223 ntpd[10302]: synchronized to 10.100.26.250, stratum 3
- 1131567724 2005.11.09 dn439 Nov 9 12:22:04 dn439/dn439 ntpd[31964]: synchronized to 10.100.26.250, stratum 3
- 1131567727 2005.11.09 dn38 Nov 9 12:22:07 dn38/dn38 ntpd[20634]: synchronized to 10.100.24.250, stratum 3
- 1131567733 2005.11.09 dn439 Nov 9 12:22:13 dn439/dn439 ntpd[31964]: synchronized to 10.100.24.250, stratum 3
- 1131567737 2005.11.09 dn658 Nov 9 12:22:17 dn658/dn658 ntpd[32635]: synchronized to 10.100.28.250, stratum 3
- 1131567743 2005.11.09 dn827 Nov 9 12:22:23 dn827/dn827 ntpd[4554]: synchronized to 10.100.30.250, stratum 3
- 1131567755 2005.11.09 dn930 Nov 9 12:22:35 dn930/dn930 ntpd[3647]: synchronized to 10.100.26.250, stratum 3
- 1131567780 2005.11.09 dn1012 Nov 9 12:23:00 dn1012/dn1012 ntpd[509]: synchronized to 10.100.24.250, stratum 3
- 1131567789 2005.11.09 dn819 Nov 9 12:23:09 dn819/dn819 ntpd[659]: synchronized to 10.100.30.250, stratum 3
- 1131567806 2005.11.09 dn548 Nov 9 12:23:26 dn548/dn548 ntpd[31670]: synchronized to 10.100.28.250, stratum 3
- 1131567813 2005.11.09 dn314 Nov 9 12:23:33 dn314/dn314 ntpd[2861]: synchronized to 10.100.26.250, stratum 3
- 1131567836 2005.11.09 dn3 Nov 9 12:23:56 dn3/dn3 ntpd[2246]: synchronized to 10.100.26.250, stratum 3
- 1131567840 2005.11.09 dn1021 Nov 9 12:24:00 dn1021/dn1021 ntpd[32563]: synchronized to 10.100.26.250, stratum 3
- 1131567853 2005.11.09 dn221 Nov 9 12:24:13 dn221/dn221 ntpd[17017]: synchronized to 10.100.30.250, stratum 3
- 1131567864 2005.11.09 dn346 Nov 9 12:24:24 dn346/dn346 ntpd[32313]: synchronized to 10.100.24.250, stratum 3
- 1131567867 2005.11.09 dn383 Nov 9 12:24:27 dn383/dn383 ntpd[31754]: synchronized to 10.100.26.250, stratum 3
- 1131567874 2005.11.09 dn247 Nov 9 12:24:34 dn247/dn247 ntpd[10144]: synchronized to 10.100.24.250, stratum 3
- 1131567877 2005.11.09 dn247 Nov 9 12:24:37 dn247/dn247 ntpd[10144]: synchronized to 10.100.30.250, stratum 3
- 1131567879 2005.11.09 dn819 Nov 9 12:24:39 dn819/dn819 ntpd[659]: synchronized to 10.100.26.250, stratum 3
- 1131567881 2005.11.09 dn302 Nov 9 12:24:41 dn302/dn302 ntpd[31657]: synchronized to 10.100.28.250, stratum 3
- 1131567908 2005.11.09 dn425 Nov 9 12:25:08 dn425/dn425 ntpd[2709]: synchronized to 10.100.26.250, stratum 3
- 1131567912 2005.11.09 dn713 Nov 9 12:25:12 dn713/dn713 ntpd[904]: synchronized to 10.100.28.250, stratum 3
- 1131567913 2005.11.09 dn428 Nov 9 12:25:13 dn428/dn428 ntpd[32524]: synchronized to 10.100.28.250, stratum 3
- 1131567921 2005.11.09 dn1010 Nov 9 12:25:21 dn1010/dn1010 ntpd[990]: synchronized to 10.100.30.250, stratum 3
- 1131567921 2005.11.09 dn534 Nov 9 12:25:21 dn534/dn534 ntpd[31732]: synchronized to 10.100.24.250, stratum 3
- 1131567921 2005.11.09 dn534 Nov 9 12:25:21 dn534/dn534 ntpd[31732]: synchronized to 10.100.30.250, stratum 3
- 1131567922 2005.11.09 dn840 Nov 9 12:25:22 dn840/dn840 ntpd[2923]: synchronized to 10.100.30.250, stratum 3
- 1131567932 2005.11.09 dn111 Nov 9 12:25:32 dn111/dn111 ntpd[10665]: synchronized to 10.100.24.250, stratum 3
- 1131567942 2005.11.09 dn221 Nov 9 12:25:42 dn221/dn221 ntpd[17017]: synchronized to 10.100.24.250, stratum 3
- 1131567952 2005.11.09 dn534 Nov 9 12:25:52 dn534/dn534 ntpd[31732]: synchronized to 10.100.26.250, stratum 3
- 1131567974 2005.11.09 dn324 Nov 9 12:26:14 dn324/dn324 ntpd[31612]: synchronized to 10.100.24.250, stratum 3
- 1131567981 2005.11.09 dn608 Nov 9 12:26:21 dn608/dn608 ntpd[32155]: synchronized to 10.100.28.250, stratum 3
