- 1152232683 2006.07.06 dn603 Jul 6 17:38:03 dn603/dn603 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152232747 2006.07.06 dn621 Jul 6 17:39:07 dn621/dn621 ntpd[2285]: synchronized to 10.100.30.250, stratum 3
- 1152232751 2006.07.06 dn976 Jul 6 17:39:11 dn976/dn976 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1152232761 2006.07.06 dn960 Jul 6 17:39:21 dn960/dn960 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152232764 2006.07.06 dn162 Jul 6 17:39:24 dn162/dn162 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152232765 2006.07.06 dn890 Jul 6 17:39:25 dn890/dn890 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1152232775 2006.07.06 dn799 Jul 6 17:39:35 dn799/dn799 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152232776 2006.07.06 dn1003 Jul 6 17:39:36 dn1003/dn1003 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1152232777 2006.07.06 dn1003 Jul 6 17:39:37 dn1003/dn1003 ntpd[2265]: synchronized to 10.100.26.250, stratum 3
- 1152232779 2006.07.06 dn999 Jul 6 17:39:39 dn999/dn999 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152232780 2006.07.06 dn780 Jul 6 17:39:40 dn780/dn780 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1152232781 2006.07.06 dn577 Jul 6 17:39:41 dn577/dn577 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152232781 2006.07.06 dn712 Jul 6 17:39:41 dn712/dn712 ntpd[2284]: synchronized to 10.100.30.250, stratum 3
- 1152232786 2006.07.06 dn819 Jul 6 17:39:46 dn819/dn819 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1152232789 2006.07.06 dn219 Jul 6 17:39:49 dn219/dn219 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152232789 2006.07.06 dn631 Jul 6 17:39:49 dn631/dn631 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152232790 2006.07.06 dn172 Jul 6 17:39:50 dn172/dn172 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152232792 2006.07.06 dn609 Jul 6 17:39:52 dn609/dn609 ntpd[2347]: synchronized to 10.100.30.250, stratum 3
- 1152232799 2006.07.06 dn969 Jul 6 17:39:59 dn969/dn969 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1152232807 2006.07.06 dn835 Jul 6 17:40:07 dn835/dn835 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152232810 2006.07.06 dn823 Jul 6 17:40:10 dn823/dn823 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152232810 2006.07.06 dn917 Jul 6 17:40:10 dn917/dn917 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1152232813 2006.07.06 dn957 Jul 6 17:40:13 dn957/dn957 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1152232815 2006.07.06 dn351 Jul 6 17:40:15 dn351/dn351 ntpd[2290]: synchronized to 10.100.28.250, stratum 3
- 1152232816 2006.07.06 dn771 Jul 6 17:40:16 dn771/dn771 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1152232817 2006.07.06 dn907 Jul 6 17:40:17 dn907/dn907 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152232821 2006.07.06 dn166 Jul 6 17:40:21 dn166/dn166 ntpd[2267]: synchronized to 10.100.30.250, stratum 3
- 1152232824 2006.07.06 dn1021 Jul 6 17:40:24 dn1021/dn1021 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1152232825 2006.07.06 dn969 Jul 6 17:40:25 dn969/dn969 ntpd[2273]: synchronized to 10.100.28.250, stratum 3
- 1152232827 2006.07.06 dn370 Jul 6 17:40:27 dn370/dn370 ntpd[2290]: synchronized to 10.100.24.250, stratum 3
- 1152232827 2006.07.06 dn667 Jul 6 17:40:27 dn667/dn667 ntpd[2285]: synchronized to 10.100.30.250, stratum 3
- 1152232831 2006.07.06 dn18 Jul 6 17:40:31 dn18/dn18 ntpd[2211]: synchronized to 10.100.30.250, stratum 3
- 1152232832 2006.07.06 dn410 Jul 6 17:40:32 dn410/dn410 ntpd[2286]: synchronized to 10.100.30.250, stratum 3
- 1152232832 2006.07.06 dn830 Jul 6 17:40:32 dn830/dn830 ntpd[4962]: synchronized to 10.100.28.250, stratum 3
- 1152232838 2006.07.06 dn823 Jul 6 17:40:38 dn823/dn823 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1152232840 2006.07.06 dn921 Jul 6 17:40:40 dn921/dn921 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1152232841 2006.07.06 dn987 Jul 6 17:40:41 dn987/dn987 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1152232846 2006.07.06 dn960 Jul 6 17:40:46 dn960/dn960 ntpd[2277]: synchronized to 10.100.26.250, stratum 3
- 1152232852 2006.07.06 dn759 Jul 6 17:40:52 dn759/dn759 ntpd[2283]: synchronized to 10.100.28.250, stratum 3
- 1152232852 2006.07.06 dn770 Jul 6 17:40:52 dn770/dn770 ntpd[2265]: synchronized to 10.100.30.250, stratum 3
- 1152232853 2006.07.06 dn821 Jul 6 17:40:53 dn821/dn821 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1152232857 2006.07.06 dn267 Jul 6 17:40:57 dn267/dn267 ntpd[2292]: synchronized to 10.100.30.250, stratum 3
- 1152232857 2006.07.06 dn861 Jul 6 17:40:57 dn861/dn861 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152232860 2006.07.06 dn183 Jul 6 17:41:00 dn183/dn183 ntpd[2257]: synchronized to 10.100.30.250, stratum 3
- 1152232860 2006.07.06 dn366 Jul 6 17:41:00 dn366/dn366 ntpd[2284]: synchronized to 10.100.28.250, stratum 3
- 1152232861 2006.07.06 dn6 Jul 6 17:41:01 dn6/dn6 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152232867 2006.07.06 dn598 Jul 6 17:41:07 dn598/dn598 ntpd[2281]: synchronized to 10.100.26.250, stratum 3
- 1152232870 2006.07.06 dn202 Jul 6 17:41:10 dn202/dn202 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1152232870 2006.07.06 dn221 Jul 6 17:41:10 dn221/dn221 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1152232875 2006.07.06 dn571 Jul 6 17:41:15 dn571/dn571 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152232876 2006.07.06 dn615 Jul 6 17:41:16 dn615/dn615 ntpd[2282]: synchronized to 10.100.26.250, stratum 3
- 1152232881 2006.07.06 dn716 Jul 6 17:41:21 dn716/dn716 ntpd[2284]: synchronized to 10.100.26.250, stratum 3
- 1152232883 2006.07.06 dn37 Jul 6 17:41:23 dn37/dn37 ntpd[2281]: synchronized to 10.100.26.250, stratum 3
- 1152232883 2006.07.06 dn560 Jul 6 17:41:23 dn560/dn560 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152232883 2006.07.06 dn774 Jul 6 17:41:23 dn774/dn774 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152232885 2006.07.06 dn687 Jul 6 17:41:25 dn687/dn687 ntpd[2289]: synchronized to 10.100.30.250, stratum 3
- 1152232889 2006.07.06 dn55 Jul 6 17:41:29 dn55/dn55 ntpd[2279]: synchronized to 10.100.28.250, stratum 3
- 1152232891 2006.07.06 dn212 Jul 6 17:41:31 dn212/dn212 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152232894 2006.07.06 dn439 Jul 6 17:41:34 dn439/dn439 ntpd[2285]: synchronized to 10.100.30.250, stratum 3
- 1152232895 2006.07.06 dn821 Jul 6 17:41:35 dn821/dn821 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1152232900 2006.07.06 dn753 Jul 6 17:41:40 dn753/dn753 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1152232903 2006.07.06 dn274 Jul 6 17:41:43 dn274/dn274 ntpd[2292]: synchronized to 10.100.30.250, stratum 3
- 1152232903 2006.07.06 dn525 Jul 6 17:41:43 dn525/dn525 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1152232903 2006.07.06 dn623 Jul 6 17:41:43 dn623/dn623 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152232905 2006.07.06 dn7 Jul 6 17:41:45 dn7/dn7 ntpd[2276]: synchronized to 10.100.30.250, stratum 3
- 1152232906 2006.07.06 dn545 Jul 6 17:41:46 dn545/dn545 ntpd[2282]: synchronized to 10.100.30.250, stratum 3
- 1152232907 2006.07.06 dn478 Jul 6 17:41:47 dn478/dn478 ntpd[2287]: synchronized to 10.100.28.250, stratum 3
- 1152232912 2006.07.06 dn695 Jul 6 17:41:52 dn695/dn695 ntpd[2281]: synchronized to 10.100.24.250, stratum 3
- 1152232920 2006.07.06 dn707 Jul 6 17:42:00 dn707/dn707 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152232922 2006.07.06 dn180 Jul 6 17:42:02 dn180/dn180 ntpd[2267]: synchronized to 10.100.30.250, stratum 3
- 1152232925 2006.07.06 dn348 Jul 6 17:42:05 dn348/dn348 ntpd[2278]: synchronized to 10.100.26.250, stratum 3
- 1152232927 2006.07.06 dn889 Jul 6 17:42:07 dn889/dn889 ntpd[2263]: synchronized to 10.100.26.250, stratum 3
- 1152232930 2006.07.06 dn738 Jul 6 17:42:10 dn738/dn738 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1152232931 2006.07.06 dn531 Jul 6 17:42:11 dn531/dn531 ntpd[2283]: synchronized to 10.100.30.250, stratum 3
- 1152232932 2006.07.06 dn396 Jul 6 17:42:12 dn396/dn396 ntpd[2290]: synchronized to 10.100.30.250, stratum 3
- 1152232936 2006.07.06 dn794 Jul 6 17:42:16 dn794/dn794 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1152232940 2006.07.06 dn770 Jul 6 17:42:20 dn770/dn770 ntpd[2265]: synchronized to 10.100.26.250, stratum 3
- 1152232948 2006.07.06 dn785 Jul 6 17:42:28 dn785/dn785 ntpd[2263]: synchronized to 10.100.30.250, stratum 3
- 1152232950 2006.07.06 dn669 Jul 6 17:42:30 dn669/dn669 ntpd[2335]: synchronized to 10.100.30.250, stratum 3
- 1152232955 2006.07.06 dn235 Jul 6 17:42:35 dn235/dn235 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152232956 2006.07.06 dn370 Jul 6 17:42:36 dn370/dn370 ntpd[2290]: synchronized to 10.100.30.250, stratum 3
- 1152232969 2006.07.06 dn614 Jul 6 17:42:49 dn614/dn614 ntpd[2290]: synchronized to 10.100.30.250, stratum 3
- 1152232974 2006.07.06 dn90 Jul 6 17:42:54 dn90/dn90 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152232975 2006.07.06 dn565 Jul 6 17:42:55 dn565/dn565 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152232977 2006.07.06 dn701 Jul 6 17:42:57 dn701/dn701 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152232979 2006.07.06 dn657 Jul 6 17:42:59 dn657/dn657 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1152232982 2006.07.06 dn794 Jul 6 17:43:02 dn794/dn794 ntpd[2266]: synchronized to 10.100.28.250, stratum 3
- 1152232983 2006.07.06 dn245 Jul 6 17:43:03 dn245/dn245 ntpd[2276]: synchronized to 10.100.28.250, stratum 3
- 1152232985 2006.07.06 dn473 Jul 6 17:43:05 dn473/dn473 ntpd[2283]: synchronized to 10.100.28.250, stratum 3
- 1152232990 2006.07.06 dn974 Jul 6 17:43:10 dn974/dn974 ntpd[2272]: synchronized to 10.100.26.250, stratum 3
- 1152232998 2006.07.06 dn301 Jul 6 17:43:18 dn301/dn301 ntpd[2292]: synchronized to 10.100.30.250, stratum 3
- 1152233004 2006.07.06 dn1001 Jul 6 17:43:24 dn1001/dn1001 ntpd[2261]: synchronized to 10.100.26.250, stratum 3
- 1152233004 2006.07.06 dn299 Jul 6 17:43:24 dn299/dn299 ntpd[2282]: synchronized to 10.100.30.250, stratum 3
- 1152233011 2006.07.06 dn704 Jul 6 17:43:31 dn704/dn704 ntpd[2285]: synchronized to 10.100.30.250, stratum 3
- 1152233012 2006.07.06 dn348 Jul 6 17:43:32 dn348/dn348 ntpd[2278]: synchronized to 10.100.30.250, stratum 3
- 1152233015 2006.07.06 dn974 Jul 6 17:43:35 dn974/dn974 ntpd[2272]: synchronized to 10.100.30.250, stratum 3
- 1152233019 2006.07.06 dn229 Jul 6 17:43:39 dn229/dn229 ntpd[2265]: synchronized to 10.100.26.250, stratum 3
- 1152233020 2006.07.06 dn653 Jul 6 17:43:40 dn653/dn653 ntpd[2275]: synchronized to 10.100.24.250, stratum 3
- 1152233020 2006.07.06 dn910 Jul 6 17:43:40 dn910/dn910 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233022 2006.07.06 dn388 Jul 6 17:43:42 dn388/dn388 ntpd[2291]: synchronized to 10.100.30.250, stratum 3
- 1152233024 2006.07.06 dn1021 Jul 6 17:43:44 dn1021/dn1021 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1152233025 2006.07.06 dn863 Jul 6 17:43:45 dn863/dn863 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233025 2006.07.06 dn910 Jul 6 17:43:45 dn910/dn910 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152233027 2006.07.06 dn581 Jul 6 17:43:47 dn581/dn581 ntpd[2344]: synchronized to 10.100.30.250, stratum 3
- 1152233033 2006.07.06 dn62 Jul 6 17:43:53 dn62/dn62 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233037 2006.07.06 dn939 Jul 6 17:43:57 dn939/dn939 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1152233040 2006.07.06 dn266 Jul 6 17:44:00 dn266/dn266 ntpd[2293]: synchronized to 10.100.30.250, stratum 3
- 1152233057 2006.07.06 dn176 Jul 6 17:44:17 dn176/dn176 ntpd[2280]: synchronized to 10.100.30.250, stratum 3
- 1152233057 2006.07.06 dn211 Jul 6 17:44:17 dn211/dn211 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152233057 2006.07.06 dn575 Jul 6 17:44:17 dn575/dn575 ntpd[2336]: synchronized to 10.100.30.250, stratum 3
- 1152233064 2006.07.06 dn950 Jul 6 17:44:24 dn950/dn950 ntpd[2277]: synchronized to 10.100.30.250, stratum 3
- 1152233069 2006.07.06 dn594 Jul 6 17:44:29 dn594/dn594 ntpd[2268]: synchronized to 10.100.30.250, stratum 3
- 1152233074 2006.07.06 dn322 Jul 6 17:44:34 dn322/dn322 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152233074 2006.07.06 dn530 Jul 6 17:44:34 dn530/dn530 ntpd[2290]: synchronized to 10.100.26.250, stratum 3
- 1152233074 2006.07.06 dn987 Jul 6 17:44:34 dn987/dn987 ntpd[2262]: synchronized to 10.100.24.250, stratum 3
- 1152233077 2006.07.06 dn977 Jul 6 17:44:37 dn977/dn977 ntpd[2272]: synchronized to 10.100.28.250, stratum 3
- 1152233079 2006.07.06 dn207 Jul 6 17:44:39 dn207/dn207 ntpd[2280]: synchronized to 10.100.28.250, stratum 3
- 1152233096 2006.07.06 dn314 Jul 6 17:44:56 dn314/dn314 ntpd[2291]: synchronized to 10.100.24.250, stratum 3
- 1152233099 2006.07.06 dn898 Jul 6 17:44:59 dn898/dn898 ntpd[2261]: synchronized to 10.100.28.250, stratum 3
- 1152233102 2006.07.06 dn347 Jul 6 17:45:02 dn347/dn347 ntpd[2270]: synchronized to 10.100.30.250, stratum 3
- 1152233104 2006.07.06 dn886 Jul 6 17:45:04 dn886/dn886 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1152233109 2006.07.06 dn730 Jul 6 17:45:09 dn730/dn730 ntpd[2286]: synchronized to 10.100.30.250, stratum 3
- 1152233120 2006.07.06 dn72 Jul 6 17:45:20 dn72/dn72 ntpd[2269]: synchronized to 10.100.30.250, stratum 3
- 1152233122 2006.07.06 dn771 Jul 6 17:45:22 dn771/dn771 ntpd[2266]: synchronized to 10.100.28.250, stratum 3
- 1152233125 2006.07.06 dn118 Jul 6 17:45:25 dn118/dn118 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1152233125 2006.07.06 dn962 Jul 6 17:45:25 dn962/dn962 ntpd[2261]: synchronized to 10.100.30.250, stratum 3
- 1152233130 2006.07.06 dn727 Jul 6 17:45:30 dn727/dn727 ntpd[2288]: synchronized to 10.100.30.250, stratum 3
- 1152233133 2006.07.06 dn258 Jul 6 17:45:33 dn258/dn258 ntpd[2294]: synchronized to 10.100.30.250, stratum 3
- 1152233133 2006.07.06 dn44 Jul 6 17:45:33 dn44/dn44 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1152233134 2006.07.06 dn339 Jul 6 17:45:34 dn339/dn339 ntpd[2292]: synchronized to 10.100.30.250, stratum 3
- 1152233136 2006.07.06 dn498 Jul 6 17:45:36 dn498/dn498 ntpd[2287]: synchronized to 10.100.30.250, stratum 3
- 1152233138 2006.07.06 dn567 Jul 6 17:45:38 dn567/dn567 ntpd[2345]: synchronized to 10.100.28.250, stratum 3
- 1152233140 2006.07.06 dn774 Jul 6 17:45:40 dn774/dn774 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1152233141 2006.07.06 dn518 Jul 6 17:45:41 dn518/dn518 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152233141 2006.07.06 dn793 Jul 6 17:45:41 dn793/dn793 ntpd[2264]: synchronized to 10.100.28.250, stratum 3
- 1152233145 2006.07.06 dn976 Jul 6 17:45:45 dn976/dn976 ntpd[2262]: synchronized to 10.100.28.250, stratum 3
- 1152233146 2006.07.06 dn462 Jul 6 17:45:46 dn462/dn462 ntpd[2271]: synchronized to 10.100.24.250, stratum 3
- 1152233155 2006.07.06 dn162 Jul 6 17:45:55 dn162/dn162 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1152233155 2006.07.06 dn704 Jul 6 17:45:55 dn704/dn704 ntpd[2285]: synchronized to 10.100.28.250, stratum 3
- 1152233159 2006.07.06 dn714 Jul 6 17:45:59 dn714/dn714 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233160 2006.07.06 dn739 Jul 6 17:46:00 dn739/dn739 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1152233163 2006.07.06 dn704 Jul 6 17:46:03 dn704/dn704 ntpd[2285]: synchronized to 10.100.26.250, stratum 3
- 1152233163 2006.07.06 dn796 Jul 6 17:46:03 dn796/dn796 ntpd[3388]: synchronized to 10.100.30.250, stratum 3
- 1152233172 2006.07.06 dn582 Jul 6 17:46:12 dn582/dn582 ntpd[2288]: synchronized to 10.100.26.250, stratum 3
- 1152233174 2006.07.06 dn810 Jul 6 17:46:14 dn810/dn810 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1152233176 2006.07.06 dn355 Jul 6 17:46:16 dn355/dn355 ntpd[2290]: synchronized to 10.100.30.250, stratum 3
- 1152233177 2006.07.06 dn121 Jul 6 17:46:17 dn121/dn121 ntpd[2277]: synchronized to 10.100.28.250, stratum 3
- 1152233177 2006.07.06 dn810 Jul 6 17:46:17 dn810/dn810 ntpd[2275]: synchronized to 10.100.28.250, stratum 3
- 1152233179 2006.07.06 dn558 Jul 6 17:46:19 dn558/dn558 ntpd[2334]: synchronized to 10.100.30.250, stratum 3
- 1152233179 2006.07.06 dn741 Jul 6 17:46:19 dn741/dn741 ntpd[2231]: synchronized to 10.100.30.250, stratum 3
- 1152233180 2006.07.06 dn552 Jul 6 17:46:20 dn552/dn552 ntpd[2345]: synchronized to 10.100.30.250, stratum 3
- 1152233182 2006.07.06 dn104 Jul 6 17:46:22 dn104/dn104 ntpd[2266]: synchronized to 10.100.30.250, stratum 3
- 1152233184 2006.07.06 dn1010 Jul 6 17:46:24 dn1010/dn1010 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233185 2006.07.06 dn1010 Jul 6 17:46:25 dn1010/dn1010 ntpd[2274]: synchronized to 10.100.26.250, stratum 3
- 1152233187 2006.07.06 dn659 Jul 6 17:46:27 dn659/dn659 ntpd[2278]: synchronized to 10.100.28.250, stratum 3
- 1152233193 2006.07.06 dn995 Jul 6 17:46:33 dn995/dn995 ntpd[2272]: synchronized to 10.100.28.250, stratum 3
- 1152233196 2006.07.06 dn376 Jul 6 17:46:36 dn376/dn376 ntpd[2279]: synchronized to 10.100.30.250, stratum 3
- 1152233200 2006.07.06 dn398 Jul 6 17:46:40 dn398/dn398 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233201 2006.07.06 dn508 Jul 6 17:46:41 dn508/dn508 ntpd[2268]: synchronized to 10.100.28.250, stratum 3
- 1152233205 2006.07.06 dn170 Jul 6 17:46:45 dn170/dn170 ntpd[2267]: synchronized to 10.100.28.250, stratum 3
- 1152233206 2006.07.06 dn685 Jul 6 17:46:46 dn685/dn685 ntpd[2290]: synchronized to 10.100.30.250, stratum 3
- 1152233207 2006.07.06 dn122 Jul 6 17:46:47 dn122/dn122 smartd[1979]: Device: /dev/sda, Temperature changed -2 Celsius to 24 Celsius since last report
- 1152233211 2006.07.06 dn937 Jul 6 17:46:51 dn937/dn937 ntpd[2275]: synchronized to 10.100.26.250, stratum 3
- 1152233212 2006.07.06 dn640 Jul 6 17:46:52 dn640/dn640 ntpd[2242]: synchronized to 10.100.28.250, stratum 3
- 1152233221 2006.07.06 dn207 Jul 6 17:47:01 dn207/dn207 ntpd[2280]: synchronized to 10.100.26.250, stratum 3
- 1152233227 2006.07.06 dn425 Jul 6 17:47:07 dn425/dn425 ntpd[2287]: synchronized to 10.100.28.250, stratum 3
- 1152233232 2006.07.06 dn697 Jul 6 17:47:12 dn697/dn697 ntpd[2291]: synchronized to 10.100.30.250, stratum 3
- 1152233233 2006.07.06 dn216 Jul 6 17:47:13 dn216/dn216 ntpd[2279]: synchronized to 10.100.26.250, stratum 3
- 1152233238 2006.07.06 dn752 Jul 6 17:47:18 dn752/dn752 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1152233244 2006.07.06 dn271 Jul 6 17:47:24 dn271/dn271 ntpd[2281]: synchronized to 10.100.30.250, stratum 3
- 1152233249 2006.07.06 dn860 Jul 6 17:47:29 dn860/dn860 ntpd[2264]: synchronized to 10.100.30.250, stratum 3
- 1152233251 2006.07.06 dn568 Jul 6 17:47:31 dn568/dn568 ntpd[2293]: synchronized to 10.100.28.250, stratum 3
- 1152233252 2006.07.06 dn824 Jul 6 17:47:32 dn824/dn824 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233252 2006.07.06 dn980 Jul 6 17:47:32 dn980/dn980 ntpd[2262]: synchronized to 10.100.30.250, stratum 3
- 1152233253 2006.07.06 dn654 Jul 6 17:47:33 dn654/dn654 ntpd[2333]: synchronized to 10.100.30.250, stratum 3
- 1152233256 2006.07.06 dn193 Jul 6 17:47:36 dn193/dn193 ntpd[2273]: synchronized to 10.100.30.250, stratum 3
- 1152233257 2006.07.06 dn758 Jul 6 17:47:37 dn758/dn758 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233262 2006.07.06 dn993 Jul 6 17:47:42 dn993/dn993 ntpd[2274]: synchronized to 10.100.30.250, stratum 3
- 1152233266 2006.07.06 dn993 Jul 6 17:47:46 dn993/dn993 ntpd[2274]: synchronized to 10.100.28.250, stratum 3
- 1152233273 2006.07.06 dn647 Jul 6 17:47:53 dn647/dn647 ntpd[2287]: synchronized to 10.100.30.250, stratum 3
- 1152233275 2006.07.06 dn429 Jul 6 17:47:55 dn429/dn429 ntpd[2275]: synchronized to 10.100.30.250, stratum 3
- 1152233275 2006.07.06 dn568 Jul 6 17:47:55 dn568/dn568 ntpd[2293]: synchronized to 10.100.26.250, stratum 3
- 1152233277 2006.07.06 dn283 Jul 6 17:47:57 dn283/dn283 ntpd[2292]: synchronized to 10.100.30.250, stratum 3
